geneid	chr	s1	s2
Contig120355_2757_2757	Contig120355	2757	2757
Contig120355_2763_2763	Contig120355	2763	2763
Contig120355_2776_2776	Contig120355	2776	2776
Contig120355_2788_2788	Contig120355	2788	2788
Contig120355_2836_2836	Contig120355	2836	2836
Contig12036_249_249	Contig12036	249	249
Contig12036_444_444	Contig12036	444	444
Contig12036_456_456	Contig12036	456	456
Contig12036_700_700	Contig12036	700	700
Contig120387_1138_1138	Contig120387	1138	1138
Contig120547_1001_1001	Contig120547	1001	1001
Contig120547_1025_1025	Contig120547	1025	1025
Contig120547_1055_1055	Contig120547	1055	1055
Contig120547_1074_1074	Contig120547	1074	1074
Contig120547_1088_1088	Contig120547	1088	1088
Contig120547_1106_1106	Contig120547	1106	1106
Contig120547_1117_1117	Contig120547	1117	1117
Contig120547_1121_1121	Contig120547	1121	1121
Contig120547_1124_1124	Contig120547	1124	1124
Contig120547_1152_1152	Contig120547	1152	1152
Contig120547_1169_1169	Contig120547	1169	1169
Contig120547_3944_3944	Contig120547	3944	3944
Contig120547_3951_3951	Contig120547	3951	3951
Contig120547_968_968	Contig120547	968	968
Contig120547_984_984	Contig120547	984	984
Contig12055_6628_6628	Contig12055	6628	6628
Contig12055_6653_6653	Contig12055	6653	6653
Contig12055_6696_6696	Contig12055	6696	6696
Contig12055_6708_6708	Contig12055	6708	6708
Contig12055_6734_6734	Contig12055	6734	6734
Contig12055_6743_6743	Contig12055	6743	6743
Contig12055_6774_6774	Contig12055	6774	6774
Contig120598_3699_3699	Contig120598	3699	3699
Contig120678_629_629	Contig120678	629	629
Contig120695_1998_1998	Contig120695	1998	1998
Contig120818_4853_4853	Contig120818	4853	4853
Contig120822_86_86	Contig120822	86	86
Contig120902_23_23	Contig120902	23	23
Contig120902_42_42	Contig120902	42	42
Contig120902_55_55	Contig120902	55	55
Contig120902_67_67	Contig120902	67	67
Contig120902_73_73	Contig120902	73	73
Contig120959_7333_7333	Contig120959	7333	7333
Contig121010_1077_1077	Contig121010	1077	1077
Contig121010_1093_1093	Contig121010	1093	1093
Contig121010_1105_1105	Contig121010	1105	1105
Contig121010_1113_1113	Contig121010	1113	1113
Contig121010_1136_1136	Contig121010	1136	1136
Contig121027_1795_1795	Contig121027	1795	1795
Contig121027_1799_1799	Contig121027	1799	1799
Contig121068_2802_2802	Contig121068	2802	2802
Contig121068_2823_2823	Contig121068	2823	2823
Contig121068_2839_2839	Contig121068	2839	2839
Contig121068_2847_2847	Contig121068	2847	2847
Contig121068_2851_2851	Contig121068	2851	2851
Contig121068_2902_2902	Contig121068	2902	2902
Contig121068_2910_2910	Contig121068	2910	2910
Contig121068_2913_2913	Contig121068	2913	2913
Contig121068_2920_2920	Contig121068	2920	2920
Contig121097_106_106	Contig121097	106	106
Contig121097_133_133	Contig121097	133	133
Contig121097_143_143	Contig121097	143	143
Contig121097_158_158	Contig121097	158	158
Contig121097_164_164	Contig121097	164	164
Contig121097_2612_2612	Contig121097	2612	2612
Contig121097_2623_2623	Contig121097	2623	2623
Contig121097_2648_2648	Contig121097	2648	2648
Contig121097_95_95	Contig121097	95	95
Contig121107_2277_2277	Contig121107	2277	2277
Contig121107_73_73	Contig121107	73	73
Contig121107_82_82	Contig121107	82	82
Contig121155_1049_1049	Contig121155	1049	1049
Contig121186_1369_1369	Contig121186	1369	1369
Contig12119_7801_7801	Contig12119	7801	7801
Contig12119_7823_7823	Contig12119	7823	7823
Contig121231_3523_3523	Contig121231	3523	3523
Contig121_24235_24235	Contig121	24235	24235
Contig121_24238_24238	Contig121	24238	24238
Contig121_24242_24242	Contig121	24242	24242
Contig121_24254_24254	Contig121	24254	24254
Contig121_24264_24264	Contig121	24264	24264
Contig121_24381_24381	Contig121	24381	24381
Contig121_24393_24393	Contig121	24393	24393
Contig121261_1028_1028	Contig121261	1028	1028
Contig121261_1032_1032	Contig121261	1032	1032
Contig121261_1036_1036	Contig121261	1036	1036
Contig121261_806_806	Contig121261	806	806
Contig121261_812_812	Contig121261	812	812
Contig121261_820_820	Contig121261	820	820
Contig121261_835_835	Contig121261	835	835
Contig121261_848_848	Contig121261	848	848
Contig121261_853_853	Contig121261	853	853
Contig121261_872_872	Contig121261	872	872
Contig121261_914_914	Contig121261	914	914
Contig121261_929_929	Contig121261	929	929
Contig121261_954_954	Contig121261	954	954
Contig121263_344_344	Contig121263	344	344
Contig121263_746_746	Contig121263	746	746
Contig121263_752_752	Contig121263	752	752
Contig121347_100_100	Contig121347	100	100
Contig121347_1184_1184	Contig121347	1184	1184
Contig121347_3133_3133	Contig121347	3133	3133
Contig121347_7269_7269	Contig121347	7269	7269
Contig121347_7289_7289	Contig121347	7289	7289
Contig121347_7312_7312	Contig121347	7312	7312
Contig121347_7322_7322	Contig121347	7322	7322
Contig121_39636_39636	Contig121	39636	39636
Contig1214_15655_15655	Contig1214	15655	15655
Contig121429_4776_4776	Contig121429	4776	4776
Contig121429_4788_4788	Contig121429	4788	4788
Contig121429_4795_4795	Contig121429	4795	4795
Contig121429_4818_4818	Contig121429	4818	4818
Contig121429_4867_4867	Contig121429	4867	4867
Contig121519_77_77	Contig121519	77	77
Contig12163_1094_1094	Contig12163	1094	1094
Contig12163_1213_1213	Contig12163	1213	1213
Contig12163_1981_1981	Contig12163	1981	1981
Contig12163_1983_1983	Contig12163	1983	1983
Contig12163_1995_1995	Contig12163	1995	1995
Contig121634_166_166	Contig121634	166	166
Contig121634_172_172	Contig121634	172	172
Contig121634_79_79	Contig121634	79	79
Contig12163_852_852	Contig12163	852	852
Contig12163_854_854	Contig12163	854	854
Contig12163_864_864	Contig12163	864	864
Contig12163_883_883	Contig12163	883	883
Contig12163_887_887	Contig12163	887	887
Contig121774_265_265	Contig121774	265	265
Contig121774_286_286	Contig121774	286	286
Contig121919_444_444	Contig121919	444	444
Contig1221_2157_2157	Contig1221	2157	2157
Contig1221_2167_2167	Contig1221	2167	2167
Contig1221_2202_2202	Contig1221	2202	2202
Contig1221_2211_2211	Contig1221	2211	2211
Contig1221_2905_2905	Contig1221	2905	2905
Contig1221_2909_2909	Contig1221	2909	2909
Contig1221_2931_2931	Contig1221	2931	2931
Contig1221_2951_2951	Contig1221	2951	2951
Contig1221_2965_2965	Contig1221	2965	2965
Contig122139_1428_1428	Contig122139	1428	1428
Contig122173_105_105	Contig122173	105	105
Contig122173_94_94	Contig122173	94	94
Contig1221_8024_8024	Contig1221	8024	8024
Contig122252_631_631	Contig122252	631	631
Contig122273_109_109	Contig122273	109	109
Contig122273_149_149	Contig122273	149	149
Contig122273_161_161	Contig122273	161	161
Contig122273_320_320	Contig122273	320	320
Contig122273_363_363	Contig122273	363	363
Contig122273_376_376	Contig122273	376	376
Contig122273_378_378	Contig122273	378	378
Contig122273_389_389	Contig122273	389	389
Contig122273_551_551	Contig122273	551	551
Contig122273_622_622	Contig122273	622	622
Contig122273_638_638	Contig122273	638	638
Contig122273_91_91	Contig122273	91	91
Contig122285_396_396	Contig122285	396	396
Contig122285_426_426	Contig122285	426	426
Contig122285_440_440	Contig122285	440	440
Contig1223_10587_10587	Contig1223	10587	10587
Contig122320_1306_1306	Contig122320	1306	1306
Contig122336_8240_8240	Contig122336	8240	8240
Contig122336_8912_8912	Contig122336	8912	8912
Contig122336_8917_8917	Contig122336	8917	8917
Contig122336_9538_9538	Contig122336	9538	9538
Contig122336_9556_9556	Contig122336	9556	9556
Contig122336_9569_9569	Contig122336	9569	9569
Contig122336_9571_9571	Contig122336	9571	9571
Contig122386_495_495	Contig122386	495	495
Contig122386_528_528	Contig122386	528	528
Contig122386_532_532	Contig122386	532	532
Contig122386_538_538	Contig122386	538	538
Contig122386_546_546	Contig122386	546	546
Contig1224_1175_1175	Contig1224	1175	1175
Contig1224_1191_1191	Contig1224	1191	1191
Contig1224_1205_1205	Contig1224	1205	1205
Contig1224_1219_1219	Contig1224	1219	1219
Contig1224_1465_1465	Contig1224	1465	1465
Contig1224_1484_1484	Contig1224	1484	1484
Contig1224_1749_1749	Contig1224	1749	1749
Contig1224_1751_1751	Contig1224	1751	1751
Contig1224_1759_1759	Contig1224	1759	1759
Contig1224_1766_1766	Contig1224	1766	1766
Contig1224_1794_1794	Contig1224	1794	1794
Contig1224_1800_1800	Contig1224	1800	1800
Contig1224_1810_1810	Contig1224	1810	1810
Contig1224_1850_1850	Contig1224	1850	1850
Contig1224_1871_1871	Contig1224	1871	1871
Contig1224_1881_1881	Contig1224	1881	1881
Contig1224_1908_1908	Contig1224	1908	1908
Contig1224_1918_1918	Contig1224	1918	1918
Contig1224_1926_1926	Contig1224	1926	1926
Contig1224_1963_1963	Contig1224	1963	1963
Contig1224_2000_2000	Contig1224	2000	2000
Contig122_42046_42046	Contig122	42046	42046
Contig122_42054_42054	Contig122	42054	42054
Contig122_42060_42060	Contig122	42060	42060
Contig122_42069_42069	Contig122	42069	42069
Contig1224_2072_2072	Contig1224	2072	2072
Contig122_42082_42082	Contig122	42082	42082
Contig1224_2091_2091	Contig1224	2091	2091
Contig122_42096_42096	Contig122	42096	42096
Contig1224_2105_2105	Contig1224	2105	2105
Contig122_42107_42107	Contig122	42107	42107
Contig1224_2118_2118	Contig1224	2118	2118
Contig1224_2150_2150	Contig1224	2150	2150
Contig1224_2166_2166	Contig1224	2166	2166
Contig1224_2170_2170	Contig1224	2170	2170
Contig1224_2172_2172	Contig1224	2172	2172
Contig1224_2175_2175	Contig1224	2175	2175
Contig1224_2204_2204	Contig1224	2204	2204
Contig1224_2209_2209	Contig1224	2209	2209
Contig1224_2212_2212	Contig1224	2212	2212
Contig122424_2597_2597	Contig122424	2597	2597
Contig122435_856_856	Contig122435	856	856
Contig122469_2237_2237	Contig122469	2237	2237
Contig122469_2245_2245	Contig122469	2245	2245
Contig122469_2259_2259	Contig122469	2259	2259
Contig122469_2268_2268	Contig122469	2268	2268
Contig122469_2273_2273	Contig122469	2273	2273
Contig122481_18040_18040	Contig122481	18040	18040
Contig122481_18051_18051	Contig122481	18051	18051
Contig122481_18140_18140	Contig122481	18140	18140
Contig122487_759_759	Contig122487	759	759
Contig122487_799_799	Contig122487	799	799
Contig122487_809_809	Contig122487	809	809
Contig122487_815_815	Contig122487	815	815
Contig122487_826_826	Contig122487	826	826
Contig122487_837_837	Contig122487	837	837
Contig1225_28106_28106	Contig1225	28106	28106
Contig1225_28116_28116	Contig1225	28116	28116
Contig1225_28777_28777	Contig1225	28777	28777
Contig1225_29113_29113	Contig1225	29113	29113
Contig1225_29202_29202	Contig1225	29202	29202
Contig1225_29222_29222	Contig1225	29222	29222
Contig1225_29537_29537	Contig1225	29537	29537
Contig1225_29542_29542	Contig1225	29542	29542
Contig1225_29554_29554	Contig1225	29554	29554
Contig122675_2476_2476	Contig122675	2476	2476
Contig122675_2575_2575	Contig122675	2575	2575
Contig122675_2591_2591	Contig122675	2591	2591
Contig122675_2597_2597	Contig122675	2597	2597
Contig122746_302_302	Contig122746	302	302
Contig122746_311_311	Contig122746	311	311
Contig122746_313_313	Contig122746	313	313
Contig122746_316_316	Contig122746	316	316
Contig122747_6177_6177	Contig122747	6177	6177
Contig122778_1131_1131	Contig122778	1131	1131
Contig122810_3549_3549	Contig122810	3549	3549
Contig122810_3842_3842	Contig122810	3842	3842
Contig12288_1008_1008	Contig12288	1008	1008
Contig12288_1034_1034	Contig12288	1034	1034
Contig12288_1164_1164	Contig12288	1164	1164
Contig12288_1181_1181	Contig12288	1181	1181
Contig12288_1185_1185	Contig12288	1185	1185
Contig12288_1196_1196	Contig12288	1196	1196
Contig122909_3099_3099	Contig122909	3099	3099
Contig122909_3313_3313	Contig122909	3313	3313
Contig123039_4529_4529	Contig123039	4529	4529
Contig123048_2709_2709	Contig123048	2709	2709
Contig123048_2781_2781	Contig123048	2781	2781
Contig123048_697_697	Contig123048	697	697
Contig123080_31_31	Contig123080	31	31
Contig123080_35_35	Contig123080	35	35
Contig123080_86_86	Contig123080	86	86
Contig123099_1053_1053	Contig123099	1053	1053
Contig123133_1177_1177	Contig123133	1177	1177
Contig123133_1188_1188	Contig123133	1188	1188
Contig123133_1215_1215	Contig123133	1215	1215
Contig123133_443_443	Contig123133	443	443
Contig123133_487_487	Contig123133	487	487
Contig123148_295_295	Contig123148	295	295
Contig123148_358_358	Contig123148	358	358
Contig123148_394_394	Contig123148	394	394
Contig123148_402_402	Contig123148	402	402
Contig123170_1119_1119	Contig123170	1119	1119
Contig123170_447_447	Contig123170	447	447
Contig123170_572_572	Contig123170	572	572
Contig123170_838_838	Contig123170	838	838
Contig123170_850_850	Contig123170	850	850
Contig123_26063_26063	Contig123	26063	26063
Contig123_26143_26143	Contig123	26143	26143
Contig123_26147_26147	Contig123	26147	26147
Contig123_26157_26157	Contig123	26157	26157
Contig123300_89_89	Contig123300	89	89
Contig123341_567_567	Contig123341	567	567
Contig123423_4158_4158	Contig123423	4158	4158
Contig123429_5232_5232	Contig123429	5232	5232
Contig123451_2453_2453	Contig123451	2453	2453
Contig123451_2457_2457	Contig123451	2457	2457
Contig123466_112_112	Contig123466	112	112
Contig123466_123_123	Contig123466	123	123
Contig123466_143_143	Contig123466	143	143
Contig123466_153_153	Contig123466	153	153
Contig123466_345_345	Contig123466	345	345
Contig123466_432_432	Contig123466	432	432
Contig123466_456_456	Contig123466	456	456
Contig123466_8685_8685	Contig123466	8685	8685
Contig123466_8692_8692	Contig123466	8692	8692
Contig123466_94_94	Contig123466	94	94
Contig123471_236_236	Contig123471	236	236
Contig123471_239_239	Contig123471	239	239
Contig123471_242_242	Contig123471	242	242
Contig123471_269_269	Contig123471	269	269
Contig123512_4956_4956	Contig123512	4956	4956
Contig123512_4970_4970	Contig123512	4970	4970
Contig123512_4992_4992	Contig123512	4992	4992
Contig123_6011_6011	Contig123	6011	6011
Contig123_6020_6020	Contig123	6020	6020
Contig123618_4895_4895	Contig123618	4895	4895
Contig123626_5051_5051	Contig123626	5051	5051
Contig123647_442_442	Contig123647	442	442
Contig123678_1472_1472	Contig123678	1472	1472
Contig123678_1812_1812	Contig123678	1812	1812
Contig123701_39_39	Contig123701	39	39
Contig123719_3629_3629	Contig123719	3629	3629
Contig123719_3633_3633	Contig123719	3633	3633
Contig123719_3642_3642	Contig123719	3642	3642
Contig123730_9521_9521	Contig123730	9521	9521
Contig123764_1214_1214	Contig123764	1214	1214
Contig123831_8374_8374	Contig123831	8374	8374
Contig123831_8391_8391	Contig123831	8391	8391
Contig123831_8403_8403	Contig123831	8403	8403
Contig123831_8568_8568	Contig123831	8568	8568
Contig123836_5337_5337	Contig123836	5337	5337
Contig123889_2794_2794	Contig123889	2794	2794
Contig123889_2798_2798	Contig123889	2798	2798
Contig123911_1841_1841	Contig123911	1841	1841
Contig123933_489_489	Contig123933	489	489
Contig123949_1003_1003	Contig123949	1003	1003
Contig123949_962_962	Contig123949	962	962
Contig123949_967_967	Contig123949	967	967
Contig123949_973_973	Contig123949	973	973
Contig123949_977_977	Contig123949	977	977
Contig123979_1017_1017	Contig123979	1017	1017
Contig123979_1789_1789	Contig123979	1789	1789
Contig123979_1805_1805	Contig123979	1805	1805
Contig123979_1807_1807	Contig123979	1807	1807
Contig124023_26815_26815	Contig124023	26815	26815
Contig124023_26877_26877	Contig124023	26877	26877
Contig1240_3244_3244	Contig1240	3244	3244
Contig1240_3248_3248	Contig1240	3248	3248
Contig1240_3250_3250	Contig1240	3250	3250
Contig1240_3283_3283	Contig1240	3283	3283
Contig1240_3297_3297	Contig1240	3297	3297
Contig1240_3310_3310	Contig1240	3310	3310
Contig1240_3332_3332	Contig1240	3332	3332
Contig1240_3374_3374	Contig1240	3374	3374
Contig1240_3381_3381	Contig1240	3381	3381
Contig1240_3836_3836	Contig1240	3836	3836
Contig1240_3842_3842	Contig1240	3842	3842
Contig1240_3859_3859	Contig1240	3859	3859
Contig1240_3911_3911	Contig1240	3911	3911
Contig124041_691_691	Contig124041	691	691
Contig1240_5493_5493	Contig1240	5493	5493
Contig1240_5515_5515	Contig1240	5515	5515
Contig1240_5570_5570	Contig1240	5570	5570
Contig1240_5593_5593	Contig1240	5593	5593
Contig1240_5616_5616	Contig1240	5616	5616
Contig1240_5633_5633	Contig1240	5633	5633
Contig1240_5636_5636	Contig1240	5636	5636
Contig124071_293_293	Contig124071	293	293
Contig124078_90_90	Contig124078	90	90
Contig124082_2643_2643	Contig124082	2643	2643
Contig124082_2645_2645	Contig124082	2645	2645
Contig124190_1652_1652	Contig124190	1652	1652
Contig1242_29450_29450	Contig1242	29450	29450
Contig1242_29462_29462	Contig1242	29462	29462
Contig124281_3950_3950	Contig124281	3950	3950
Contig124281_4011_4011	Contig124281	4011	4011
Contig124281_5727_5727	Contig124281	5727	5727
Contig124281_5813_5813	Contig124281	5813	5813
Contig124281_5848_5848	Contig124281	5848	5848
Contig124281_5861_5861	Contig124281	5861	5861
Contig124281_5868_5868	Contig124281	5868	5868
Contig124281_5871_5871	Contig124281	5871	5871
Contig124281_5895_5895	Contig124281	5895	5895
Contig124281_5901_5901	Contig124281	5901	5901
Contig124281_5959_5959	Contig124281	5959	5959
Contig124281_5990_5990	Contig124281	5990	5990
Contig124281_6032_6032	Contig124281	6032	6032
Contig124281_6035_6035	Contig124281	6035	6035
Contig124281_6050_6050	Contig124281	6050	6050
Contig124281_6054_6054	Contig124281	6054	6054
Contig124281_6057_6057	Contig124281	6057	6057
Contig124281_6064_6064	Contig124281	6064	6064
Contig124281_6181_6181	Contig124281	6181	6181
Contig124281_6191_6191	Contig124281	6191	6191
Contig124281_6202_6202	Contig124281	6202	6202
Contig124281_6226_6226	Contig124281	6226	6226
Contig124281_6232_6232	Contig124281	6232	6232
Contig124281_6235_6235	Contig124281	6235	6235
Contig124281_6274_6274	Contig124281	6274	6274
Contig124281_6287_6287	Contig124281	6287	6287
Contig124281_6434_6434	Contig124281	6434	6434
Contig124281_6454_6454	Contig124281	6454	6454
Contig124281_6464_6464	Contig124281	6464	6464
Contig124281_6480_6480	Contig124281	6480	6480
Contig124397_3989_3989	Contig124397	3989	3989
Contig124397_4006_4006	Contig124397	4006	4006
Contig124397_4016_4016	Contig124397	4016	4016
Contig124397_4023_4023	Contig124397	4023	4023
Contig124397_4035_4035	Contig124397	4035	4035
Contig124397_4051_4051	Contig124397	4051	4051
Contig12444_103_103	Contig12444	103	103
Contig12444_106_106	Contig12444	106	106
Contig12444_118_118	Contig12444	118	118
Contig12444_145_145	Contig12444	145	145
Contig12444_161_161	Contig12444	161	161
Contig12444_178_178	Contig12444	178	178
Contig12444_181_181	Contig12444	181	181
Contig12444_35_35	Contig12444	35	35
Contig12444_40_40	Contig12444	40	40
Contig12444_46_46	Contig12444	46	46
Contig12444_74_74	Contig12444	74	74
Contig12444_79_79	Contig12444	79	79
Contig12444_98_98	Contig12444	98	98
Contig124587_5254_5254	Contig124587	5254	5254
Contig124589_2451_2451	Contig124589	2451	2451
Contig1245_9214_9214	Contig1245	9214	9214
Contig1245_9223_9223	Contig1245	9223	9223
Contig1245_9229_9229	Contig1245	9229	9229
Contig1245_9246_9246	Contig1245	9246	9246
Contig1245_9269_9269	Contig1245	9269	9269
Contig1245_9703_9703	Contig1245	9703	9703
Contig1245_9719_9719	Contig1245	9719	9719
Contig124642_192_192	Contig124642	192	192
Contig124685_1098_1098	Contig124685	1098	1098
Contig124685_1212_1212	Contig124685	1212	1212
Contig124733_4075_4075	Contig124733	4075	4075
Contig124733_4078_4078	Contig124733	4078	4078
Contig124782_681_681	Contig124782	681	681
Contig124782_798_798	Contig124782	798	798
Contig124782_808_808	Contig124782	808	808
Contig1247_9166_9166	Contig1247	9166	9166
Contig1247_9172_9172	Contig1247	9172	9172
Contig1247_9187_9187	Contig1247	9187	9187
Contig124946_403_403	Contig124946	403	403
Contig124979_589_589	Contig124979	589	589
Contig124979_616_616	Contig124979	616	616
Contig124979_658_658	Contig124979	658	658
Contig124979_668_668	Contig124979	668	668
Contig125117_1227_1227	Contig125117	1227	1227
Contig125117_1245_1245	Contig125117	1245	1245
Contig125117_1249_1249	Contig125117	1249	1249
Contig125117_1260_1260	Contig125117	1260	1260
Contig125178_7946_7946	Contig125178	7946	7946
Contig125178_7953_7953	Contig125178	7953	7953
Contig125268_972_972	Contig125268	972	972
Contig125268_981_981	Contig125268	981	981
Contig125278_2982_2982	Contig125278	2982	2982
Contig125278_2997_2997	Contig125278	2997	2997
Contig125430_203_203	Contig125430	203	203
Contig125430_213_213	Contig125430	213	213
Contig125470_8595_8595	Contig125470	8595	8595
Contig125470_8613_8613	Contig125470	8613	8613
Contig125470_8618_8618	Contig125470	8618	8618
Contig125656_1082_1082	Contig125656	1082	1082
Contig125656_1102_1102	Contig125656	1102	1102
Contig125656_2413_2413	Contig125656	2413	2413
Contig125668_1133_1133	Contig125668	1133	1133
Contig125668_1159_1159	Contig125668	1159	1159
Contig125668_1166_1166	Contig125668	1166	1166
Contig125668_1724_1724	Contig125668	1724	1724
Contig125668_1743_1743	Contig125668	1743	1743
Contig125668_430_430	Contig125668	430	430
Contig125668_448_448	Contig125668	448	448
Contig125668_462_462	Contig125668	462	462
Contig125668_480_480	Contig125668	480	480
Contig125668_484_484	Contig125668	484	484
Contig125668_492_492	Contig125668	492	492
Contig125668_501_501	Contig125668	501	501
Contig125668_506_506	Contig125668	506	506
Contig125668_531_531	Contig125668	531	531
Contig125682_57_57	Contig125682	57	57
Contig125682_63_63	Contig125682	63	63
Contig125703_524_524	Contig125703	524	524
Contig125703_551_551	Contig125703	551	551
Contig125818_149_149	Contig125818	149	149
Contig125818_152_152	Contig125818	152	152
Contig125818_159_159	Contig125818	159	159
Contig125848_1312_1312	Contig125848	1312	1312
Contig125848_1316_1316	Contig125848	1316	1316
Contig125848_1391_1391	Contig125848	1391	1391
Contig125848_1401_1401	Contig125848	1401	1401
Contig125878_2539_2539	Contig125878	2539	2539
Contig125878_2676_2676	Contig125878	2676	2676
Contig125900_615_615	Contig125900	615	615
Contig125900_639_639	Contig125900	639	639
Contig125972_12387_12387	Contig125972	12387	12387
Contig125972_12464_12464	Contig125972	12464	12464
Contig125972_12469_12469	Contig125972	12469	12469
Contig125972_12483_12483	Contig125972	12483	12483
Contig125972_12506_12506	Contig125972	12506	12506
Contig125972_12516_12516	Contig125972	12516	12516
Contig125997_3135_3135	Contig125997	3135	3135
Contig125997_3157_3157	Contig125997	3157	3157
Contig126104_1415_1415	Contig126104	1415	1415
Contig126159_897_897	Contig126159	897	897
Contig126159_906_906	Contig126159	906	906
Contig126275_295_295	Contig126275	295	295
Contig126275_297_297	Contig126275	297	297
Contig126275_302_302	Contig126275	302	302
Contig126275_462_462	Contig126275	462	462
Contig126275_464_464	Contig126275	464	464
Contig126275_480_480	Contig126275	480	480
Contig126365_1501_1501	Contig126365	1501	1501
Contig126530_1061_1061	Contig126530	1061	1061
Contig126530_1074_1074	Contig126530	1074	1074
Contig126530_1122_1122	Contig126530	1122	1122
Contig126530_1136_1136	Contig126530	1136	1136
Contig126530_1144_1144	Contig126530	1144	1144
Contig126543_5653_5653	Contig126543	5653	5653
Contig126543_5670_5670	Contig126543	5670	5670
Contig126544_150_150	Contig126544	150	150
Contig126544_186_186	Contig126544	186	186
Contig126544_23_23	Contig126544	23	23
Contig126544_32_32	Contig126544	32	32
Contig126544_37_37	Contig126544	37	37
Contig126544_45_45	Contig126544	45	45
Contig126570_3320_3320	Contig126570	3320	3320
Contig126581_1449_1449	Contig126581	1449	1449
Contig126601_8127_8127	Contig126601	8127	8127
Contig126629_6580_6580	Contig126629	6580	6580
Contig126629_6586_6586	Contig126629	6586	6586
Contig126675_122_122	Contig126675	122	122
Contig126675_329_329	Contig126675	329	329
Contig126675_333_333	Contig126675	333	333
Contig126675_351_351	Contig126675	351	351
Contig126691_8620_8620	Contig126691	8620	8620
Contig126691_8680_8680	Contig126691	8680	8680
Contig126695_2920_2920	Contig126695	2920	2920
Contig126704_307_307	Contig126704	307	307
Contig126788_77_77	Contig126788	77	77
Contig126812_5459_5459	Contig126812	5459	5459
Contig126812_5463_5463	Contig126812	5463	5463
Contig126812_5477_5477	Contig126812	5477	5477
Contig126812_5495_5495	Contig126812	5495	5495
Contig126812_5508_5508	Contig126812	5508	5508
Contig126812_5512_5512	Contig126812	5512	5512
Contig126812_5515_5515	Contig126812	5515	5515
Contig126812_5526_5526	Contig126812	5526	5526
Contig126812_5537_5537	Contig126812	5537	5537
Contig126812_5540_5540	Contig126812	5540	5540
Contig126831_4546_4546	Contig126831	4546	4546
Contig126850_2366_2366	Contig126850	2366	2366
Contig126892_825_825	Contig126892	825	825
Contig126951_20_20	Contig126951	20	20
Contig126951_48_48	Contig126951	48	48
Contig1269_6663_6663	Contig1269	6663	6663
Contig1269_6669_6669	Contig1269	6669	6669
Contig1269_7341_7341	Contig1269	7341	7341
Contig1269_7345_7345	Contig1269	7345	7345
Contig1269_7435_7435	Contig1269	7435	7435
Contig1269_7443_7443	Contig1269	7443	7443
Contig1269_7458_7458	Contig1269	7458	7458
Contig1269_7535_7535	Contig1269	7535	7535
Contig1269_7539_7539	Contig1269	7539	7539
Contig1269_7624_7624	Contig1269	7624	7624
Contig126977_2743_2743	Contig126977	2743	2743
Contig126977_2842_2842	Contig126977	2842	2842
Contig126992_864_864	Contig126992	864	864
Contig127008_66_66	Contig127008	66	66
Contig127008_87_87	Contig127008	87	87
Contig127008_90_90	Contig127008	90	90
Contig127008_94_94	Contig127008	94	94
Contig1270_4727_4727	Contig1270	4727	4727
Contig1270_4808_4808	Contig1270	4808	4808
Contig1270_6559_6559	Contig1270	6559	6559
Contig1270_6572_6572	Contig1270	6572	6572
Contig127130_334_334	Contig127130	334	334
Contig127130_343_343	Contig127130	343	343
Contig127340_123_123	Contig127340	123	123
Contig127340_139_139	Contig127340	139	139
Contig127342_5395_5395	Contig127342	5395	5395
Contig127342_6399_6399	Contig127342	6399	6399
Contig127342_6414_6414	Contig127342	6414	6414
Contig127358_2330_2330	Contig127358	2330	2330
Contig127394_5049_5049	Contig127394	5049	5049
Contig127421_580_580	Contig127421	580	580
Contig127421_585_585	Contig127421	585	585
Contig127471_816_816	Contig127471	816	816
Contig127471_820_820	Contig127471	820	820
Contig127481_32539_32539	Contig127481	32539	32539
Contig127481_32541_32541	Contig127481	32541	32541
Contig127481_32545_32545	Contig127481	32545	32545
Contig127481_32551_32551	Contig127481	32551	32551
Contig127523_509_509	Contig127523	509	509
Contig127523_525_525	Contig127523	525	525
Contig127523_530_530	Contig127523	530	530
Contig127546_1577_1577	Contig127546	1577	1577
Contig127546_1586_1586	Contig127546	1586	1586
Contig127546_2165_2165	Contig127546	2165	2165
Contig127546_2177_2177	Contig127546	2177	2177
Contig127546_2181_2181	Contig127546	2181	2181
Contig127546_2276_2276	Contig127546	2276	2276
Contig127546_2278_2278	Contig127546	2278	2278
Contig127546_2283_2283	Contig127546	2283	2283
Contig127546_66_66	Contig127546	66	66
Contig127546_69_69	Contig127546	69	69
Contig127546_85_85	Contig127546	85	85
Contig127636_5561_5561	Contig127636	5561	5561
Contig127636_5568_5568	Contig127636	5568	5568
Contig127650_4359_4359	Contig127650	4359	4359
Contig127650_4371_4371	Contig127650	4371	4371
Contig127678_956_956	Contig127678	956	956
Contig127738_3877_3877	Contig127738	3877	3877
Contig127746_654_654	Contig127746	654	654
Contig127747_1206_1206	Contig127747	1206	1206
Contig127747_1212_1212	Contig127747	1212	1212
Contig127747_1219_1219	Contig127747	1219	1219
Contig127747_1252_1252	Contig127747	1252	1252
Contig127747_1259_1259	Contig127747	1259	1259
Contig127747_1322_1322	Contig127747	1322	1322
Contig127747_1442_1442	Contig127747	1442	1442
Contig127747_1459_1459	Contig127747	1459	1459
Contig127747_1465_1465	Contig127747	1465	1465
Contig127747_1469_1469	Contig127747	1469	1469
Contig127747_1942_1942	Contig127747	1942	1942
