contig	locus	id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
Contig16933	23568	Contig16933_23568	18	3.330e-01	-1.175e+00	6.787e-01	0.08352	3.140e-01	1.767e-01	1.533e+00	1.235e+00	3.315e+00	9.141e-01
Contig16933	23571	Contig16933_23571	18	3.755e-01	-9.329e-01	5.379e-01	0.08289	5.516e-01	2.960e-01	1.526e+00	3.936e+00	3.286e+00	8.535e-01
Contig16933	23584	Contig16933_23584	18	3.377e-01	-5.887e-01	6.123e-01	0.3363	6.022e-01	3.003e-01	2.303e+00	5.373e+00	3.159e+00	9.217e-01
Contig16934	7490	Contig16934_7490	18	2.865e-01	-2.196e-01	1.076e+00	0.8383	8.053e-01	2.083e-01	9.276e+00	1.631e+01	3.616e+00	1.255e+00
Contig16934	7508	Contig16934_7508	18	3.132e-01	1.466e-01	1.993e+00	0.9414	3.416e-01	1.704e-01	1.852e+01	1.309e+01	4.704e+00	1.782e+00
Contig16942	109	Contig16942_109	18	3.553e-01	-1.662e+00	8.851e-01	0.06035	5.721e-01	2.956e-01	2.223e+00	4.757e+00	5.111e+00	1.149e+00
Contig16942	116	Contig16942_116	18	2.812e-01	4.090e-01	9.535e-01	0.668	6.739e-01	2.601e-01	7.292e+00	1.298e+01	3.030e+00	1.202e+00
Contig16942	121	Contig16942_121	18	2.270e-01	1.102e+00	1.145e+00	0.3359	6.907e-01	1.998e-01	9.093e+00	1.201e+01	3.082e+00	1.304e+00
Contig16970	9899	Contig16970_9899	18	2.821e-01	1.759e-02	1.217e+00	0.9885	5.355e-01	2.608e-01	7.995e+00	1.211e+01	3.519e+00	1.308e+00
Contig16970	9911	Contig16970_9911	18	3.105e-01	7.099e-01	8.595e-01	0.4088	4.429e-01	2.509e-01	4.124e+00	5.593e+00	2.340e+00	1.082e+00
Contig16970	10121	Contig16970_10121	18	4.325e-01	1.710e-01	4.957e-01	0.7301	6.704e-01	2.753e-01	1.622e+00	4.214e+00	1.663e+00	7.435e-01
Contig16971	5168	Contig16971_5168	18	3.735e-01	-1.081e-01	7.911e-01	0.8913	7.075e-01	2.599e-01	2.930e+00	5.357e+00	3.476e+00	9.861e-01
Contig16971	5193	Contig16971_5193	18	2.996e-01	4.062e-01	4.482e-01	0.3647	7.493e-01	2.543e-01	2.791e+00	6.720e+00	1.335e+00	7.047e-01
Contig16971	7195	Contig16971_7195	18	3.014e-01	2.030e-01	8.157e-01	0.8034	7.891e-01	2.148e-01	5.312e+00	1.074e+01	2.175e+00	1.028e+00
Contig169737	355	Contig169737_355	18	2.842e-01	9.739e-02	4.345e-01	0.8226	7.762e-01	2.172e-01	2.219e+00	3.678e+00	1.904e+00	6.811e-01
Contig16974	2096	Contig16974_2096	18	2.736e-01	-1.345e+00	1.560e+00	0.3884	7.940e-01	2.236e-01	1.515e+01	2.250e+01	3.446e+00	1.464e+00
Contig17003	2488	Contig17003_2488	18	2.654e-01	2.066e+00	1.547e+00	0.1817	7.354e-01	2.857e-01	1.101e+01	1.542e+01	3.951e+00	1.469e+00
Contig17003	2920	Contig17003_2920	18	2.170e-01	5.469e-01	1.387e+00	0.6933	7.768e-01	2.149e-01	1.721e+01	2.104e+01	3.558e+00	1.463e+00
Contig17009	24704	Contig17009_24704	18	2.817e-01	-4.467e-01	9.708e-01	0.6454	7.135e-01	2.728e-01	8.188e+00	1.544e+01	4.264e+00	1.191e+00
Contig170096	1955	Contig170096_1955	18	1.716e-01	-7.005e-01	1.836e+00	0.7028	5.594e-01	1.550e-01	2.363e+01	1.861e+01	5.274e+00	1.765e+00
Contig170096	2172	Contig170096_2172	18	3.123e-01	4.415e-01	8.156e-01	0.5883	6.390e-01	2.775e-01	3.553e+00	6.131e+00	3.155e+00	1.089e+00
Contig1701	6845	Contig1701_6845	18	2.523e-01	1.082e+00	1.508e+00	0.4728	4.609e-01	1.926e-01	1.079e+01	1.031e+01	2.058e+00	1.421e+00
Contig17015	800	Contig17015_800	18	3.313e-01	1.012e-01	6.418e-01	0.8747	6.375e-01	2.691e-01	1.982e+00	4.127e+00	2.853e+00	9.316e-01
Contig17018	974	Contig17018_974	18	2.893e-01	-3.126e-02	9.413e-01	0.9735	7.197e-01	2.369e-01	6.096e+00	1.009e+01	3.500e+00	1.211e+00
Contig17018	980	Contig17018_980	18	2.320e-01	-3.259e-01	1.672e+00	0.8454	5.928e-01	2.384e-01	2.328e+01	2.169e+01	4.377e+00	1.600e+00
Contig17018	989	Contig17018_989	18	3.503e-01	3.758e-02	7.330e-01	0.9591	6.041e-01	2.790e-01	2.631e+00	5.681e+00	3.584e+00	9.734e-01
Contig17018	1030	Contig17018_1030	18	3.628e-01	-1.180e+00	6.965e-01	0.09036	7.222e-01	2.571e-01	3.626e+00	9.281e+00	3.723e+00	1.043e+00
Contig17019	11503	Contig17019_11503	18	3.919e-01	3.067e-01	5.501e-01	0.5771	6.853e-01	2.491e-01	2.277e+00	5.259e+00	8.344e-01	8.110e-01
Contig170330	1095	Contig170330_1095	18	2.918e-01	7.017e-01	9.299e-01	0.4505	6.902e-01	2.474e-01	4.642e+00	7.244e+00	2.954e+00	1.153e+00
Contig17037	2956	Contig17037_2956	18	1.989e-01	-6.279e-01	1.495e+00	0.6745	8.111e-01	9.122e-02	1.861e+01	1.982e+01	2.272e+00	1.380e+00
Contig17037	2963	Contig17037_2963	18	3.228e-01	4.801e-02	6.873e-01	0.9443	6.937e-01	2.771e-01	5.229e+00	1.067e+01	2.380e+00	1.016e+00
Contig17038	7261	Contig17038_7261	18	2.855e-01	-1.848e-02	9.955e-01	0.9852	6.241e-01	2.901e-01	5.788e+00	7.497e+00	4.081e+00	1.367e+00
Contig17038	7291	Contig17038_7291	18	2.986e-01	-4.554e-02	8.427e-01	0.9569	7.058e-01	2.634e-01	5.932e+00	1.342e+01	4.200e+00	1.165e+00
Contig17038	7296	Contig17038_7296	18	2.846e-01	-2.955e-01	9.168e-01	0.7472	6.419e-01	2.647e-01	7.098e+00	1.235e+01	4.084e+00	1.236e+00
Contig17038	7384	Contig17038_7384	18	2.835e-01	-9.786e-01	9.945e-01	0.3251	6.796e-01	2.594e-01	5.342e+00	8.734e+00	4.532e+00	1.346e+00
Contig17038	7411	Contig17038_7411	18	1.900e-01	9.934e-02	1.762e+00	0.955	7.921e-01	1.465e-01	3.016e+01	2.861e+01	3.196e+00	1.592e+00
Contig17038	7491	Contig17038_7491	18	2.490e-01	-1.124e+00	9.393e-01	0.2313	4.734e-01	2.056e-01	4.651e+00	5.527e+00	3.784e+00	1.163e+00
Contig17038	7545	Contig17038_7545	18	2.707e-01	-7.651e-01	9.556e-01	0.4233	7.216e-01	2.756e-01	8.197e+00	1.353e+01	4.177e+00	1.199e+00
Contig17038	7552	Contig17038_7552	18	3.624e-01	-7.762e-01	8.266e-01	0.3478	6.090e-01	2.838e-01	1.464e+00	2.491e+00	4.291e+00	1.056e+00
Contig17038	7618	Contig17038_7618	18	3.433e-01	-4.848e-01	8.162e-01	0.5525	2.788e-01	1.630e-01	3.145e+00	2.847e+00	3.750e+00	1.102e+00
Contig17038	7627	Contig17038_7627	18	3.066e-01	3.068e-01	7.831e-01	0.6952	4.475e-01	2.403e-01	3.186e+00	7.280e+00	2.927e+00	9.837e-01
Contig17038	7634	Contig17038_7634	18	2.655e-01	-3.970e-01	1.077e+00	0.7124	5.513e-01	2.628e-01	5.785e+00	7.260e+00	4.168e+00	1.198e+00
Contig17038	7699	Contig17038_7699	18	3.125e-01	-7.030e-01	1.203e+00	0.5591	3.653e-01	1.891e-01	5.514e+00	3.909e+00	3.845e+00	1.334e+00
Contig17038	8227	Contig17038_8227	18	2.201e-01	4.993e-01	1.146e+00	0.6629	8.924e-01	1.234e-01	2.173e+01	2.592e+01	3.918e+00	1.661e+00
Contig17038	10065	Contig17038_10065	18	1.769e-01	-1.295e+00	1.953e+00	0.5073	7.194e-01	1.349e-01	3.031e+01	2.611e+01	3.295e+00	1.797e+00
Contig17038	13012	Contig17038_13012	18	2.577e-01	-5.154e-01	9.016e-01	0.5676	7.151e-01	2.217e-01	5.339e+00	8.581e+00	3.491e+00	1.152e+00
Contig17038	13024	Contig17038_13024	18	2.777e-01	8.547e-01	1.233e+00	0.4882	3.973e-01	2.146e-01	8.257e+00	7.088e+00	3.429e+00	1.316e+00
Contig17038	13052	Contig17038_13052	18	2.982e-01	3.799e-01	1.449e+00	0.7932	3.695e-01	1.937e-01	1.065e+01	7.629e+00	2.962e+00	1.455e+00
Contig17038	13149	Contig17038_13149	18	2.477e-01	-2.430e-01	8.966e-01	0.7864	7.135e-01	2.369e-01	6.757e+00	9.527e+00	4.152e+00	1.233e+00
Contig17038	13157	Contig17038_13157	18	2.628e-01	-1.174e+00	1.077e+00	0.2756	7.819e-01	2.484e-01	6.130e+00	1.261e+01	4.288e+00	1.251e+00
Contig17038	13165	Contig17038_13165	18	2.674e-01	6.748e-01	7.253e-01	0.3522	6.167e-01	2.722e-01	4.975e+00	9.987e+00	2.437e+00	9.691e-01
Contig17038	13198	Contig17038_13198	18	2.722e-01	1.458e-01	6.568e-01	0.8243	7.553e-01	2.251e-01	4.375e+00	1.008e+01	2.988e+00	9.283e-01
Contig17038	13212	Contig17038_13212	18	3.254e-01	-2.716e-01	6.284e-01	0.6656	6.863e-01	2.542e-01	2.457e+00	4.502e+00	3.539e+00	9.400e-01
Contig17038	13300	Contig17038_13300	18	1.846e-01	1.866e+00	1.696e+00	0.2712	9.200e-01	5.832e-02	2.861e+01	2.433e+01	3.045e+00	1.516e+00
Contig17038	13321	Contig17038_13321	18	2.953e-01	4.737e-01	6.254e-01	0.4488	6.043e-01	2.561e-01	2.695e+00	5.883e+00	2.666e+00	8.939e-01
Contig17038	13342	Contig17038_13342	18	3.079e-01	-2.036e-02	6.171e-01	0.9737	6.024e-01	2.733e-01	2.617e+00	6.170e+00	3.152e+00	9.095e-01
Contig17038	13363	Contig17038_13363	18	2.892e-01	9.656e-01	9.369e-01	0.3027	7.531e-01	2.315e-01	5.985e+00	1.207e+01	2.594e+00	1.058e+00
Contig17038	13375	Contig17038_13375	18	2.921e-01	-9.012e-01	1.899e+00	0.6352	3.976e-01	1.951e-01	2.024e+01	1.604e+01	4.770e+00	1.729e+00
Contig17038	13377	Contig17038_13377	18	1.855e-01	-5.826e-02	1.509e+00	0.9692	5.571e-01	1.816e-01	1.649e+01	1.213e+01	2.338e+00	1.528e+00
Contig17038	13389	Contig17038_13389	18	3.067e-01	-3.332e-01	7.502e-01	0.657	6.874e-01	2.667e-01	4.266e+00	8.220e+00	3.265e+00	1.057e+00
Contig17038	15759	Contig17038_15759	18	2.742e-01	-2.432e-01	1.099e+00	0.8248	6.886e-01	2.875e-01	1.014e+01	1.708e+01	4.363e+00	1.307e+00
Contig17038	15859	Contig17038_15859	18	3.452e-01	6.775e-01	7.441e-01	0.3625	6.371e-01	2.675e-01	2.697e+00	5.108e+00	2.782e+00	9.887e-01
Contig17038	16901	Contig17038_16901	18	2.408e-01	-4.251e-01	1.278e+00	0.7395	7.871e-01	2.068e-01	1.003e+01	1.399e+01	4.996e+00	1.269e+00
Contig17038	16904	Contig17038_16904	18	2.231e-01	-1.725e-01	1.057e+00	0.8704	7.798e-01	1.602e-01	9.995e+00	1.492e+01	3.061e+00	1.257e+00
Contig17038	17772	Contig17038_17772	18	2.914e-01	9.965e-01	8.023e-01	0.2142	6.371e-01	2.809e-01	5.938e+00	1.160e+01	2.816e+00	1.035e+00
Contig17038	17801	Contig17038_17801	18	2.206e-01	-4.784e-01	8.705e-01	0.5826	8.443e-01	1.704e-01	1.077e+01	1.349e+01	4.284e+00	1.220e+00
Contig17038	17805	Contig17038_17805	18	2.799e-01	-5.024e-01	7.202e-01	0.4854	7.717e-01	2.386e-01	7.811e+00	1.585e+01	4.063e+00	1.100e+00
Contig17038	17816	Contig17038_17816	18	2.751e-01	8.621e-01	1.140e+00	0.4496	4.214e-01	1.958e-01	6.135e+00	4.849e+00	2.778e+00	1.302e+00
Contig17038	17883	Contig17038_17883	18	2.289e-01	9.483e-01	1.286e+00	0.4608	8.436e-01	1.894e-01	1.233e+01	1.856e+01	3.839e+00	1.428e+00
Contig17038	17897	Contig17038_17897	18	2.331e-01	7.629e-01	1.331e+00	0.5665	7.610e-01	2.552e-01	1.704e+01	2.387e+01	3.993e+00	1.440e+00
Contig17038	17903	Contig17038_17903	18	3.343e-01	1.494e-01	7.288e-01	0.8376	5.060e-01	3.073e-01	3.028e+00	6.138e+00	3.226e+00	1.017e+00
Contig17038	17924	Contig17038_17924	18	2.090e-01	-2.307e+00	1.002e+00	0.02131	8.089e-01	1.709e-01	1.318e+01	1.530e+01	5.315e+00	1.308e+00
Contig17038	17943	Contig17038_17943	18	3.383e-01	-1.364e+00	7.918e-01	0.08487	7.854e-01	2.161e-01	4.089e+00	8.440e+00	4.621e+00	1.161e+00
Contig17038	17946	Contig17038_17946	18	3.316e-01	-3.049e-01	9.490e-01	0.748	6.560e-01	2.894e-01	4.266e+00	7.531e+00	3.840e+00	1.206e+00
Contig17038	19434	Contig17038_19434	18	2.710e-01	-6.692e-01	1.259e+00	0.5952	8.073e-01	1.933e-01	1.190e+01	1.889e+01	4.635e+00	1.332e+00
Contig17038	19451	Contig17038_19451	18	2.347e-01	-1.694e+00	1.473e+00	0.2502	8.143e-01	1.559e-01	1.913e+01	2.174e+01	4.850e+00	1.493e+00
Contig170423	7574	Contig170423_7574	18	3.401e-01	1.123e+00	6.007e-01	0.06151	5.397e-01	2.800e-01	2.050e+00	4.425e+00	1.041e+00	8.419e-01
Contig17050	10435	Contig17050_10435	18	3.065e-01	-1.192e+00	9.766e-01	0.2223	6.799e-01	2.693e-01	4.467e+00	6.676e+00	4.957e+00	1.125e+00
Contig17050	10477	Contig17050_10477	18	3.085e-01	-9.123e-01	6.506e-01	0.1608	7.980e-01	2.085e-01	5.336e+00	1.039e+01	3.501e+00	1.007e+00
Contig17050	81690	Contig17050_81690	18	2.753e-01	4.522e-01	6.978e-01	0.517	6.671e-01	2.780e-01	5.708e+00	1.091e+01	2.160e+00	9.771e-01
Contig17050	81696	Contig17050_81696	18	2.913e-01	4.091e-01	5.098e-01	0.4222	5.737e-01	2.434e-01	1.603e+00	2.653e+00	1.311e+00	7.215e-01
Contig17050	81740	Contig17050_81740	18	3.282e-01	1.414e-01	5.483e-01	0.7965	7.469e-01	2.569e-01	3.507e+00	7.331e+00	1.291e+00	8.187e-01
Contig17051	4038	Contig17051_4038	18	2.235e-01	7.431e-01	1.177e+00	0.5277	7.866e-01	1.859e-01	1.748e+01	2.200e+01	2.829e+00	1.500e+00
Contig170527	1283	Contig170527_1283	18	3.143e-01	7.861e-01	1.075e+00	0.4647	6.817e-01	2.859e-01	7.639e+00	1.550e+01	2.749e+00	1.169e+00
Contig17057	23156	Contig17057_23156	18	2.127e-01	2.496e-02	1.523e+00	0.9869	6.802e-01	2.232e-01	1.838e+01	2.247e+01	3.394e+00	1.469e+00
Contig17057	23169	Contig17057_23169	18	2.906e-01	5.888e-01	9.049e-01	0.5152	6.967e-01	2.747e-01	5.560e+00	1.111e+01	2.940e+00	1.132e+00
Contig17057	23175	Contig17057_23175	18	3.202e-01	4.718e-02	7.794e-01	0.9517	7.364e-01	2.413e-01	3.336e+00	5.883e+00	3.145e+00	1.055e+00
Contig17057	23181	Contig17057_23181	18	2.748e-01	3.671e-01	8.041e-01	0.648	4.836e-01	2.341e-01	3.658e+00	4.113e+00	3.030e+00	1.055e+00
Contig17057	23191	Contig17057_23191	18	2.929e-01	-4.293e-02	8.209e-01	0.9583	5.025e-01	2.600e-01	2.742e+00	4.333e+00	4.126e+00	1.093e+00
Contig17057	23583	Contig17057_23583	18	2.736e-01	-1.044e+00	8.526e-01	0.2209	7.039e-01	2.572e-01	6.984e+00	1.123e+01	3.677e+00	1.100e+00
Contig17057	23665	Contig17057_23665	18	2.955e-01	3.373e-02	6.557e-01	0.959	6.176e-01	2.620e-01	3.058e+00	6.028e+00	1.983e+00	9.137e-01
Contig17058	5238	Contig17058_5238	18	2.335e-01	-8.438e-01	1.430e+00	0.5551	6.798e-01	2.359e-01	1.523e+01	2.047e+01	5.117e+00	1.432e+00
Contig17058	5253	Contig17058_5253	18	2.369e-01	-4.750e-01	2.301e+00	0.8364	7.035e-01	2.377e-01	1.925e+01	2.399e+01	4.796e+00	1.637e+00
Contig17058	5285	Contig17058_5285	18	3.129e-01	6.864e-01	8.453e-01	0.4168	6.534e-01	2.694e-01	3.352e+00	7.714e+00	2.860e+00	9.800e-01
Contig17058	9152	Contig17058_9152	18	2.614e-01	6.775e-01	1.071e+00	0.5269	6.999e-01	2.619e-01	7.525e+00	1.141e+01	3.529e+00	1.167e+00
Contig17058	9254	Contig17058_9254	18	2.798e-01	-5.605e-01	7.963e-01	0.4815	7.391e-01	2.444e-01	5.783e+00	1.029e+01	3.614e+00	1.081e+00
Contig17083	887	Contig17083_887	18	2.110e-01	-2.132e+00	2.112e+00	0.3128	8.804e-01	1.515e-01	3.431e+01	3.672e+01	6.065e+00	2.026e+00
Contig170850	5280	Contig170850_5280	18	3.057e-01	-2.340e+00	1.568e+00	0.1355	3.778e-01	1.818e-01	1.234e+01	9.764e+00	-6.669e-01	1.524e+00
Contig170850	5286	Contig170850_5286	18	3.675e-01	-2.435e-01	5.660e-01	0.6671	7.225e-01	2.514e-01	2.437e+00	7.145e+00	2.776e+00	7.985e-01
Contig17091	19047	Contig17091_19047	18	1.830e-01	3.497e-01	1.238e+00	0.7777	8.655e-01	9.903e-02	2.590e+01	2.820e+01	4.232e+00	1.501e+00
Contig17091	19065	Contig17091_19065	18	2.915e-01	-3.333e-01	7.911e-01	0.6735	7.288e-01	2.635e-01	4.674e+00	8.955e+00	4.256e+00	1.056e+00
Contig17091	19070	Contig17091_19070	18	2.556e-01	-1.639e+00	1.305e+00	0.2093	4.854e-01	2.142e-01	7.778e+00	8.625e+00	4.259e+00	1.336e+00
Contig17091	19092	Contig17091_19092	18	2.535e-01	7.498e-01	1.018e+00	0.4615	6.634e-01	2.371e-01	4.546e+00	7.439e+00	3.215e+00	1.228e+00
Contig17091	19100	Contig17091_19100	18	2.065e-01	5.737e-01	1.946e+00	0.7682	7.867e-01	1.956e-01	3.649e+01	3.719e+01	5.243e+00	2.393e+00
Contig17091	19118	Contig17091_19118	18	2.601e-01	-2.366e-02	8.454e-01	0.9777	7.045e-01	2.392e-01	5.035e+00	1.043e+01	2.950e+00	1.118e+00
Contig17091	19219	Contig17091_19219	18	2.602e-01	-6.061e-01	1.184e+00	0.6086	6.279e-01	2.546e-01	6.243e+00	1.026e+01	4.291e+00	1.474e+00
Contig17091	25045	Contig17091_25045	18	3.210e-01	-2.841e-01	1.022e+00	0.7811	3.389e-01	1.826e-01	7.128e+00	7.015e+00	4.091e+00	1.286e+00
Contig17091	25150	Contig17091_25150	18	2.362e-01	2.363e-01	1.436e+00	0.8693	5.406e-01	2.230e-01	1.118e+01	1.047e+01	4.416e+00	1.470e+00
Contig171	32473	Contig171_32473	18	2.201e-01	-7.748e-01	1.400e+00	0.5799	8.803e-01	1.348e-01	1.773e+01	2.011e+01	4.559e+00	1.455e+00
Contig17101	5158	Contig17101_5158	18	2.634e-01	1.485e-02	7.452e-01	0.9841	7.341e-01	2.345e-01	6.465e+00	1.267e+01	2.328e+00	1.021e+00
Contig17101	5163	Contig17101_5163	18	1.865e-01	-1.150e+00	1.612e+00	0.4757	8.124e-01	8.889e-02	2.506e+01	2.355e+01	2.104e+00	1.539e+00
Contig17101	5170	Contig17101_5170	18	1.835e-01	-5.881e-02	9.295e-01	0.9496	8.294e-01	1.499e-01	1.883e+01	2.224e+01	1.337e+00	1.207e+00
Contig17101	5203	Contig17101_5203	18	2.947e-01	-4.503e-03	5.888e-01	0.9939	7.283e-01	2.516e-01	4.065e+00	7.753e+00	2.363e+00	9.062e-01
Contig17101	5482	Contig17101_5482	18	3.372e-01	-4.587e-01	6.842e-01	0.5026	7.488e-01	2.542e-01	2.889e+00	7.140e+00	3.796e+00	9.992e-01
Contig17101	5488	Contig17101_5488	18	2.976e-01	2.155e-01	5.365e-01	0.688	6.286e-01	2.652e-01	2.176e+00	3.690e+00	2.701e+00	7.993e-01
Contig17101	5587	Contig17101_5587	18	2.730e-01	2.246e-01	9.168e-01	0.8064	8.164e-01	1.846e-01	8.822e+00	1.439e+01	1.773e+00	1.181e+00
Contig17101	5596	Contig17101_5596	18	3.278e-01	2.783e-01	6.431e-01	0.6652	7.340e-01	2.503e-01	3.019e+00	5.176e+00	1.822e+00	8.895e-01
Contig17101	7068	Contig17101_7068	18	3.541e-01	-9.465e-01	5.659e-01	0.09439	8.094e-01	2.088e-01	3.437e+00	6.493e+00	3.193e+00	8.969e-01
Contig17101	7172	Contig17101_7172	18	3.354e-01	3.619e-02	8.672e-01	0.9667	2.990e-01	1.710e-01	4.615e+00	4.081e+00	2.619e+00	1.104e+00
Contig17101	7225	Contig17101_7225	18	3.205e-01	-3.820e-01	5.006e-01	0.4454	7.144e-01	2.836e-01	2.448e+00	5.735e+00	1.866e+00	7.555e-01
Contig17101	7241	Contig17101_7241	18	2.807e-01	1.739e-01	6.520e-01	0.7897	6.673e-01	2.688e-01	3.261e+00	5.548e+00	2.976e+00	8.780e-01
Contig17101	7256	Contig17101_7256	18	3.364e-01	-3.013e-01	7.402e-01	0.684	7.215e-01	2.659e-01	3.328e+00	6.992e+00	3.262e+00	9.977e-01
Contig17101	7270	Contig17101_7270	18	2.091e-01	-5.224e-02	1.180e+00	0.9647	8.601e-01	9.529e-02	1.676e+01	1.844e+01	2.076e+00	1.452e+00
Contig17101	7285	Contig17101_7285	18	3.174e-01	-9.172e-01	7.116e-01	0.1974	3.536e-01	1.816e-01	2.545e+00	1.943e+00	3.023e+00	9.683e-01
Contig17101	7300	Contig17101_7300	18	3.309e-01	-1.320e-01	4.254e-01	0.7563	3.704e-01	2.261e-01	1.039e+00	1.596e+00	1.867e+00	6.379e-01
Contig17101	7327	Contig17101_7327	18	2.553e-01	8.908e-01	7.837e-01	0.2556	8.671e-01	1.524e-01	4.905e+00	7.671e+00	1.591e+00	9.849e-01
Contig17101	7339	Contig17101_7339	18	2.975e-01	-2.410e-01	5.109e-01	0.6371	7.523e-01	2.298e-01	3.006e+00	5.290e+00	2.712e+00	7.973e-01
Contig17101	7348	Contig17101_7348	18	3.135e-01	-7.507e-03	5.294e-01	0.9887	7.721e-01	2.231e-01	3.811e+00	6.765e+00	1.954e+00	8.374e-01
Contig17101	7373	Contig17101_7373	18	3.230e-01	-2.964e-01	4.217e-01	0.4821	6.352e-01	2.454e-01	1.179e+00	2.598e+00	2.022e+00	6.374e-01
Contig17101	7377	Contig17101_7377	18	2.413e-01	5.863e-01	7.489e-01	0.4337	7.228e-01	2.499e-01	7.712e+00	1.307e+01	2.245e+00	1.018e+00
Contig17101	8071	Contig17101_8071	18	3.128e-01	8.632e-01	7.942e-01	0.2771	6.028e-01	2.801e-01	4.008e+00	6.459e+00	1.532e+00	9.887e-01
Contig17101	8338	Contig17101_8338	18	2.991e-01	9.532e-02	6.064e-01	0.8751	7.134e-01	2.325e-01	3.990e+00	7.439e+00	2.347e+00	8.828e-01
Contig17101	13359	Contig17101_13359	18	2.788e-01	3.055e-01	6.442e-01	0.6353	7.879e-01	2.151e-01	5.142e+00	8.565e+00	1.305e+00	9.442e-01
Contig17101	13365	Contig17101_13365	18	2.489e-01	5.168e-02	6.879e-01	0.9401	5.725e-01	2.012e-01	3.184e+00	4.467e+00	6.821e-01	9.438e-01
Contig17101	13380	Contig17101_13380	18	2.983e-01	-1.089e+00	9.873e-01	0.2702	4.086e-01	2.120e-01	6.224e+00	7.446e+00	3.607e+00	1.240e+00
Contig17101	13391	Contig17101_13391	18	2.749e-01	1.221e-01	5.261e-01	0.8165	7.921e-01	1.936e-01	4.578e+00	1.033e+01	1.036e+00	8.019e-01
Contig17101	14849	Contig17101_14849	18	2.577e-01	5.201e-01	6.957e-01	0.4547	5.684e-01	2.193e-01	3.581e+00	5.844e+00	1.414e+00	9.635e-01
Contig17101	15090	Contig17101_15090	18	3.797e-01	2.314e-01	5.658e-01	0.6825	4.281e-01	2.511e-01	1.095e+00	1.449e+00	1.539e+00	7.982e-01
Contig17101	15097	Contig17101_15097	18	4.158e-01	-5.287e-01	4.252e-01	0.2137	6.721e-01	2.619e-01	1.484e+00	3.419e+00	2.013e+00	6.213e-01
Contig17101	15107	Contig17101_15107	18	4.605e-01	-5.121e-01	4.041e-01	0.205	6.780e-01	2.745e-01	1.213e+00	2.993e+00	1.338e+00	6.262e-01
Contig17101	15111	Contig17101_15111	18	4.589e-01	9.288e-02	4.432e-01	0.834	6.841e-01	2.510e-01	1.052e+00	2.932e+00	1.351e+00	6.614e-01
Contig17101	15609	Contig17101_15609	18	3.630e-01	-3.256e-02	5.183e-01	0.9499	7.224e-01	2.484e-01	2.724e+00	5.054e+00	1.790e+00	7.504e-01
Contig17101	15685	Contig17101_15685	18	3.318e-01	1.747e-02	5.759e-01	0.9758	6.623e-01	2.962e-01	2.592e+00	6.702e+00	2.430e+00	8.190e-01
Contig17101	15699	Contig17101_15699	18	2.678e-01	-2.059e-01	7.707e-01	0.7893	8.240e-01	1.896e-01	5.072e+00	8.577e+00	2.998e+00	1.025e+00
Contig17101	15702	Contig17101_15702	18	2.382e-01	-7.162e-01	9.276e-01	0.44	7.818e-01	2.516e-01	1.106e+01	1.588e+01	3.810e+00	1.201e+00
Contig17101	15712	Contig17101_15712	18	3.096e-01	6.678e-01	7.136e-01	0.3493	3.726e-01	1.881e-01	2.255e+00	1.992e+00	1.191e+00	9.700e-01
Contig17101	15747	Contig17101_15747	18	2.985e-01	-6.492e-02	6.992e-01	0.926	8.131e-01	2.018e-01	5.374e+00	9.352e+00	3.240e+00	1.070e+00
Contig17101	15753	Contig17101_15753	18	3.120e-01	-2.700e-01	7.270e-01	0.7104	7.578e-01	2.351e-01	3.825e+00	8.488e+00	3.563e+00	1.039e+00
Contig17101	15757	Contig17101_15757	18	3.059e-01	-8.044e-01	6.403e-01	0.2091	7.946e-01	2.175e-01	4.196e+00	6.872e+00	3.399e+00	9.922e-01
Contig17101	15763	Contig17101_15763	18	2.929e-01	1.012e-01	7.669e-01	0.895	5.635e-01	2.758e-01	3.191e+00	4.983e+00	3.293e+00	1.054e+00
Contig17101	15789	Contig17101_15789	18	3.555e-01	1.087e-01	4.150e-01	0.7934	6.866e-01	2.679e-01	2.054e+00	4.129e+00	7.896e-01	6.592e-01
Contig17101	15799	Contig17101_15799	18	2.604e-01	1.222e-01	1.044e+00	0.9068	7.912e-01	2.104e-01	6.249e+00	1.009e+01	3.152e+00	1.150e+00
Contig17101	16002	Contig17101_16002	18	2.568e-01	-1.983e-01	5.494e-01	0.7181	6.535e-01	2.380e-01	3.732e+00	7.358e+00	1.139e+00	8.261e-01
Contig17101	16011	Contig17101_16011	18	2.517e-01	1.137e-01	7.372e-01	0.8774	7.221e-01	2.228e-01	8.245e+00	1.538e+01	2.411e+00	1.042e+00
Contig17101	17580	Contig17101_17580	18	2.863e-01	-1.431e+00	1.105e+00	0.1955	4.154e-01	1.913e-01	6.874e+00	7.056e+00	1.299e+00	1.258e+00
Contig17101	17602	Contig17101_17602	18	3.031e-01	-1.520e-02	8.308e-01	0.9854	7.524e-01	2.182e-01	5.467e+00	9.095e+00	2.385e+00	1.076e+00
Contig17101	19158	Contig17101_19158	18	2.992e-01	1.204e+00	8.567e-01	0.16	6.947e-01	2.470e-01	5.125e+00	7.866e+00	1.985e+00	1.119e+00
