"","contig","start","end","HC.1x.count","SS.1x.count","HC.meanmeth","SS.meanmeth","HC.5x.count","SS.5x.count","start.gene","end.gene","attribute","ID","Note","Ontology_term","SPID"
"42","Contig5593",2339,2339,2,9,81.9444444444444,84.5868945868946,2,9,1,4780,"ID=OLUR_00024942;Name=OLUR_00024942;Alias=maker-Contig5593-snap-gene-0.2;Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);Dbxref=InterPro:IPR000331,InterPro:IPR035974,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50085,SUPERFAMILY:SSF111347;Ontology_term=GO:0005096,GO:0051056;SPID=Q8BQZ4;","ID=OLUR_00024942;","Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);","Ontology_term=GO:0005096,GO:0051056;","Q8BQZ4"
"43","Contig5593",2362,2362,2,9,NA,85.8677037248466,0,7,1,4780,"ID=OLUR_00024942;Name=OLUR_00024942;Alias=maker-Contig5593-snap-gene-0.2;Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);Dbxref=InterPro:IPR000331,InterPro:IPR035974,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50085,SUPERFAMILY:SSF111347;Ontology_term=GO:0005096,GO:0051056;SPID=Q8BQZ4;","ID=OLUR_00024942;","Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);","Ontology_term=GO:0005096,GO:0051056;","Q8BQZ4"
"44","Contig5593",2374,2374,2,9,NA,91.0662177328844,0,9,1,4780,"ID=OLUR_00024942;Name=OLUR_00024942;Alias=maker-Contig5593-snap-gene-0.2;Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);Dbxref=InterPro:IPR000331,InterPro:IPR035974,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50085,SUPERFAMILY:SSF111347;Ontology_term=GO:0005096,GO:0051056;SPID=Q8BQZ4;","ID=OLUR_00024942;","Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);","Ontology_term=GO:0005096,GO:0051056;","Q8BQZ4"
"45","Contig5593",2379,2379,2,9,100,93.4713144517066,2,9,1,4780,"ID=OLUR_00024942;Name=OLUR_00024942;Alias=maker-Contig5593-snap-gene-0.2;Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);Dbxref=InterPro:IPR000331,InterPro:IPR035974,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50085,SUPERFAMILY:SSF111347;Ontology_term=GO:0005096,GO:0051056;SPID=Q8BQZ4;","ID=OLUR_00024942;","Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);","Ontology_term=GO:0005096,GO:0051056;","Q8BQZ4"
"46","Contig60979",1407,1407,2,8,96.875,89.7942912098992,2,7,1,3287,"ID=OLUR_00029950;Name=OLUR_00029950;Alias=maker-Contig60979-snap-gene-0.1;Note=Similar to Galaxin (Acropora millepora OX%3D45264);Dbxref=Coils:Coil;SPID=D9IQ16;","ID=OLUR_00029950;","Note=Similar to Galaxin (Acropora millepora OX%3D45264);",NA,"D9IQ16"
"47","Contig63462",1037,1037,2,8,100,96.4209401709402,1,7,1,3686,"ID=OLUR_00027926;Name=OLUR_00027926;Alias=maker-Contig63462-snap-gene-0.1;Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);Dbxref=CDD:cd06257,Gene3D:G3DSA:1.10.287.110,InterPro:IPR001623,InterPro:IPR004640,InterPro:IPR036869,Pfam:PF00226,ProSiteProfiles:PS50076,SMART:SM00271,SUPERFAMILY:SSF46565,TIGRFAM:TIGR00714;Ontology_term=GO:0001671,GO:0051087,GO:0097428;SPID=Q8IWL3;","ID=OLUR_00027926;","Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);","Ontology_term=GO:0001671,GO:0051087,GO:0097428;","Q8IWL3"
"48","Contig63462",1698,1698,2,9,80,91.9191919191919,1,8,1,3686,"ID=OLUR_00027926;Name=OLUR_00027926;Alias=maker-Contig63462-snap-gene-0.1;Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);Dbxref=CDD:cd06257,Gene3D:G3DSA:1.10.287.110,InterPro:IPR001623,InterPro:IPR004640,InterPro:IPR036869,Pfam:PF00226,ProSiteProfiles:PS50076,SMART:SM00271,SUPERFAMILY:SSF46565,TIGRFAM:TIGR00714;Ontology_term=GO:0001671,GO:0051087,GO:0097428;SPID=Q8IWL3;","ID=OLUR_00027926;","Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);","Ontology_term=GO:0001671,GO:0051087,GO:0097428;","Q8IWL3"
"49","Contig63462",1702,1702,2,8,NA,96.8341503267974,0,8,1,3686,"ID=OLUR_00027926;Name=OLUR_00027926;Alias=maker-Contig63462-snap-gene-0.1;Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);Dbxref=CDD:cd06257,Gene3D:G3DSA:1.10.287.110,InterPro:IPR001623,InterPro:IPR004640,InterPro:IPR036869,Pfam:PF00226,ProSiteProfiles:PS50076,SMART:SM00271,SUPERFAMILY:SSF46565,TIGRFAM:TIGR00714;Ontology_term=GO:0001671,GO:0051087,GO:0097428;SPID=Q8IWL3;","ID=OLUR_00027926;","Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);","Ontology_term=GO:0001671,GO:0051087,GO:0097428;","Q8IWL3"
"50","Contig63462",1715,1715,2,8,NA,96.875,0,8,1,3686,"ID=OLUR_00027926;Name=OLUR_00027926;Alias=maker-Contig63462-snap-gene-0.1;Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);Dbxref=CDD:cd06257,Gene3D:G3DSA:1.10.287.110,InterPro:IPR001623,InterPro:IPR004640,InterPro:IPR036869,Pfam:PF00226,ProSiteProfiles:PS50076,SMART:SM00271,SUPERFAMILY:SSF46565,TIGRFAM:TIGR00714;Ontology_term=GO:0001671,GO:0051087,GO:0097428;SPID=Q8IWL3;","ID=OLUR_00027926;","Note=Similar to HSCB: Iron-sulfur cluster co-chaperone protein HscB%2C mitochondrial (Homo sapiens OX%3D9606);","Ontology_term=GO:0001671,GO:0051087,GO:0097428;","Q8IWL3"
"51","Contig845",11260,11260,2,9,80,89.6258503401361,1,7,3728,45338,"ID=OLUR_00002362;Name=OLUR_00002362;Alias=maker-Contig845-snap-gene-0.4;Note=Similar to 14-3-3zeta: 14-3-3 protein zeta (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd08774,Coils:Coil,Gene3D:G3DSA:1.20.190.20,InterPro:IPR000308,InterPro:IPR023409,InterPro:IPR023410,InterPro:IPR036815,MobiDBLite:mobidb-lite,PRINTS:PR00305,Pfam:PF00244,ProSitePatterns:PS00796,SMART:SM00101,SUPERFAMILY:SSF48445;Ontology_term=GO:0019904;SPID=P29310;","ID=OLUR_00002362;","Note=Similar to 14-3-3zeta: 14-3-3 protein zeta (Drosophila melanogaster OX%3D7227);","Ontology_term=GO:0019904;","P29310"
"52","Contig845",11269,11269,2,9,100,98.7012987012987,1,7,3728,45338,"ID=OLUR_00002362;Name=OLUR_00002362;Alias=maker-Contig845-snap-gene-0.4;Note=Similar to 14-3-3zeta: 14-3-3 protein zeta (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd08774,Coils:Coil,Gene3D:G3DSA:1.20.190.20,InterPro:IPR000308,InterPro:IPR023409,InterPro:IPR023410,InterPro:IPR036815,MobiDBLite:mobidb-lite,PRINTS:PR00305,Pfam:PF00244,ProSitePatterns:PS00796,SMART:SM00101,SUPERFAMILY:SSF48445;Ontology_term=GO:0019904;SPID=P29310;","ID=OLUR_00002362;","Note=Similar to 14-3-3zeta: 14-3-3 protein zeta (Drosophila melanogaster OX%3D7227);","Ontology_term=GO:0019904;","P29310"
"53","Contig845",43807,43807,2,9,85.7142857142857,88.8392857142857,1,8,3728,45338,"ID=OLUR_00002362;Name=OLUR_00002362;Alias=maker-Contig845-snap-gene-0.4;Note=Similar to 14-3-3zeta: 14-3-3 protein zeta (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd08774,Coils:Coil,Gene3D:G3DSA:1.20.190.20,InterPro:IPR000308,InterPro:IPR023409,InterPro:IPR023410,InterPro:IPR036815,MobiDBLite:mobidb-lite,PRINTS:PR00305,Pfam:PF00244,ProSitePatterns:PS00796,SMART:SM00101,SUPERFAMILY:SSF48445;Ontology_term=GO:0019904;SPID=P29310;","ID=OLUR_00002362;","Note=Similar to 14-3-3zeta: 14-3-3 protein zeta (Drosophila melanogaster OX%3D7227);","Ontology_term=GO:0019904;","P29310"
"54","Contig86119",17009,17009,2,8,NA,93.0952380952381,0,7,4679,17335,"ID=OLUR_00010081;Name=OLUR_00010081;Alias=maker-Contig86119-snap-gene-0.2;Note=Similar to CCT7: T-complex protein 1 subunit eta (Gallus gallus OX%3D9031);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.560.10,Gene3D:G3DSA:3.50.7.10,InterPro:IPR002423,InterPro:IPR017998,InterPro:IPR027409,InterPro:IPR027413,MobiDBLite:mobidb-lite,PRINTS:PR00304,Pfam:PF00118,SUPERFAMILY:SSF48592,SUPERFAMILY:SSF52029;Ontology_term=GO:0005524;SPID=Q5ZJK8;","ID=OLUR_00010081;","Note=Similar to CCT7: T-complex protein 1 subunit eta (Gallus gallus OX%3D9031);","Ontology_term=GO:0005524;","Q5ZJK8"
"55","Contig86119",17071,17071,1,7,100,92.4757781900639,1,7,4679,17335,"ID=OLUR_00010081;Name=OLUR_00010081;Alias=maker-Contig86119-snap-gene-0.2;Note=Similar to CCT7: T-complex protein 1 subunit eta (Gallus gallus OX%3D9031);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.560.10,Gene3D:G3DSA:3.50.7.10,InterPro:IPR002423,InterPro:IPR017998,InterPro:IPR027409,InterPro:IPR027413,MobiDBLite:mobidb-lite,PRINTS:PR00304,Pfam:PF00118,SUPERFAMILY:SSF48592,SUPERFAMILY:SSF52029;Ontology_term=GO:0005524;SPID=Q5ZJK8;","ID=OLUR_00010081;","Note=Similar to CCT7: T-complex protein 1 subunit eta (Gallus gallus OX%3D9031);","Ontology_term=GO:0005524;","Q5ZJK8"
