contig_gene,start_gene,end_gene,notes_gene,pval.treatment,adj.pval.pop,ID,Parent,Name,Alias,AED,eAED,Note,Ontology_term,Dbxref
Contig17969,3457,17423,"ID=OLUR_00013322;Name=OLUR_00013322;Alias=maker-Contig17969-snap-gene-0.4;Note=Similar to DNAJA1: DnaJ homolog subfamily A member 1 (Homo sapiens OX%3D9606);Dbxref=CDD:cd06257,CDD:cd10719,CDD:cd10747,Gene3D:G3DSA:1.10.287.110,Gene3D:G3DSA:2.10.230.10,Gene3D:G3DSA:2.60.260.20,Hamap:MF_01152,InterPro:IPR001305,InterPro:IPR001623,InterPro:IPR002939,InterPro:IPR008971,InterPro:IPR012724,InterPro:IPR018253,InterPro:IPR036410,InterPro:IPR036869,MobiDBLite:mobidb-lite,PRINTS:PR00625,Pfam:PF00226,Pfam:PF00684,Pfam:PF01556,ProSitePatterns:PS00636,ProSiteProfiles:PS50076,ProSiteProfiles:PS51188,SMART:SM00271,SUPERFAMILY:SSF46565,SUPERFAMILY:SSF49493,SUPERFAMILY:SSF57938;Ontology_term=GO:0005524,GO:0006457,GO:0009408,GO:0031072,GO:0051082;",0.001065669739857988,0.007385939408081488,ID=OLUR_00013322;,NA,Name=OLUR_00013322;,Alias=maker-Contig17969-snap-gene-0.4;,NA,NA,Note=Similar to DNAJA1: DnaJ homolog subfamily A member 1 (Homo sapiens OX%3D9606);,"Ontology_term=GO:0005524,GO:0006457,GO:0009408,GO:0031072,GO:0051082;","Dbxref=CDD:cd06257,CDD:cd10719,CDD:cd10747,Gene3D:G3DSA:1.10.287.110,Gene3D:G3DSA:2.10.230.10,Gene3D:G3DSA:2.60.260.20,Hamap:MF_01152,InterPro:IPR001305,InterPro:IPR001623,InterPro:IPR002939,InterPro:IPR008971,InterPro:IPR012724,InterPro:IPR018253,InterPro:IPR036410,InterPro:IPR036869,MobiDBLite:mobidb-lite,PRINTS:PR00625,Pfam:PF00226,Pfam:PF00684,Pfam:PF01556,ProSitePatterns:PS00636,ProSiteProfiles:PS50076,ProSiteProfiles:PS51188,SMART:SM00271,SUPERFAMILY:SSF46565,SUPERFAMILY:SSF49493,SUPERFAMILY:SSF57938;"
Contig18716,53219,78277,"ID=OLUR_00000347;Name=OLUR_00000347;Alias=maker-Contig18716-snap-gene-0.9;Note=Similar to Nek10: Serine/threonine-protein kinase Nek10 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.510.10,InterPro:IPR000719,InterPro:IPR008266,InterPro:IPR011009,InterPro:IPR016024,MobiDBLite:mobidb-lite,Pfam:PF00069,ProSitePatterns:PS00109,ProSiteProfiles:PS50011,SUPERFAMILY:SSF48371,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0005524,GO:0006468;",4.818229860902017e-6,6.991713743886377e-5,ID=OLUR_00000347;,NA,Name=OLUR_00000347;,Alias=maker-Contig18716-snap-gene-0.9;,NA,NA,Note=Similar to Nek10: Serine/threonine-protein kinase Nek10 (Mus musculus OX%3D10090);,"Ontology_term=GO:0004672,GO:0005524,GO:0006468;","Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.510.10,InterPro:IPR000719,InterPro:IPR008266,InterPro:IPR011009,InterPro:IPR016024,MobiDBLite:mobidb-lite,Pfam:PF00069,ProSitePatterns:PS00109,ProSiteProfiles:PS50011,SUPERFAMILY:SSF48371,SUPERFAMILY:SSF56112;"
Contig19180,1,40694,"ID=OLUR_00003124;Name=OLUR_00003124;Alias=maker-Contig19180-snap-gene-0.5;Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd06263,Gene3D:G3DSA:2.60.120.200,InterPro:IPR000998,InterPro:IPR013320,MobiDBLite:mobidb-lite,PRINTS:PR00020,Pfam:PF00629,ProSitePatterns:PS00740,ProSiteProfiles:PS50060,SMART:SM00137,SUPERFAMILY:SSF49899;Ontology_term=GO:0016020;",0.003980467884506759,0.020681912250757557,ID=OLUR_00003124;,NA,Name=OLUR_00003124;,Alias=maker-Contig19180-snap-gene-0.5;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);,Ontology_term=GO:0016020;,"Dbxref=CDD:cd06263,Gene3D:G3DSA:2.60.120.200,InterPro:IPR000998,InterPro:IPR013320,MobiDBLite:mobidb-lite,PRINTS:PR00020,Pfam:PF00629,ProSitePatterns:PS00740,ProSiteProfiles:PS50060,SMART:SM00137,SUPERFAMILY:SSF49899;"
Contig19486,1,17575,"ID=OLUR_00010070;Name=OLUR_00010070;Alias=maker-Contig19486-snap-gene-0.2;Note=Similar to bcar3: Breast cancer anti-estrogen resistance protein 3 homolog (Xenopus laevis OX%3D8355);Dbxref=CDD:cd09487,Gene3D:G3DSA:1.10.150.50,Gene3D:G3DSA:1.10.840.10,Gene3D:G3DSA:3.30.505.10,InterPro:IPR000980,InterPro:IPR001660,InterPro:IPR001895,InterPro:IPR013761,InterPro:IPR023578,InterPro:IPR036860,InterPro:IPR036964,MobiDBLite:mobidb-lite,PRINTS:PR00401,Pfam:PF00017,Pfam:PF00536,Pfam:PF00617,ProSiteProfiles:PS50001,ProSiteProfiles:PS50009,ProSiteProfiles:PS50105,SMART:SM00147,SMART:SM00252,SMART:SM00454,SUPERFAMILY:SSF47769,SUPERFAMILY:SSF48366,SUPERFAMILY:SSF55550;Ontology_term=GO:0005085,GO:0005515,GO:0007264;",4.4987878696053885e-4,0.003794135622239829,ID=OLUR_00010070;,NA,Name=OLUR_00010070;,Alias=maker-Contig19486-snap-gene-0.2;,NA,NA,Note=Similar to bcar3: Breast cancer anti-estrogen resistance protein 3 homolog (Xenopus laevis OX%3D8355);,"Ontology_term=GO:0005085,GO:0005515,GO:0007264;","Dbxref=CDD:cd09487,Gene3D:G3DSA:1.10.150.50,Gene3D:G3DSA:1.10.840.10,Gene3D:G3DSA:3.30.505.10,InterPro:IPR000980,InterPro:IPR001660,InterPro:IPR001895,InterPro:IPR013761,InterPro:IPR023578,InterPro:IPR036860,InterPro:IPR036964,MobiDBLite:mobidb-lite,PRINTS:PR00401,Pfam:PF00017,Pfam:PF00536,Pfam:PF00617,ProSiteProfiles:PS50001,ProSiteProfiles:PS50009,ProSiteProfiles:PS50105,SMART:SM00147,SMART:SM00252,SMART:SM00454,SUPERFAMILY:SSF47769,SUPERFAMILY:SSF48366,SUPERFAMILY:SSF55550;"
Contig19512,1,23129,"ID=OLUR_00009397;Name=OLUR_00009397;Alias=maker-Contig19512-snap-gene-0.7;Note=Similar to ALMS1: Alstrom syndrome protein 1 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",4.360722895143606e-4,0.003701071169056204,ID=OLUR_00009397;,NA,Name=OLUR_00009397;,Alias=maker-Contig19512-snap-gene-0.7;,NA,NA,Note=Similar to ALMS1: Alstrom syndrome protein 1 (Homo sapiens OX%3D9606);,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig19704,11535,21904,ID=OLUR_00001397;Name=OLUR_00001397;Alias=maker-Contig19704-snap-gene-0.7;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,0.009858203833414654,0.04407585329984275,ID=OLUR_00001397;,NA,Name=OLUR_00001397;,Alias=maker-Contig19704-snap-gene-0.7;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig19704,15396,27066,ID=OLUR_00001398;Name=OLUR_00001398;Alias=snap_masked-Contig19704-processed-gene-0.5;Note=Protein of unknown function;,0.009858203833414654,0.04407585329984275,ID=OLUR_00001398;,NA,Name=OLUR_00001398;,Alias=snap_masked-Contig19704-processed-gene-0.5;,NA,NA,Note=Protein of unknown function;,NA,NA
Contig19797,6879,25490,ID=OLUR_00004485;Name=OLUR_00004485;Alias=maker-Contig19797-snap-gene-0.7;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,7.736041090434764e-6,1.0912176270521714e-4,ID=OLUR_00004485;,NA,Name=OLUR_00004485;,Alias=maker-Contig19797-snap-gene-0.7;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig19797,17831,25826,"ID=OLUR_00004486;Name=OLUR_00004486;Alias=maker-Contig19797-snap-gene-0.5;Note=Similar to Tnpo1: Transportin-1 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:1.25.10.10,InterPro:IPR001494,InterPro:IPR011989,Pfam:PF03810;Ontology_term=GO:0006886,GO:0008536;",5.793947987766983e-5,6.376526274449048e-4,ID=OLUR_00004486;,NA,Name=OLUR_00004486;,Alias=maker-Contig19797-snap-gene-0.5;,NA,NA,Note=Similar to Tnpo1: Transportin-1 (Mus musculus OX%3D10090);,"Ontology_term=GO:0006886,GO:0008536;","Dbxref=Gene3D:G3DSA:1.25.10.10,InterPro:IPR001494,InterPro:IPR011989,Pfam:PF03810;"
Contig19827,1,5740,"ID=OLUR_00021015;Name=OLUR_00021015;Alias=maker-Contig19827-snap-gene-0.2;Note=Similar to Parp12: Poly [ADP-ribose] polymerase 12 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:3.90.228.10,InterPro:IPR012317,MobiDBLite:mobidb-lite,Pfam:PF00644,ProSiteProfiles:PS51059,SUPERFAMILY:SSF56399;Ontology_term=GO:0003950;",2.5790262163463375e-4,0.002233854923823444,ID=OLUR_00021015;,NA,Name=OLUR_00021015;,Alias=maker-Contig19827-snap-gene-0.2;,NA,NA,Note=Similar to Parp12: Poly [ADP-ribose] polymerase 12 (Mus musculus OX%3D10090);,Ontology_term=GO:0003950;,"Dbxref=Gene3D:G3DSA:3.90.228.10,InterPro:IPR012317,MobiDBLite:mobidb-lite,Pfam:PF00644,ProSiteProfiles:PS51059,SUPERFAMILY:SSF56399;"
Contig20180,1,8836,"ID=OLUR_00022577;Name=OLUR_00022577;Alias=maker-Contig20180-snap-gene-0.2;Note=Similar to IGSF22: Immunoglobulin superfamily member 22 (Homo sapiens OX%3D9606);Dbxref=CDD:cd00063,Gene3D:G3DSA:2.60.40.10,InterPro:IPR003598,InterPro:IPR003599,InterPro:IPR003961,InterPro:IPR007110,InterPro:IPR013098,InterPro:IPR013783,InterPro:IPR036116,InterPro:IPR036179,PRINTS:PR00014,Pfam:PF00041,Pfam:PF07679,ProSiteProfiles:PS50835,ProSiteProfiles:PS50853,SMART:SM00060,SMART:SM00408,SMART:SM00409,SUPERFAMILY:SSF48726,SUPERFAMILY:SSF49265;Ontology_term=GO:0005515;",0.005018093716125004,0.0254461815529073,ID=OLUR_00022577;,NA,Name=OLUR_00022577;,Alias=maker-Contig20180-snap-gene-0.2;,NA,NA,Note=Similar to IGSF22: Immunoglobulin superfamily member 22 (Homo sapiens OX%3D9606);,Ontology_term=GO:0005515;,"Dbxref=CDD:cd00063,Gene3D:G3DSA:2.60.40.10,InterPro:IPR003598,InterPro:IPR003599,InterPro:IPR003961,InterPro:IPR007110,InterPro:IPR013098,InterPro:IPR013783,InterPro:IPR036116,InterPro:IPR036179,PRINTS:PR00014,Pfam:PF00041,Pfam:PF07679,ProSiteProfiles:PS50835,ProSiteProfiles:PS50853,SMART:SM00060,SMART:SM00408,SMART:SM00409,SUPERFAMILY:SSF48726,SUPERFAMILY:SSF49265;"
Contig20866,1,16729,"ID=OLUR_00012906;Name=OLUR_00012906;Alias=maker-Contig20866-snap-gene-0.2;Note=Similar to Arhgap20: Rho GTPase-activating protein 20 (Rattus norvegicus OX%3D10116);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.555.10,InterPro:IPR000159,InterPro:IPR000198,InterPro:IPR008936,MobiDBLite:mobidb-lite,Pfam:PF00620,ProSiteProfiles:PS50200,ProSiteProfiles:PS50238,SMART:SM00324,SUPERFAMILY:SSF48350;Ontology_term=GO:0007165;",0.0010119876878739132,0.007075083207020762,ID=OLUR_00012906;,NA,Name=OLUR_00012906;,Alias=maker-Contig20866-snap-gene-0.2;,NA,NA,Note=Similar to Arhgap20: Rho GTPase-activating protein 20 (Rattus norvegicus OX%3D10116);,Ontology_term=GO:0007165;,"Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.555.10,InterPro:IPR000159,InterPro:IPR000198,InterPro:IPR008936,MobiDBLite:mobidb-lite,Pfam:PF00620,ProSiteProfiles:PS50200,ProSiteProfiles:PS50238,SMART:SM00324,SUPERFAMILY:SSF48350;"
Contig20896,1,17768,"ID=OLUR_00009345;Name=OLUR_00009345;Alias=maker-Contig20896-snap-gene-0.1;Note=Similar to Rere: Arginine-glutamic acid dipeptide repeats protein (Mus musculus OX%3D10090);Dbxref=Coils:Coil,InterPro:IPR002951,MobiDBLite:mobidb-lite,Pfam:PF03154;",5.362310723460928e-4,0.004447498293619975,ID=OLUR_00009345;,NA,Name=OLUR_00009345;,Alias=maker-Contig20896-snap-gene-0.1;,NA,NA,Note=Similar to Rere: Arginine-glutamic acid dipeptide repeats protein (Mus musculus OX%3D10090);,NA,"Dbxref=Coils:Coil,InterPro:IPR002951,MobiDBLite:mobidb-lite,Pfam:PF03154;"
Contig20905,15608,45768,"ID=OLUR_00001027;Name=OLUR_00001027;Alias=maker-Contig20905-snap-gene-0.9;Note=Similar to DCLK1: Serine/threonine-protein kinase DCLK1 (Homo sapiens OX%3D9606);Dbxref=CDD:cd01617,Gene3D:G3DSA:3.10.20.230,InterPro:IPR003533,InterPro:IPR036572,Pfam:PF03607,ProSiteProfiles:PS50309,SMART:SM00537,SUPERFAMILY:SSF89837;Ontology_term=GO:0035556;",0.007920706235284056,0.03737479383693623,ID=OLUR_00001027;,NA,Name=OLUR_00001027;,Alias=maker-Contig20905-snap-gene-0.9;,NA,NA,Note=Similar to DCLK1: Serine/threonine-protein kinase DCLK1 (Homo sapiens OX%3D9606);,Ontology_term=GO:0035556;,"Dbxref=CDD:cd01617,Gene3D:G3DSA:3.10.20.230,InterPro:IPR003533,InterPro:IPR036572,Pfam:PF03607,ProSiteProfiles:PS50309,SMART:SM00537,SUPERFAMILY:SSF89837;"
Contig21274,1,26395,"ID=OLUR_00000163;Name=OLUR_00000163;Alias=snap_masked-Contig21274-processed-gene-0.0;Note=Similar to Ncapd2: Condensin complex subunit 1 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,InterPro:IPR016024,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF48371;",2.0550996478702558e-7,4.137049843903641e-6,ID=OLUR_00000163;,NA,Name=OLUR_00000163;,Alias=snap_masked-Contig21274-processed-gene-0.0;,NA,NA,Note=Similar to Ncapd2: Condensin complex subunit 1 (Mus musculus OX%3D10090);,NA,"Dbxref=Coils:Coil,InterPro:IPR016024,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF48371;"
Contig21345,1,8595,"ID=OLUR_00021266;Name=OLUR_00021266;Alias=maker-Contig21345-snap-gene-0.2;Note=Similar to Epha2: Ephrin type-A receptor 2 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:1.10.510.10,InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR011009,Pfam:PF07714,ProSiteProfiles:PS50011,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0005524,GO:0006468;",0.0016847143147669004,0.010611581045528621,ID=OLUR_00021266;,NA,Name=OLUR_00021266;,Alias=maker-Contig21345-snap-gene-0.2;,NA,NA,Note=Similar to Epha2: Ephrin type-A receptor 2 (Mus musculus OX%3D10090);,"Ontology_term=GO:0004672,GO:0005524,GO:0006468;","Dbxref=Gene3D:G3DSA:1.10.510.10,InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR011009,Pfam:PF07714,ProSiteProfiles:PS50011,SUPERFAMILY:SSF56112;"
Contig21716,8976,27444,"ID=OLUR_00002162;Name=OLUR_00002162;Alias=snap_masked-Contig21716-processed-gene-0.4;Note=Similar to PRSS12: Neurotrypsin (Gorilla gorilla gorilla OX%3D9595);Dbxref=Coils:Coil,Gene3D:G3DSA:3.10.250.10,InterPro:IPR001190,InterPro:IPR017448,InterPro:IPR019321,InterPro:IPR036772,PRINTS:PR00258,Pfam:PF00530,Pfam:PF10168,ProSiteProfiles:PS50287,SMART:SM00202,SUPERFAMILY:SSF56487;Ontology_term=GO:0005044,GO:0016020;",2.945920607897017e-6,4.478693721151974e-5,ID=OLUR_00002162;,NA,Name=OLUR_00002162;,Alias=snap_masked-Contig21716-processed-gene-0.4;,NA,NA,Note=Similar to PRSS12: Neurotrypsin (Gorilla gorilla gorilla OX%3D9595);,"Ontology_term=GO:0005044,GO:0016020;","Dbxref=Coils:Coil,Gene3D:G3DSA:3.10.250.10,InterPro:IPR001190,InterPro:IPR017448,InterPro:IPR019321,InterPro:IPR036772,PRINTS:PR00258,Pfam:PF00530,Pfam:PF10168,ProSiteProfiles:PS50287,SMART:SM00202,SUPERFAMILY:SSF56487;"
Contig21999,810,21631,"ID=OLUR_00010319;Name=OLUR_00010319;Alias=snap_masked-Contig21999-processed-gene-0.0;Note=Similar to Trc8: Protein TRC8 homolog (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd16476,Gene3D:G3DSA:3.30.40.10,InterPro:IPR001841,InterPro:IPR013083,InterPro:IPR025754,Pfam:PF13705,Pfam:PF13923,ProSiteProfiles:PS50089,SMART:SM00184,SUPERFAMILY:SSF57850;",0.001963750445711354,0.012130739067879235,ID=OLUR_00010319;,NA,Name=OLUR_00010319;,Alias=snap_masked-Contig21999-processed-gene-0.0;,NA,NA,Note=Similar to Trc8: Protein TRC8 homolog (Drosophila melanogaster OX%3D7227);,NA,"Dbxref=CDD:cd16476,Gene3D:G3DSA:3.30.40.10,InterPro:IPR001841,InterPro:IPR013083,InterPro:IPR025754,Pfam:PF13705,Pfam:PF13923,ProSiteProfiles:PS50089,SMART:SM00184,SUPERFAMILY:SSF57850;"
Contig22141,12507,38579,"ID=OLUR_00003566;Name=OLUR_00003566;Alias=maker-Contig22141-snap-gene-0.6;Note=Similar to PKHD1L1: Fibrocystin-L (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.160.20.10,InterPro:IPR011050,InterPro:IPR012334,InterPro:IPR019316,Pfam:PF10162,ProSiteProfiles:PS51484,SMART:SM01225,SUPERFAMILY:SSF51126;",8.359576075016922e-4,0.006383275923657807,ID=OLUR_00003566;,NA,Name=OLUR_00003566;,Alias=maker-Contig22141-snap-gene-0.6;,NA,NA,Note=Similar to PKHD1L1: Fibrocystin-L (Homo sapiens OX%3D9606);,NA,"Dbxref=Gene3D:G3DSA:2.160.20.10,InterPro:IPR011050,InterPro:IPR012334,InterPro:IPR019316,Pfam:PF10162,ProSiteProfiles:PS51484,SMART:SM01225,SUPERFAMILY:SSF51126;"
Contig22383,1,34980,"ID=OLUR_00004512;Name=OLUR_00004512;Alias=maker-Contig22383-snap-gene-0.5;Note=Similar to WDR59: GATOR complex protein WDR59 (Gallus gallus OX%3D9031);Dbxref=Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR006575,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00400,ProSitePatterns:PS00678,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,ProSiteProfiles:PS50908,SMART:SM00320,SUPERFAMILY:SSF50978;Ontology_term=GO:0005515;",0.0012583769101558895,0.008479491845390232,ID=OLUR_00004512;,NA,Name=OLUR_00004512;,Alias=maker-Contig22383-snap-gene-0.5;,NA,NA,Note=Similar to WDR59: GATOR complex protein WDR59 (Gallus gallus OX%3D9031);,Ontology_term=GO:0005515;,"Dbxref=Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR006575,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00400,ProSitePatterns:PS00678,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,ProSiteProfiles:PS50908,SMART:SM00320,SUPERFAMILY:SSF50978;"
Contig22489,1,13993,"ID=OLUR_00013293;Name=OLUR_00013293;Alias=maker-Contig22489-snap-gene-0.5;Note=Similar to Glis3: Zinc finger protein GLIS3 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;",3.108554848416342e-20,1.3836523025284295e-17,ID=OLUR_00013293;,NA,Name=OLUR_00013293;,Alias=maker-Contig22489-snap-gene-0.5;,NA,NA,Note=Similar to Glis3: Zinc finger protein GLIS3 (Mus musculus OX%3D10090);,Ontology_term=GO:0003676;,"Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;"
Contig22659,1,21911,"ID=OLUR_00010123;Name=OLUR_00010123;Alias=maker-Contig22659-snap-gene-0.3;Note=Similar to FRAS1: Extracellular matrix protein FRAS1 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.40.2030,InterPro:IPR003644,InterPro:IPR038081,InterPro:IPR039005,Pfam:PF03160,Pfam:PF16184,ProSiteProfiles:PS51854,SMART:SM00237,SUPERFAMILY:SSF141072;Ontology_term=GO:0007154,GO:0016021;",0.0051454216748789555,0.025846469253373163,ID=OLUR_00010123;,NA,Name=OLUR_00010123;,Alias=maker-Contig22659-snap-gene-0.3;,NA,NA,Note=Similar to FRAS1: Extracellular matrix protein FRAS1 (Homo sapiens OX%3D9606);,"Ontology_term=GO:0007154,GO:0016021;","Dbxref=Gene3D:G3DSA:2.60.40.2030,InterPro:IPR003644,InterPro:IPR038081,InterPro:IPR039005,Pfam:PF03160,Pfam:PF16184,ProSiteProfiles:PS51854,SMART:SM00237,SUPERFAMILY:SSF141072;"
Contig23065,1,5594,ID=OLUR_00027012;Name=OLUR_00027012;Alias=maker-Contig23065-snap-gene-0.3;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,2.8599805689627886e-13,9.8344052869226865e-12,ID=OLUR_00027012;,NA,Name=OLUR_00027012;,Alias=maker-Contig23065-snap-gene-0.3;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig23590,1,15494,"ID=OLUR_00015016;Name=OLUR_00015016;Alias=maker-Contig23590-snap-gene-0.2;Note=Similar to MAM and LDL-receptor class A domain-containing protein 1 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd06263,Gene3D:G3DSA:2.60.120.200,InterPro:IPR000998,InterPro:IPR013320,MobiDBLite:mobidb-lite,PRINTS:PR00020,Pfam:PF00629,ProSitePatterns:PS00740,ProSiteProfiles:PS50060,SMART:SM00137,SUPERFAMILY:SSF49899;Ontology_term=GO:0016020;",8.857350404831295e-4,0.006439663470372807,ID=OLUR_00015016;,NA,Name=OLUR_00015016;,Alias=maker-Contig23590-snap-gene-0.2;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 1 (Fragment) (Acropora millepora OX%3D45264);,Ontology_term=GO:0016020;,"Dbxref=CDD:cd06263,Gene3D:G3DSA:2.60.120.200,InterPro:IPR000998,InterPro:IPR013320,MobiDBLite:mobidb-lite,PRINTS:PR00020,Pfam:PF00629,ProSitePatterns:PS00740,ProSiteProfiles:PS50060,SMART:SM00137,SUPERFAMILY:SSF49899;"
Contig23612,18647,33782,"ID=OLUR_00004861;Name=OLUR_00004861;Alias=maker-Contig23612-snap-gene-0.5;Note=Similar to E(bx): Nucleosome-remodeling factor subunit NURF301 (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd05509,CDD:cd15560,Coils:Coil,Gene3D:G3DSA:1.20.920.10,Gene3D:G3DSA:3.30.40.10,InterPro:IPR001487,InterPro:IPR001965,InterPro:IPR011011,InterPro:IPR013083,InterPro:IPR018359,InterPro:IPR019787,InterPro:IPR036427,MobiDBLite:mobidb-lite,PRINTS:PR00503,Pfam:PF00439,Pfam:PF00628,ProSitePatterns:PS00633,ProSiteProfiles:PS50014,ProSiteProfiles:PS50016,SMART:SM00249,SMART:SM00297,SUPERFAMILY:SSF47370,SUPERFAMILY:SSF57903;Ontology_term=GO:0005515;",0.00411885938083728,0.02131802413389424,ID=OLUR_00004861;,NA,Name=OLUR_00004861;,Alias=maker-Contig23612-snap-gene-0.5;,NA,NA,Note=Similar to E(bx): Nucleosome-remodeling factor subunit NURF301 (Drosophila melanogaster OX%3D7227);,Ontology_term=GO:0005515;,"Dbxref=CDD:cd05509,CDD:cd15560,Coils:Coil,Gene3D:G3DSA:1.20.920.10,Gene3D:G3DSA:3.30.40.10,InterPro:IPR001487,InterPro:IPR001965,InterPro:IPR011011,InterPro:IPR013083,InterPro:IPR018359,InterPro:IPR019787,InterPro:IPR036427,MobiDBLite:mobidb-lite,PRINTS:PR00503,Pfam:PF00439,Pfam:PF00628,ProSitePatterns:PS00633,ProSiteProfiles:PS50014,ProSiteProfiles:PS50016,SMART:SM00249,SMART:SM00297,SUPERFAMILY:SSF47370,SUPERFAMILY:SSF57903;"
Contig23718,1,22108,ID=OLUR_00009981;Name=OLUR_00009981;Alias=snap_masked-Contig23718-processed-gene-0.2;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,5.14107741578593e-10,1.3594162460487417e-8,ID=OLUR_00009981;,NA,Name=OLUR_00009981;,Alias=snap_masked-Contig23718-processed-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig23884,2321,7527,ID=OLUR_00014943;Name=OLUR_00014943;Alias=maker-Contig23884-snap-gene-0.1;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,4.834510002637361e-6,6.991713743886377e-5,ID=OLUR_00014943;,NA,Name=OLUR_00014943;,Alias=maker-Contig23884-snap-gene-0.1;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig24387,5190,13335,"ID=OLUR_00008738;Name=OLUR_00008738;Alias=maker-Contig24387-snap-gene-0.2;Note=Similar to NWD2: NACHT and WD repeat domain-containing protein 2 (Homo sapiens OX%3D9606);Dbxref=CDD:cd00009,Gene3D:G3DSA:2.130.10.10,Gene3D:G3DSA:3.40.50.300,InterPro:IPR011044,InterPro:IPR015943,InterPro:IPR027417,Pfam:PF13191,SUPERFAMILY:SSF50969,SUPERFAMILY:SSF52540;Ontology_term=GO:0005515;",0.007150371065774787,0.034552939070559466,ID=OLUR_00008738;,NA,Name=OLUR_00008738;,Alias=maker-Contig24387-snap-gene-0.2;,NA,NA,Note=Similar to NWD2: NACHT and WD repeat domain-containing protein 2 (Homo sapiens OX%3D9606);,Ontology_term=GO:0005515;,"Dbxref=CDD:cd00009,Gene3D:G3DSA:2.130.10.10,Gene3D:G3DSA:3.40.50.300,InterPro:IPR011044,InterPro:IPR015943,InterPro:IPR027417,Pfam:PF13191,SUPERFAMILY:SSF50969,SUPERFAMILY:SSF52540;"
