siteID	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig19486_15065	36	12	11	12	14	0	33	14	12	30	52	10	26	44	39	46	34	15
Contig19486_15098	26	16	25	18	12	10	32	16	11	31	44	26	39	38	49	49	18	10
Contig19486_15128	11	11	14	17	12	0	25	12	13	28	41	0	32	34	38	46	23	17
Contig19486_15174	10	10	23	26	10	0	24	10	10	32	39	0	41	42	36	41	29	23
Contig19496_10749	18	11	16	16	14	10	11	16	19	22	24	15	21	18	28	25	19	15
Contig19496_10756	25	13	18	19	16	16	20	25	26	27	35	20	27	24	34	31	24	18
Contig19496_10772	17	16	20	24	11	18	20	20	18	37	36	14	31	36	42	36	34	18
Contig19496_10780	20	18	31	33	14	18	23	22	20	44	47	16	37	40	42	47	42	33
Contig19496_10782	19	17	35	33	16	18	22	17	19	45	49	16	35	39	46	52	41	33
Contig19496_10900	23	20	23	26	18	24	28	28	21	46	42	27	43	39	51	48	39	23
Contig19496_10919	29	26	22	28	21	26	30	26	26	58	35	36	36	35	37	56	35	25
Contig19496_10921	26	20	20	27	18	22	27	21	21	51	35	33	31	35	33	52	33	23
Contig19496_11017	20	19	19	21	17	18	19	23	20	22	29	18	27	22	22	28	22	18
Contig19496_11026	30	27	25	30	23	25	29	31	30	32	41	28	36	33	35	37	35	31
Contig19496_11036	21	18	17	20	17	18	22	19	22	23	31	20	25	26	23	28	26	23
Contig19496_12400	18	0	10	14	12	14	16	22	14	25	13	0	23	21	45	27	23	16
Contig19496_12611	13	10	13	30	10	27	17	36	12	40	33	13	37	41	63	52	45	13
Contig19496_14361	32	12	11	23	12	21	11	28	10	36	31	13	21	20	52	34	22	15
Contig19496_14371	36	13	0	34	15	24	12	42	12	43	39	14	22	35	61	42	26	15
Contig19512_12674	14	15	11	30	13	14	13	22	30	22	0	15	37	43	11	44	13	15
Contig19512_14133	25	24	14	22	12	0	28	15	27	42	12	11	35	39	25	32	35	34
Contig19512_14259	17	12	16	11	0	11	18	14	20	40	26	0	32	18	35	29	36	29
Contig19512_14452	19	10	35	26	10	0	12	24	23	45	42	31	46	43	55	52	30	28
Contig19512_14475	29	11	25	15	10	0	11	12	10	47	36	20	42	33	44	39	35	16
Contig19512_14488	30	24	31	30	27	13	33	32	13	61	51	28	47	47	55	51	48	34
Contig19512_15506	25	12	27	37	13	10	20	25	33	36	47	17	33	42	55	52	37	29
Contig19512_15558	0	26	16	29	11	13	16	13	19	48	44	0	38	42	39	49	29	30
Contig19512_15571	12	12	15	16	11	0	11	12	19	27	22	10	22	31	26	28	24	15
Contig195218_905	12	0	16	13	15	11	16	14	20	16	14	11	16	19	19	18	14	12
Contig195594_1034	19	13	20	21	0	10	21	17	11	33	49	10	25	46	43	42	24	14
Contig195594_1069	24	10	34	33	15	0	13	13	35	25	52	0	44	50	40	54	47	17
Contig195594_1078	30	21	40	31	14	10	26	26	33	31	57	10	43	51	47	49	46	18
Contig195594_1207	16	17	17	17	0	10	15	21	18	27	33	13	24	39	26	26	27	23
Contig19582_25797	18	11	13	15	0	10	16	16	14	32	34	15	21	23	30	24	23	21
Contig19582_25812	14	10	10	14	0	10	17	14	19	31	47	14	24	30	33	37	22	19
Contig19583_2072	10	10	10	10	10	0	24	10	21	17	0	11	28	27	32	21	12	14
Contig19583_23080	17	21	17	16	15	15	17	21	25	28	11	11	21	25	20	10	21	20
Contig19583_23085	17	20	18	15	13	11	20	20	19	25	11	12	20	22	17	0	21	21
Contig19586_734	11	11	18	11	10	11	24	14	14	14	23	10	27	37	27	35	30	12
Contig19586_744	18	15	20	15	15	15	25	22	16	18	29	13	21	44	46	42	26	19
Contig19586_750	21	14	30	14	15	14	25	24	25	34	36	16	39	46	50	54	37	31
Contig19586_762	16	11	14	10	16	0	18	19	22	35	34	13	35	24	44	44	36	18
Contig19586_797	17	14	13	27	0	13	16	17	14	27	38	11	24	29	40	42	22	15
Contig19586_852	14	16	10	15	0	18	18	21	19	31	27	0	21	31	30	22	22	17
Contig19586_937	20	13	17	10	0	10	12	18	24	23	20	0	20	39	12	24	38	24
Contig19586_951	43	25	21	15	14	18	12	44	56	41	50	16	43	49	31	46	42	27
Contig19590_1524	24	11	31	28	20	0	13	22	30	22	12	10	20	11	23	10	25	27
Contig19590_1869	46	42	43	47	42	32	47	55	66	56	72	50	60	70	72	80	49	56
Contig19590_1884	31	25	24	18	25	11	24	27	41	30	41	14	41	41	44	43	25	32
Contig19593_30692	30	13	32	26	0	12	19	13	18	34	28	21	31	42	31	41	18	30
Contig19593_30702	14	10	13	11	0	10	23	13	18	23	12	0	13	33	25	26	14	22
Contig196050_8729	15	13	13	13	12	12	17	13	22	12	10	11	20	21	15	20	13	16
Contig1962_612	17	10	14	17	11	12	41	18	20	29	42	11	26	50	47	49	37	16
Contig1962_651	14	14	12	24	11	0	18	19	21	25	41	17	27	33	44	42	21	19
Contig1962_654	13	12	15	18	12	0	21	20	22	26	28	17	26	33	45	34	18	17
Contig1962_1346	11	14	14	14	12	14	11	17	12	16	10	14	12	16	31	19	14	14
Contig1962_1366	0	14	12	12	15	10	15	11	11	16	10	15	10	11	18	16	19	18
Contig1962_2527	12	12	0	11	11	11	20	11	20	40	33	13	42	45	38	36	29	28
Contig1962_2560	13	11	16	12	10	0	15	12	17	26	29	0	33	39	37	30	13	22
Contig19628_164	18	10	15	15	10	0	10	18	18	23	24	12	24	23	20	40	19	13
Contig19628_419	36	11	42	34	27	0	33	40	37	62	65	22	52	66	64	55	62	35
Contig19628_440	27	15	26	26	18	10	18	26	25	52	52	18	44	47	49	51	43	28
Contig19628_461	16	19	23	19	11	16	24	25	20	45	50	16	42	35	48	51	29	22
Contig19628_468	14	16	21	26	12	10	20	20	15	38	52	12	40	28	47	49	26	18
Contig19628_479	18	23	26	37	18	11	20	21	19	41	51	18	29	30	47	45	31	20
Contig19628_487	15	20	19	24	14	0	13	17	18	28	46	16	25	29	41	32	29	15
Contig19628_506	12	14	12	18	10	0	13	14	13	26	45	17	22	24	34	26	23	14
Contig19628_561	11	16	17	21	12	0	11	18	15	27	36	11	26	29	34	36	29	17
Contig19628_657	22	11	13	18	10	0	15	20	17	32	46	0	31	29	39	39	25	17
Contig19628_665	23	11	16	20	11	0	12	19	15	31	43	10	34	30	35	38	27	20
Contig19628_681	23	17	24	22	19	12	19	22	20	41	56	18	32	37	45	40	35	23
Contig19628_701	21	26	20	25	18	11	20	27	16	50	56	19	31	53	48	53	38	21
Contig19628_716	22	21	22	21	14	11	18	27	14	29	43	15	31	36	40	41	27	23
Contig19628_734	32	23	27	29	19	14	22	28	24	26	38	20	52	39	52	39	48	29
Contig19628_741	24	20	23	25	18	16	19	27	21	39	37	22	48	32	39	33	37	24
Contig19628_751	27	17	23	18	20	13	19	25	17	30	42	16	43	30	38	30	26	21
Contig19628_773	19	14	23	21	15	0	16	19	19	39	43	10	33	40	42	42	25	20
Contig19628_791	17	20	16	24	20	0	13	18	36	51	46	11	46	42	48	50	35	20
Contig19628_821	25	13	18	41	33	0	36	20	26	37	50	26	47	38	48	50	45	27
Contig19628_842	16	14	15	17	13	11	12	12	13	39	40	13	38	30	35	38	39	17
Contig19628_863	15	15	25	15	11	0	11	12	13	42	40	12	39	33	32	22	29	25
Contig19628_7729	16	12	14	19	16	15	16	20	15	22	20	15	18	17	22	20	19	19
Contig19628_7802	24	19	15	25	21	20	20	28	24	32	22	19	24	33	32	33	32	22
Contig19628_11905	13	11	14	12	13	15	12	0	16	18	10	10	17	14	15	23	18	14
Contig19628_11913	13	10	14	14	14	15	13	0	18	18	10	12	18	17	19	23	23	17
Contig19628_11920	12	12	14	13	13	15	15	11	19	20	11	12	17	20	19	26	24	16
Contig19628_11929	14	12	17	14	12	10	16	0	17	14	11	14	18	22	18	21	21	17
Contig19628_12004	11	11	17	10	0	10	14	16	19	19	16	14	12	21	25	17	17	10
Contig19636_9426	19	18	29	29	15	17	19	15	30	37	23	18	20	27	16	21	30	18
Contig1964_6713	13	11	12	15	12	0	14	13	13	17	11	14	20	22	12	21	18	12
Contig1964_6716	15	11	11	13	11	0	12	15	14	17	11	15	23	21	11	20	17	13
Contig1964_6739	14	18	13	23	11	15	17	13	20	18	10	18	29	24	15	19	17	23
Contig1964_8810	41	12	27	27	19	23	13	30	0	25	51	27	29	49	20	51	47	30
Contig1964_8824	38	13	33	19	19	20	16	24	0	14	29	17	32	43	12	51	44	19
Contig1964_8831	39	13	37	28	24	33	18	25	0	11	44	22	34	46	10	56	47	32
Contig1964_8835	35	14	34	19	22	34	17	22	0	10	42	22	34	44	0	52	42	34
Contig1964_8865	44	13	29	24	14	34	12	38	0	23	48	42	31	55	28	63	47	36
Contig196420_12067	11	12	15	15	11	0	16	11	18	13	17	15	15	19	17	31	15	13
Contig196488_5570	18	19	17	17	11	13	20	13	19	19	11	0	15	20	21	20	14	13
Contig1966_693	24	12	13	30	23	16	17	33	25	49	58	15	47	34	38	36	46	16
Contig1966_700	13	16	0	16	13	12	16	28	23	40	50	14	43	29	33	33	36	14
Contig1966_741	27	11	11	18	12	12	31	27	10	54	16	11	43	41	41	32	40	25
Contig1966_747	30	11	13	20	11	12	31	27	12	59	36	16	45	39	44	38	42	26
Contig1966_780	29	10	23	27	0	10	30	28	23	49	46	12	27	44	39	41	37	19
Contig1966_788	25	10	10	23	10	0	30	29	10	53	42	23	30	36	32	36	35	28
Contig1966_1208	17	20	10	16	11	14	12	19	14	24	39	13	23	13	0	25	20	24
Contig1966_1217	16	20	0	14	14	15	12	24	14	29	42	16	31	14	0	23	25	26
Contig1966_17801	13	10	10	10	12	10	22	0	13	16	0	10	17	10	12	27	16	12
Contig19662_5250	13	12	11	32	15	10	34	25	30	68	66	27	58	47	57	61	53	36
Contig19662_5272	26	11	11	25	0	12	29	27	23	65	58	0	49	39	53	60	48	28
Contig19662_5327	25	17	29	18	16	13	29	28	29	48	53	29	44	45	51	48	45	19
Contig19662_5332	22	14	15	15	11	0	24	21	24	50	42	15	41	41	43	43	43	14
Contig19662_5334	20	12	14	14	10	10	15	10	15	46	36	13	38	39	43	40	43	14
Contig19670_7698	39	21	34	27	13	31	21	19	37	23	28	27	45	41	32	52	34	20
Contig19670_7714	32	20	25	26	11	15	23	27	32	22	33	17	33	38	32	51	28	27
Contig19670_7723	34	19	23	28	13	12	19	23	40	24	33	18	27	34	30	53	41	27
Contig19670_7880	27	11	15	30	15	12	14	10	11	30	36	19	40	39	31	37	35	34
Contig19670_7906	66	62	62	62	49	49	65	68	64	60	76	55	78	88	72	90	79	62
Contig19670_7911	62	57	60	62	48	45	65	66	60	60	79	55	73	84	71	93	72	59
Contig19670_7917	66	47	58	61	44	47	62	62	67	59	86	58	78	88	68	93	67	58
Contig19670_7932	53	34	38	47	17	38	56	43	63	57	73	47	60	78	53	80	46	51
Contig19670_7962	32	22	33	34	25	12	32	30	29	38	40	24	34	44	34	49	33	31
Contig19670_8134	34	30	31	30	30	26	33	36	34	41	49	28	42	51	40	56	48	38
Contig19670_8138	27	24	30	30	25	14	34	33	32	37	42	26	40	44	34	53	44	36
Contig196810_521	42	28	43	38	19	27	38	34	39	42	51	35	43	50	43	45	41	43
Contig196810_524	47	36	53	48	22	37	47	40	49	53	62	42	51	61	52	58	47	51
Contig196810_534	59	47	63	67	41	46	61	52	61	66	84	49	63	80	66	78	69	62
Contig196810_544	44	36	49	52	38	38	46	40	51	51	70	41	61	58	53	65	56	50
Contig196810_548	33	29	36	49	23	33	34	30	40	43	56	30	50	48	48	54	46	38
Contig196810_550	19	22	24	43	18	29	31	26	31	34	46	16	40	40	37	44	41	30
Contig196810_560	10	13	13	14	11	13	15	12	12	11	27	0	18	15	16	22	15	13
Contig196810_581	59	56	62	69	45	49	48	60	66	70	72	49	67	66	73	86	69	58
Contig196810_587	66	61	73	71	44	53	52	63	67	78	73	49	75	66	71	83	72	64
Contig196810_635	17	14	19	15	0	12	14	15	19	12	24	10	16	23	24	29	14	16
Contig19690_1220	16	17	18	15	12	15	17	19	20	16	0	17	13	24	31	17	15	29
Contig1970_14151	0	13	10	10	14	10	15	13	22	25	14	13	31	35	30	36	21	14
Contig1970_14175	12	11	13	14	10	0	11	11	21	11	13	16	31	29	28	33	23	10
Contig197015_6011	23	11	10	10	10	0	23	10	25	27	24	10	35	33	31	38	22	22
Contig197015_6014	26	11	11	10	11	0	21	11	24	25	25	13	36	34	36	35	14	10
Contig19704_16859	19	14	20	19	12	0	18	16	17	22	44	22	43	34	44	48	27	17
Contig19704_16865	17	11	20	20	12	0	27	15	21	20	48	20	40	44	45	48	30	19
Contig19704_16883	21	18	21	18	19	0	31	19	28	25	56	14	47	46	43	41	23	35
Contig19704_16913	36	19	32	33	0	12	17	19	15	34	49	17	41	45	46	53	24	35
Contig19704_16931	23	16	32	23	10	10	27	0	21	36	43	12	52	58	48	55	32	39
Contig19704_17446	29	14	29	21	11	0	31	10	35	27	10	11	39	44	27	38	0	31
Contig19712_49030	10	10	17	11	10	10	12	10	14	10	0	11	18	22	19	19	12	15
Contig197276_2509	18	19	15	20	19	12	17	16	21	14	10	12	21	30	10	20	24	19
Contig197276_2535	12	15	10	13	11	11	15	13	13	11	11	11	18	30	0	13	13	14
Contig19728_1317	21	21	27	20	24	21	26	24	25	10	0	24	20	18	12	18	10	22
Contig19738_6084	45	34	46	39	37	31	44	39	52	53	61	42	55	55	60	56	53	48
Contig19738_6094	34	26	33	36	26	26	32	33	37	38	49	32	41	39	47	45	38	37
Contig1975_2007	13	10	12	10	0	10	15	13	13	12	11	13	15	15	15	12	12	0
Contig1975_2023	12	11	13	22	10	0	28	10	11	13	0	14	28	29	25	13	25	25
Contig197512_3096	15	12	17	13	14	12	19	13	16	26	31	16	29	28	16	28	28	15
Contig197512_3098	15	11	18	16	11	12	18	16	16	24	25	17	23	28	24	25	26	13
Contig197512_3112	20	12	13	16	17	12	16	17	13	30	31	16	22	28	28	25	26	18
Contig197512_3159	14	0	14	14	16	11	16	14	10	15	33	12	22	33	19	30	16	0
Contig19762_55302	15	0	12	14	10	10	10	11	12	15	21	11	18	22	25	28	20	14
Contig19762_55318	20	0	11	18	13	10	15	16	14	19	18	13	22	20	27	29	20	18
Contig1977_23310	14	14	11	13	10	12	16	12	0	13	12	11	12	16	13	13	12	14
Contig1977_23327	28	32	27	32	24	11	39	27	29	36	31	29	32	36	34	36	30	32
Contig19783_7556	13	17	13	14	14	0	22	16	21	35	47	0	17	21	18	33	23	14
Contig19783_19033	23	12	35	23	10	0	24	17	16	32	65	12	27	46	55	51	32	18
Contig19785_13149	13	13	13	14	0	12	11	12	10	20	21	13	17	15	22	17	12	13
Contig19785_13158	14	12	11	13	12	11	15	17	14	24	23	15	18	31	26	16	18	14
Contig19785_13355	15	11	18	17	15	11	21	18	10	25	50	14	42	42	40	37	23	17
Contig19785_13392	10	15	14	12	11	11	13	12	14	15	39	0	22	29	24	43	15	15
Contig19785_13396	11	11	15	15	11	12	12	12	12	13	39	0	21	18	27	26	13	15
Contig19785_13487	20	0	16	15	15	10	22	11	21	27	45	17	24	41	38	45	25	18
Contig19785_14385	14	12	22	26	10	0	22	22	24	33	53	11	39	44	44	52	34	14
Contig19785_14443	10	10	13	14	0	11	17	14	15	32	45	0	15	32	28	24	26	10
Contig19785_14717	12	0	14	24	10	13	23	23	28	30	35	10	34	37	37	41	31	27
Contig19785_14724	27	13	27	28	11	13	24	24	24	34	42	0	31	43	38	49	33	28
Contig19785_15744	30	14	14	28	11	15	21	26	19	13	31	0	28	27	38	19	17	20
Contig19785_15784	13	11	16	15	10	10	17	11	15	14	30	0	23	22	31	27	22	13
Contig19785_15915	11	12	12	11	10	0	16	13	15	13	14	0	22	18	20	28	18	12
Contig19785_16153	27	11	28	38	11	11	31	25	31	51	60	11	40	37	51	55	39	30
Contig19785_16162	30	0	32	39	10	13	36	27	31	51	60	12	42	40	54	55	41	31
Contig19785_16429	10	10	16	15	0	11	12	12	17	20	33	0	39	27	27	19	20	14
Contig19785_23134	18	13	13	15	11	0	15	13	14	29	49	12	38	38	45	47	24	15
Contig19785_23154	19	10	33	20	11	11	17	13	26	25	61	13	49	43	51	56	42	19
Contig19785_23169	22	12	29	22	17	14	21	15	18	37	56	17	52	48	56	61	47	23
Contig19785_23185	14	10	12	31	13	0	18	22	12	37	44	13	31	40	43	44	35	18
Contig19787_2594	16	11	19	16	10	10	19	0	20	0	20	16	10	39	35	37	13	17
Contig19797_13694	0	14	10	18	10	13	15	18	11	11	0	11	17	18	11	11	15	19
Contig19797_15962	19	30	12	11	0	10	14	14	16	0	11	17	18	32	31	38	15	11
Contig19797_15968	19	26	13	10	12	0	14	11	16	0	10	12	32	19	30	40	25	13
Contig19797_18218	13	10	22	12	12	0	24	14	25	30	30	10	40	40	31	37	13	24
Contig19797_18416	10	11	15	10	10	11	11	18	0	17	13	11	13	17	14	15	12	12
Contig19797_18853	15	12	12	27	0	11	19	12	14	23	19	12	19	24	16	18	27	28
Contig19797_18883	14	11	12	10	14	11	16	16	21	31	15	0	30	37	22	16	26	31
Contig19797_18893	14	14	16	18	18	11	22	19	11	38	17	14	20	31	24	18	21	18
Contig19797_19043	21	15	13	14	0	12	21	12	11	42	53	24	31	36	37	42	38	29
Contig19797_19045	23	23	14	16	0	11	10	12	21	39	55	25	31	35	36	43	39	27
Contig19797_19097	19	17	18	14	13	11	16	13	12	29	40	18	30	47	47	40	23	34
Contig19797_19113	11	11	14	15	10	0	17	12	10	27	41	16	36	38	34	27	21	23
Contig19797_19124	13	10	12	22	12	0	17	18	13	30	49	22	38	47	43	41	33	28
Contig19797_19174	13	0	14	12	13	13	16	17	12	27	41	12	31	28	44	29	23	17
Contig19797_29036	14	16	11	14	0	11	13	15	17	34	30	22	31	23	33	40	17	21
Contig19797_29112	30	11	32	29	10	0	21	26	29	48	56	25	47	57	44	62	15	36
Contig19797_29152	19	17	13	30	10	0	15	19	30	37	36	18	28	39	43	52	0	13
Contig19797_29198	12	14	13	16	0	13	15	18	18	39	19	16	29	37	25	39	19	17
Contig19797_31940	29	14	16	31	14	14	32	26	30	17	36	16	34	42	40	47	27	17
Contig19797_31947	28	14	31	27	16	13	31	26	18	14	35	15	35	39	36	46	16	15
Contig19797_31954	16	12	16	13	12	12	23	23	14	11	18	12	27	29	31	34	12	15
Contig19798_8498	14	10	12	22	10	0	15	12	17	24	18	13	19	22	30	25	19	14
Contig19798_9445	15	10	10	14	10	10	14	0	18	24	27	13	25	22	29	18	18	14
Contig1980_3761	31	29	20	18	14	10	35	24	28	43	51	15	44	48	60	59	41	27
Contig1980_3765	29	15	20	26	15	12	21	27	29	44	50	14	48	48	60	59	42	26
Contig1980_3801	28	11	23	24	13	0	34	25	12	25	48	11	44	45	45	41	37	16
Contig19817_6330	43	30	38	32	35	35	39	33	42	14	10	33	37	38	26	28	18	40
Contig19817_6428	31	29	30	35	30	27	28	25	31	18	15	36	28	24	16	18	20	29
Contig19817_6438	20	18	22	25	22	19	20	18	18	15	14	21	20	18	14	15	15	19
Contig19818_6284	33	27	24	35	22	10	32	25	33	34	15	29	40	45	36	33	26	32
Contig19818_6286	31	14	24	33	13	0	29	22	30	30	15	30	35	44	36	34	13	34
Contig198253_419	13	15	14	17	10	12	15	13	18	21	18	16	17	23	18	14	19	20
Contig198253_426	14	16	19	22	10	13	16	11	18	20	18	18	16	26	18	18	19	18
Contig198253_446	12	13	17	19	10	12	13	0	19	13	23	10	18	25	18	14	19	15
Contig19827_1372	15	12	11	13	12	11	16	22	16	25	30	10	19	27	30	23	28	18
Contig19827_1381	13	11	10	12	10	0	11	19	14	23	28	0	17	31	29	28	23	14
Contig19827_2224	21	10	25	30	0	10	23	28	27	38	59	25	39	48	52	53	43	28
Contig19827_2227	33	11	26	37	0	12	19	30	26	39	57	13	38	45	54	55	41	25
Contig19827_2230	32	0	24	30	10	11	18	30	25	37	61	20	40	45	53	55	42	23
Contig19827_2393	17	0	29	25	10	10	21	11	26	41	47	12	36	51	56	51	38	19
Contig19837_3912	10	10	15	11	0	13	13	16	17	20	16	0	22	24	21	17	19	15
Contig19837_3942	11	16	15	14	0	10	18	15	23	19	16	15	26	38	29	29	23	22
Contig19837_3981	13	10	11	15	10	0	13	14	14	24	12	11	16	22	16	20	18	17
Contig1984_9980	22	17	0	20	17	16	21	16	25	16	22	20	10	23	28	25	21	21
Contig198599_800	13	20	13	13	13	11	13	12	13	10	0	14	13	17	17	18	18	13
Contig19869_7289	17	11	16	14	0	11	11	10	15	24	25	12	26	23	21	24	37	20
Contig1990_4721	19	10	0	16	10	10	11	12	24	11	0	16	18	15	13	12	11	17
Contig1990_11374	14	0	19	21	15	13	19	24	19	19	10	15	15	26	20	23	21	22
Contig1990_12595	43	18	40	45	38	12	41	31	32	40	17	19	32	47	42	37	36	43
Contig1990_12608	38	22	39	46	30	0	36	31	34	35	24	12	33	41	39	34	35	32
Contig1990_13163	56	26	46	48	30	10	46	42	38	63	67	29	57	66	72	69	59	48
Contig1990_13169	52	31	44	49	29	22	46	44	43	55	62	28	52	65	70	63	57	46
Contig1990_13366	35	0	39	39	31	10	30	34	40	45	39	24	38	51	59	51	45	36
Contig1990_14732	11	29	37	36	30	0	12	24	36	18	0	26	18	28	15	23	34	43
Contig199028_721	14	10	14	17	10	15	10	15	13	15	45	12	20	26	29	27	24	18
Contig199077_5562	28	15	30	27	10	0	16	10	14	46	42	0	39	46	43	54	36	33
Contig199221_27	15	21	18	25	12	13	16	14	15	22	31	11	24	23	27	34	27	17
Contig199226_1186	21	14	10	33	19	0	14	20	19	20	13	10	23	20	14	20	25	0
Contig199340_2626	11	15	16	10	10	0	14	15	11	15	14	0	19	17	18	15	13	14
Contig19945_524	15	0	11	16	15	10	17	12	18	26	22	12	22	23	21	24	26	19
Contig19945_540	16	13	16	21	14	14	18	18	16	29	23	17	29	28	26	25	30	22
Contig19945_557	13	14	13	32	14	14	33	20	29	42	33	18	46	45	47	42	40	39
Contig19945_576	19	13	16	21	15	11	19	17	19	34	26	17	42	48	44	43	22	32
Contig19945_585	11	0	12	15	17	10	16	15	15	19	22	16	22	41	35	33	15	28
Contig19958_3975	14	18	0	12	15	14	17	14	14	17	11	15	20	19	18	15	19	29
Contig19958_3994	11	11	10	14	12	13	15	12	13	17	0	13	15	16	13	15	14	24
Contig19961_8561	13	0	13	12	10	10	15	10	18	19	10	0	13	27	18	19	24	20
Contig199636_2003	23	13	21	11	23	24	31	22	34	10	45	12	44	63	48	44	40	32
Contig199636_2034	45	45	0	10	33	15	53	15	53	46	73	43	64	74	68	73	67	49
Contig199636_2066	41	35	27	28	29	18	41	21	42	34	45	36	44	46	46	51	47	39
Contig199636_2084	55	47	46	45	40	37	55	37	52	49	58	48	56	56	56	56	54	50
Contig199636_2091	52	43	45	41	38	43	48	40	53	47	60	42	49	51	51	68	48	44
Contig199636_2116	56	61	57	58	20	53	42	65	61	47	72	54	76	73	76	74	62	50
Contig199701_5719	42	44	43	44	43	41	45	43	39	40	31	42	49	57	49	55	51	39
Contig199701_5726	26	33	31	26	27	26	31	30	40	26	19	30	43	51	37	51	41	29
Contig199701_5755	13	21	16	13	12	11	12	12	13	11	0	17	25	38	24	34	29	24
Contig199728_1115	20	13	14	20	10	0	16	10	25	22	21	18	32	22	23	24	20	22
Contig19986_8648	19	13	11	17	12	0	21	15	11	19	25	10	19	21	29	22	23	17
Contig19986_15755	15	11	15	22	14	14	18	18	0	17	11	15	12	23	32	36	22	0
Contig19995_5080	10	18	16	15	12	10	16	17	11	20	15	16	18	16	33	17	19	12
Contig19995_5088	11	16	17	16	12	0	16	16	11	20	15	17	16	17	34	15	19	14
Contig199962_1267	32	25	33	31	23	17	37	37	37	44	46	31	46	36	43	41	30	38
Contig199962_1269	36	27	33	30	26	16	34	37	38	43	48	32	49	35	47	45	33	41
Contig19997_5138	30	29	24	24	12	14	24	21	32	24	29	28	33	41	29	14	29	30
Contig19997_5165	24	0	14	29	24	13	25	12	30	12	15	14	39	22	37	29	24	34
Contig19997_5682	14	13	11	19	10	0	14	11	15	21	24	11	17	19	18	17	0	10
Contig19997_5816	11	10	13	18	14	11	17	18	21	27	27	23	30	14	25	18	25	20
Contig20_46043	17	14	14	19	0	10	10	16	18	16	11	10	12	15	11	17	19	11
Contig20_46050	20	17	20	22	12	14	12	19	21	18	15	13	16	20	14	23	21	14
Contig200_29646	13	11	15	28	0	10	12	12	31	29	18	15	44	38	39	44	24	13
Contig20015_57278	30	31	28	49	20	24	33	33	33	48	27	26	47	45	43	49	43	39
Contig20015_57286	23	23	20	25	19	17	21	22	25	26	20	22	25	26	27	25	23	27
Contig20015_57673	14	18	15	18	11	14	18	16	20	21	23	16	20	23	23	25	23	19
Contig20015_57703	15	14	13	13	0	10	15	10	20	28	19	0	17	19	19	25	24	13
Contig200195_78	29	26	34	33	13	27	37	26	31	55	43	24	48	48	52	42	43	31
Contig200195_104	31	16	17	27	0	10	13	10	14	47	41	10	40	40	45	50	36	19
Contig200195_115	17	13	15	30	0	11	11	11	14	51	46	12	38	37	47	50	22	18
Contig200195_135	27	22	29	29	23	10	35	28	32	66	48	19	47	49	50	54	42	41
Contig200195_139	30	13	30	32	23	22	36	26	36	68	45	30	50	51	50	55	39	38
Contig200195_173	33	15	39	39	24	14	32	29	35	57	59	14	65	48	60	55	52	38
Contig200195_182	34	25	33	37	24	14	30	14	33	55	53	11	64	50	64	50	52	44
Contig200195_224	25	16	14	29	14	11	28	29	27	49	45	15	35	39	44	52	33	28
Contig200195_229	20	14	17	33	15	13	32	33	32	52	53	15	35	42	51	56	34	32
Contig200195_257	14	12	17	22	13	0	18	10	13	23	20	15	17	18	33	21	19	21
Contig200195_296	16	12	10	17	0	10	18	15	12	21	31	11	34	30	36	31	22	13
Contig200195_828	12	12	17	17	12	0	14	15	16	18	22	17	25	36	29	28	27	15
Contig200195_903	27	21	15	20	12	0	32	24	22	26	50	10	36	55	50	54	37	27
Contig200195_909	25	24	16	14	12	10	31	16	21	24	47	11	35	56	48	51	39	15
Contig200195_957	12	21	34	20	10	0	37	24	28	33	39	27	42	46	51	44	31	32
Contig200195_986	25	18	30	34	10	0	27	15	32	41	42	0	40	50	54	51	35	29
Contig200195_1041	33	22	16	32	0	10	17	26	12	38	46	25	36	49	41	49	37	29
Contig20020_15834	14	12	16	16	11	0	23	12	10	26	20	11	22	19	19	17	14	19
Contig20037_52804	15	13	11	11	10	13	14	13	15	10	0	13	11	11	12	10	11	15
Contig20055_5987	10	13	18	10	12	0	17	15	14	21	28	15	26	31	27	23	15	15
Contig20055_6002	18	14	23	15	14	0	21	15	19	27	28	18	31	28	28	26	23	23
Contig20055_6050	15	16	14	14	15	12	16	13	20	29	27	11	25	27	26	33	21	18
Contig2006_1501	17	13	14	19	12	10	16	10	20	18	12	14	16	14	14	17	16	19
Contig200796_83	43	40	38	40	33	24	45	50	42	48	63	44	63	75	61	78	58	54
Contig200796_113	49	39	47	50	40	35	41	48	47	50	57	38	55	68	52	70	50	45
Contig200796_130	32	21	21	29	26	18	32	26	27	25	29	21	24	42	25	41	23	32
Contig200796_262	32	23	12	33	21	18	29	14	35	17	24	18	22	43	16	30	24	21
Contig2009_14416	22	11	19	21	16	19	23	16	21	26	16	10	23	22	14	24	13	23
Contig2009_14650	17	0	20	17	15	15	17	13	15	18	23	13	22	19	19	20	11	21
Contig2009_14662	17	0	18	18	16	14	17	15	18	23	20	16	24	20	19	18	12	20
Contig2009_14747	20	12	22	22	15	14	24	18	19	27	24	12	24	19	15	25	17	23
Contig20090_3774	12	15	14	19	11	0	13	17	16	27	34	13	22	30	17	20	25	16
