id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
Contig151254_2059	18	4.140e-01	5.681e-01	4.257e-01	1.820e-01	7.345e-01	2.466e-01	1.885e+00	4.397e+00	1.918e-01	6.466e-01
Contig151254_2960	18	3.539e-01	9.008e-02	6.545e-01	8.905e-01	5.048e-01	2.923e-01	1.910e+00	4.001e+00	2.328e+00	8.694e-01
Contig151635_262	18	2.702e-01	4.222e-01	9.604e-01	6.602e-01	8.223e-01	1.916e-01	1.013e+01	1.490e+01	2.938e+00	1.253e+00
Contig1519_6028	18	3.495e-01	-3.638e-01	4.154e-01	3.812e-01	7.525e-01	2.384e-01	2.921e+00	8.787e+00	2.196e+00	6.671e-01
Contig1519_7744	18	2.625e-01	9.869e-01	9.956e-01	3.216e-01	6.375e-01	2.456e-01	6.068e+00	8.489e+00	2.700e+00	1.137e+00
Contig1519_7757	18	2.984e-01	-1.829e-01	1.514e+00	9.039e-01	7.517e-01	2.501e-01	1.377e+01	2.319e+01	-5.575e+00	1.700e+00
Contig152_9342	18	3.195e-01	-1.388e-01	7.005e-01	8.429e-01	6.268e-01	2.658e-01	2.802e+00	5.611e+00	3.292e+00	9.661e-01
Contig152_9352	18	2.578e-01	6.666e-01	1.028e+00	5.169e-01	5.167e-01	2.279e-01	5.653e+00	6.391e+00	3.042e+00	1.170e+00
Contig152_9358	18	3.191e-01	-6.745e-01	7.592e-01	3.743e-01	7.623e-01	2.288e-01	4.123e+00	8.798e+00	3.949e+00	1.071e+00
Contig152_9377	18	2.384e-01	-7.528e+00	3.087e+00	1.473e-02	4.577e-01	1.344e-01	2.675e+01	1.637e+01	4.215e+00	1.769e+00
Contig152_9509	18	2.705e-01	-3.372e-01	8.644e-01	6.964e-01	7.245e-01	2.357e-01	6.801e+00	1.391e+01	4.206e+00	1.074e+00
Contig152194_2432	18	2.645e-01	4.071e-01	7.599e-01	5.921e-01	6.742e-01	2.147e-01	5.070e+00	7.961e+00	2.154e+00	1.044e+00
Contig152194_2436	18	2.678e-01	-5.819e-01	7.306e-01	4.258e-01	7.897e-01	2.202e-01	8.779e+00	1.813e+01	3.291e+00	9.763e-01
Contig152420_2639	18	4.126e-01	-5.838e-01	3.368e-01	8.300e-02	6.777e-01	2.569e-01	7.775e-01	1.598e+00	1.983e+00	5.134e-01
Contig152420_2645	18	1.812e-01	1.020e+00	1.676e+00	5.430e-01	7.872e-01	1.612e-01	2.131e+01	2.070e+01	4.208e+00	1.617e+00
Contig152420_3057	18	3.564e-01	-5.463e-01	5.022e-01	2.767e-01	6.285e-01	2.909e-01	2.992e+00	7.527e+00	1.786e+00	7.717e-01
Contig152420_3063	18	2.910e-01	-9.629e-02	6.676e-01	8.853e-01	6.895e-01	2.964e-01	4.686e+00	7.899e+00	2.847e+00	9.848e-01
Contig152420_3076	18	4.188e-01	-5.429e-01	2.808e-01	5.319e-02	6.683e-01	2.687e-01	5.838e-01	1.284e+00	1.231e+00	4.531e-01
Contig152420_3088	18	3.321e-01	5.851e-01	6.445e-01	3.640e-01	4.096e-01	2.190e-01	1.713e+00	2.463e+00	9.448e-01	8.504e-01
Contig15287_21687	18	2.085e-01	5.764e-01	1.138e+00	6.125e-01	8.220e-01	1.791e-01	1.560e+01	2.140e+01	3.614e+00	1.416e+00
Contig15287_21694	18	2.584e-01	-1.468e+00	1.068e+00	1.691e-01	7.001e-01	2.649e-01	7.522e+00	1.125e+01	4.835e+00	1.254e+00
Contig152875_803	18	3.004e-01	-3.079e-01	1.166e+00	7.918e-01	7.327e-01	2.370e-01	7.928e+00	1.442e+01	3.511e+00	1.338e+00
Contig152875_817	18	3.250e-01	1.835e-01	1.402e+00	8.959e-01	3.144e-01	1.795e-01	1.045e+01	7.907e+00	3.555e+00	1.434e+00
Contig152875_832	18	1.867e-01	-2.040e+00	1.778e+00	2.511e-01	6.575e-01	1.811e-01	1.792e+01	1.777e+01	5.640e+00	1.476e+00
Contig152875_868	18	2.551e-01	-6.678e-01	1.149e+00	5.611e-01	6.804e-01	2.409e-01	1.039e+01	1.327e+01	3.608e+00	1.442e+00
Contig15291_9730	18	1.175e-01	-1.595e+00	2.413e+00	5.085e-01	6.706e-01	7.815e-02	3.477e+01	1.992e+01	2.747e+00	1.975e+00
Contig15291_9741	18	3.131e-01	2.907e+00	1.984e+00	1.428e-01	3.504e-01	1.688e-01	1.332e+01	8.852e+00	2.232e+00	1.585e+00
Contig15291_9745	18	3.001e-01	3.700e-01	1.094e+00	7.352e-01	5.292e-01	2.703e-01	5.043e+00	8.408e+00	4.134e+00	1.273e+00
Contig15292_11355	18	2.254e-01	-8.679e-02	6.597e-01	8.953e-01	8.665e-01	1.678e-01	1.209e+01	1.845e+01	1.175e+00	9.454e-01
Contig152930_917	18	3.464e-01	6.245e-01	5.495e-01	2.558e-01	6.323e-01	2.724e-01	1.836e+00	3.875e+00	2.342e+00	7.625e-01
Contig152930_1064	18	2.399e-01	5.434e-01	1.177e+00	6.444e-01	7.978e-01	1.424e-01	2.064e+01	2.617e+01	3.396e+00	1.553e+00
Contig152930_1074	18	2.846e-01	-1.422e+00	9.621e-01	1.395e-01	6.377e-01	2.689e-01	6.371e+00	1.150e+01	4.334e+00	1.189e+00
Contig15294_1490	18	3.850e-01	3.056e-01	5.639e-01	5.879e-01	7.549e-01	2.354e-01	2.580e+00	5.888e+00	5.317e-02	8.022e-01
Contig15294_1499	18	3.460e-01	9.947e-01	7.507e-01	1.852e-01	6.945e-01	2.757e-01	5.499e+00	1.159e+01	1.788e+00	9.772e-01
Contig15294_3376	18	2.687e-01	1.561e+00	1.275e+00	2.209e-01	7.371e-01	2.784e-01	1.669e+01	2.685e+01	3.434e+00	1.451e+00
Contig15294_5862	18	2.370e-01	7.121e-01	7.052e-01	3.126e-01	6.491e-01	2.039e-01	4.143e+00	5.923e+00	9.410e-01	9.551e-01
Contig153077_11147	18	3.287e-01	-4.104e-02	6.612e-01	9.505e-01	5.402e-01	3.163e-01	2.692e+00	5.650e+00	2.256e+00	8.986e-01
Contig153123_319	18	3.653e-01	-5.090e-01	5.036e-01	3.121e-01	6.577e-01	2.907e-01	3.451e+00	9.804e+00	1.620e+00	7.932e-01
Contig153188_2975	18	3.183e-01	-8.007e-01	5.977e-01	1.803e-01	5.459e-01	2.743e-01	2.788e+00	8.397e+00	2.769e+00	8.726e-01
Contig15328_8158	18	2.844e-01	8.877e-01	1.100e+00	4.197e-01	6.575e-01	3.203e-01	7.080e+00	1.291e+01	3.221e+00	1.284e+00
Contig15328_8236	18	1.883e-01	1.077e+00	2.472e+00	6.631e-01	9.071e-01	7.123e-02	3.924e+01	3.087e+01	4.621e+00	1.771e+00
Contig15328_8244	18	3.191e-01	1.072e+00	1.281e+00	4.027e-01	3.378e-01	1.730e-01	1.071e+01	7.969e+00	-4.936e-03	1.378e+00
Contig15328_8398	18	3.245e-01	2.691e+00	1.773e+00	1.291e-01	3.391e-01	1.727e-01	8.915e+00	6.412e+00	2.194e+00	1.521e+00
Contig15328_8410	18	2.544e-01	-1.087e+00	1.250e+00	3.844e-01	5.629e-01	3.030e-01	8.874e+00	1.238e+01	5.346e+00	1.417e+00
Contig15341_4578	18	1.537e-01	-1.496e+00	3.209e+00	6.412e-01	6.977e-01	1.258e-01	4.723e+01	3.020e+01	3.769e+00	1.959e+00
Contig15341_6441	18	2.853e-01	-2.314e-01	5.773e-01	6.885e-01	6.948e-01	2.099e-01	3.333e+00	5.796e+00	9.384e-01	8.475e-01
Contig153436_1209	18	2.679e-01	1.391e+00	1.157e+00	2.292e-01	7.162e-01	2.710e-01	1.594e+01	2.484e+01	2.615e+00	1.377e+00
Contig153436_1219	18	2.329e-01	6.953e-01	9.364e-01	4.578e-01	5.937e-01	2.344e-01	6.780e+00	7.813e+00	2.501e+00	1.153e+00
Contig153436_1223	18	3.069e-01	2.791e-01	6.002e-01	6.419e-01	7.165e-01	2.279e-01	3.471e+00	6.119e+00	1.610e+00	8.543e-01
Contig153481_3903	18	2.845e-01	-2.321e-01	7.222e-01	7.479e-01	6.633e-01	2.729e-01	6.470e+00	1.390e+01	2.203e+00	1.005e+00
Contig153481_4068	18	3.632e-01	-7.133e-01	4.620e-01	1.226e-01	5.779e-01	2.599e-01	1.160e+00	2.329e+00	1.889e+00	7.089e-01
Contig15352_545	18	1.936e-01	-2.688e-01	1.335e+00	8.404e-01	8.606e-01	1.071e-01	2.172e+01	2.550e+01	3.935e+00	1.575e+00
Contig15352_548	18	2.868e-01	-5.472e-01	7.664e-01	4.753e-01	6.194e-01	2.709e-01	5.058e+00	1.044e+01	4.233e+00	1.083e+00
Contig15352_574	18	3.527e-01	8.053e-01	8.106e-01	3.205e-01	6.614e-01	2.711e-01	2.835e+00	6.251e+00	2.314e+00	9.814e-01
Contig15352_593	18	2.842e-01	2.935e-01	7.639e-01	7.008e-01	6.819e-01	2.526e-01	6.255e+00	1.317e+01	2.854e+00	1.076e+00
Contig15352_606	18	2.877e-01	-5.318e-01	9.347e-01	5.694e-01	5.624e-01	2.693e-01	5.540e+00	9.946e+00	4.215e+00	1.177e+00
Contig15352_613	18	2.505e-01	1.855e-01	1.003e+00	8.532e-01	6.415e-01	2.770e-01	1.040e+01	1.697e+01	3.895e+00	1.333e+00
Contig15352_642	18	3.346e-01	1.071e+00	1.022e+00	2.951e-01	2.972e-01	1.660e-01	4.795e+00	3.704e+00	2.522e+00	1.210e+00
Contig153599_87	18	2.449e-01	1.817e+00	9.276e-01	5.010e-02	6.972e-01	2.088e-01	6.084e+00	8.838e+00	8.899e-01	1.137e+00
Contig15372_4890	18	2.846e-01	1.973e-02	5.401e-01	9.709e-01	5.236e-01	2.339e-01	1.437e+00	2.366e+00	1.017e+00	7.314e-01
Contig15377_4717	18	3.643e-01	5.813e-02	4.725e-01	9.021e-01	7.914e-01	2.226e-01	2.782e+00	6.491e+00	1.150e+00	7.249e-01
Contig15379_15184	18	3.185e-01	4.382e-01	1.387e+00	7.521e-01	3.669e-01	2.283e-01	7.057e+00	7.391e+00	4.197e+00	1.674e+00
Contig153795_1105	18	3.448e-01	-3.591e-01	5.342e-01	5.015e-01	7.278e-01	2.646e-01	2.273e+00	4.890e+00	3.328e+00	7.760e-01
Contig15385_3052	18	2.151e-01	-2.771e-01	1.348e+00	8.371e-01	6.466e-01	2.149e-01	1.155e+01	1.397e+01	3.740e+00	1.381e+00
Contig15385_3086	18	2.278e-01	-3.795e-01	1.418e+00	7.889e-01	5.178e-01	2.166e-01	1.129e+01	1.239e+01	4.404e+00	1.375e+00
Contig15385_3851	18	2.495e-01	-5.019e-01	1.447e+00	7.286e-01	6.368e-01	2.975e-01	2.060e+01	2.370e+01	3.409e+00	1.568e+00
Contig15385_3863	18	2.857e-01	1.273e-01	1.027e+00	9.013e-01	7.665e-01	2.273e-01	1.168e+01	2.006e+01	3.316e+00	1.321e+00
Contig15385_3868	18	2.660e-01	1.353e+00	8.996e-01	1.325e-01	8.332e-01	1.844e-01	9.545e+00	1.659e+01	2.301e+00	1.234e+00
Contig15385_3882	18	2.321e-01	6.859e-01	1.373e+00	6.173e-01	5.351e-01	2.233e-01	7.687e+00	1.002e+01	4.246e+00	1.484e+00
Contig154065_2637	18	2.679e-01	-2.230e-01	1.001e+00	8.238e-01	4.937e-01	2.414e-01	5.507e+00	6.797e+00	3.100e+00	1.201e+00
Contig15407_35896	18	2.784e-01	-6.963e-01	7.787e-01	3.712e-01	7.332e-01	2.074e-01	4.265e+00	6.653e+00	3.300e+00	1.047e+00
Contig154392_7767	18	4.161e-01	-1.370e-01	4.412e-01	7.562e-01	6.534e-01	2.804e-01	1.813e+00	4.593e+00	1.451e+00	6.459e-01
Contig154392_8019	18	3.205e-01	7.899e-01	8.815e-01	3.702e-01	4.191e-01	2.205e-01	3.022e+00	3.340e+00	2.764e+00	1.075e+00
Contig154392_8029	18	2.303e-01	2.290e-01	7.734e-01	7.671e-01	6.104e-01	2.231e-01	3.498e+00	3.915e+00	1.843e+00	9.817e-01
Contig154392_8036	18	3.125e-01	4.956e-01	5.682e-01	3.831e-01	7.076e-01	2.336e-01	2.138e+00	5.700e+00	1.533e+00	7.921e-01
Contig154392_8048	18	2.219e-01	1.295e+00	1.177e+00	2.712e-01	7.692e-01	2.233e-01	1.140e+01	1.466e+01	2.416e+00	1.248e+00
Contig15441_15782	18	2.871e-01	-3.212e-01	8.671e-01	7.111e-01	4.357e-01	2.176e-01	3.315e+00	3.901e+00	3.180e+00	1.136e+00
Contig15441_15786	18	3.413e-01	-2.323e-01	6.672e-01	7.277e-01	7.514e-01	2.235e-01	3.200e+00	7.191e+00	3.084e+00	8.805e-01
Contig15441_15793	18	2.305e-01	-1.251e+00	9.930e-01	2.078e-01	8.403e-01	1.934e-01	1.098e+01	1.566e+01	4.474e+00	1.251e+00
Contig15442_1263	18	2.654e-01	3.956e-02	9.809e-01	9.678e-01	7.330e-01	2.614e-01	9.665e+00	1.572e+01	3.849e+00	1.136e+00
Contig15444_5194	18	2.672e-01	-1.027e+00	1.005e+00	3.068e-01	6.291e-01	2.478e-01	6.693e+00	1.268e+01	4.081e+00	1.153e+00
Contig154574_2787	18	2.120e-01	2.109e-01	9.346e-01	8.214e-01	8.131e-01	1.757e-01	1.836e+01	2.264e+01	2.199e+00	1.297e+00
Contig15478_8315	18	2.575e-01	1.019e+00	7.421e-01	1.695e-01	8.846e-01	1.299e-01	8.041e+00	1.310e+01	9.796e-01	9.906e-01
Contig15478_8323	18	2.425e-01	1.035e-01	1.005e+00	9.180e-01	7.802e-01	2.562e-01	2.138e+01	3.011e+01	2.614e+00	1.358e+00
Contig15478_11323	18	3.430e-01	-2.231e-01	6.376e-01	7.265e-01	4.107e-01	2.728e-01	3.495e+00	6.987e+00	1.875e+00	9.177e-01
Contig15478_11589	18	3.197e-01	9.685e-02	5.934e-01	8.703e-01	6.872e-01	2.568e-01	2.780e+00	4.563e+00	1.881e+00	8.610e-01
Contig154795_53	18	2.741e-01	-4.423e-01	9.470e-01	6.405e-01	7.215e-01	2.218e-01	7.702e+00	1.199e+01	1.537e+00	1.232e+00
Contig154795_2143	18	1.785e-01	8.884e-01	2.032e+00	6.619e-01	8.077e-01	1.067e-01	2.349e+01	2.055e+01	2.929e+00	1.697e+00
Contig154909_1058	18	2.165e-01	-1.637e+00	2.249e+00	4.668e-01	7.622e-01	1.796e-01	3.992e+01	3.901e+01	4.169e+00	1.735e+00
Contig154909_1062	18	2.526e-01	-4.713e-01	1.060e+00	6.566e-01	6.575e-01	2.415e-01	7.719e+00	1.169e+01	4.177e+00	1.220e+00
Contig15491_5139	18	2.935e-01	4.125e-02	7.463e-01	9.559e-01	6.644e-01	2.406e-01	4.383e+00	9.001e+00	2.791e+00	1.053e+00
Contig15491_5154	18	2.357e-01	-1.014e+00	9.979e-01	3.098e-01	6.898e-01	2.259e-01	7.381e+00	1.034e+01	3.277e+00	1.186e+00
Contig155026_2553	18	3.851e-01	-5.003e-01	3.975e-01	2.081e-01	6.373e-01	2.946e-01	1.113e+00	3.261e+00	2.851e+00	6.078e-01
Contig155026_2557	18	3.527e-01	-3.741e-02	5.257e-01	9.433e-01	8.049e-01	2.019e-01	2.921e+00	7.154e+00	2.291e+00	7.642e-01
Contig155026_2655	18	2.088e-01	-7.267e-01	1.399e+00	6.033e-01	8.569e-01	1.237e-01	2.366e+01	2.488e+01	3.965e+00	1.493e+00
Contig155026_2763	18	2.412e-01	-2.142e+00	3.212e+00	5.048e-01	7.640e-01	2.728e-01	2.189e+01	2.456e+01	3.552e+00	1.846e+00
Contig155026_2875	18	2.834e-01	5.851e-01	6.351e-01	3.569e-01	7.034e-01	2.622e-01	3.264e+00	6.980e+00	2.334e+00	8.720e-01
Contig155026_2896	18	2.466e-01	-8.538e-01	9.860e-01	3.866e-01	8.056e-01	2.161e-01	1.049e+01	1.448e+01	4.593e+00	1.329e+00
Contig155026_2899	18	2.965e-01	-3.708e-01	5.777e-01	5.210e-01	7.665e-01	2.203e-01	4.359e+00	8.254e+00	2.364e+00	8.484e-01
Contig15536_7797	18	3.755e-01	5.420e-01	6.026e-01	3.684e-01	6.550e-01	2.878e-01	1.589e+00	3.693e+00	2.310e+00	8.153e-01
Contig15536_7804	18	2.575e-01	9.118e-01	7.592e-01	2.298e-01	7.622e-01	2.127e-01	5.245e+00	8.279e+00	1.180e+00	9.659e-01
Contig15536_7810	18	2.803e-01	4.209e-01	6.873e-01	5.403e-01	6.177e-01	2.417e-01	3.490e+00	5.745e+00	2.285e+00	9.157e-01
Contig155530_8780	18	3.801e-01	3.419e-01	4.225e-01	4.183e-01	7.281e-01	2.463e-01	1.748e+00	4.831e+00	1.432e+00	6.317e-01
Contig155530_8790	18	3.553e-01	4.409e-01	4.571e-01	3.348e-01	7.737e-01	2.462e-01	3.589e+00	8.874e+00	1.379e+00	6.547e-01
Contig155530_8805	18	2.713e-01	3.198e-01	8.394e-01	7.032e-01	5.924e-01	2.693e-01	5.446e+00	1.053e+01	2.357e+00	1.019e+00
Contig155530_9143	18	3.430e-01	6.954e-01	6.309e-01	2.703e-01	7.100e-01	2.452e-01	2.154e+00	3.878e+00	2.202e+00	8.044e-01
Contig1559_2945	18	3.228e-01	-2.922e-01	6.833e-01	6.689e-01	5.133e-01	2.546e-01	2.656e+00	4.879e+00	1.789e+00	9.570e-01
Contig1559_3116	18	3.599e-01	1.483e-01	5.676e-01	7.939e-01	7.668e-01	2.284e-01	4.278e+00	8.951e+00	-3.992e-01	8.306e-01
Contig15595_54765	18	2.459e-01	-2.010e+00	1.163e+00	8.404e-02	6.613e-01	2.583e-01	1.192e+01	1.746e+01	5.325e+00	1.466e+00
Contig15598_5618	18	3.401e-01	-1.342e-01	6.971e-01	8.474e-01	7.157e-01	2.556e-01	3.534e+00	8.184e+00	2.534e+00	9.598e-01
Contig15598_5633	18	2.525e-01	-9.536e-01	7.477e-01	2.021e-01	7.525e-01	2.391e-01	1.038e+01	1.798e+01	3.067e+00	1.136e+00
Contig15598_5663	18	2.014e-01	1.756e-01	1.480e+00	9.056e-01	7.536e-01	1.937e-01	1.694e+01	1.917e+01	4.001e+00	1.490e+00
Contig15598_5724	18	4.415e-01	-7.009e-03	3.385e-01	9.835e-01	7.094e-01	2.633e-01	6.716e-01	1.365e+00	1.848e+00	5.397e-01
Contig156117_52	18	2.449e-01	-1.244e-01	6.978e-01	8.586e-01	8.723e-01	1.438e-01	7.839e+00	1.216e+01	2.318e+00	9.657e-01
Contig156117_57	18	2.515e-01	6.477e-01	7.102e-01	3.618e-01	8.126e-01	1.625e-01	8.343e+00	1.297e+01	7.296e-01	1.026e+00
Contig15653_3006	18	2.632e-01	-1.573e-01	7.264e-01	8.286e-01	5.910e-01	2.396e-01	3.425e+00	5.541e+00	2.616e+00	9.466e-01
Contig15653_3058	18	2.692e-01	-1.844e-01	8.278e-01	8.238e-01	6.361e-01	2.520e-01	5.475e+00	8.497e+00	3.515e+00	1.065e+00
Contig15653_3136	18	2.417e-01	2.183e+00	1.317e+00	9.734e-02	6.273e-01	2.515e-01	9.117e+00	1.527e+01	2.699e+00	1.410e+00
Contig15653_3151	18	2.704e-01	5.738e-01	1.023e+00	5.750e-01	7.139e-01	2.437e-01	8.985e+00	1.419e+01	3.801e+00	1.424e+00
Contig15653_3337	18	2.680e-01	-5.040e-01	8.765e-01	5.652e-01	6.720e-01	2.390e-01	4.821e+00	6.302e+00	3.920e+00	1.119e+00
Contig15653_3351	18	3.230e-01	2.467e-01	7.270e-01	7.344e-01	5.842e-01	2.978e-01	3.287e+00	5.495e+00	3.418e+00	9.915e-01
Contig15653_3400	18	3.140e-01	-2.693e+00	1.827e+00	1.406e-01	3.676e-01	1.766e-01	9.390e+00	7.625e+00	4.758e+00	1.529e+00
Contig15653_3411	18	2.605e-01	-1.695e+00	2.246e+00	4.505e-01	7.107e-01	2.530e-01	9.608e+00	1.496e+01	5.044e+00	1.720e+00
Contig15653_3539	18	2.836e-01	-3.010e-01	7.786e-01	6.990e-01	7.186e-01	2.453e-01	6.206e+00	1.051e+01	3.207e+00	1.043e+00
Contig15653_3647	18	2.398e-01	-5.464e-01	1.436e+00	7.035e-01	7.004e-01	2.536e-01	2.205e+01	2.824e+01	5.205e+00	1.605e+00
Contig15653_3652	18	3.161e-01	6.322e-02	1.196e+00	9.578e-01	7.459e-01	2.328e-01	5.118e+00	7.971e+00	3.655e+00	1.238e+00
Contig15653_4135	18	2.495e-01	-6.667e-01	1.185e+00	5.738e-01	7.514e-01	2.644e-01	8.138e+00	1.244e+01	3.949e+00	1.389e+00
Contig15653_4138	18	2.515e-01	3.235e-01	8.916e-01	7.167e-01	8.225e-01	1.858e-01	6.226e+00	8.546e+00	3.025e+00	1.115e+00
Contig15653_4211	18	2.561e-01	-1.402e+00	9.604e-01	1.444e-01	6.421e-01	2.229e-01	5.218e+00	6.650e+00	4.509e+00	1.199e+00
Contig15653_4233	18	2.394e-01	4.157e-01	1.043e+00	6.901e-01	5.543e-01	2.215e-01	4.412e+00	6.139e+00	3.517e+00	1.181e+00
Contig15653_4250	18	2.903e-01	-1.223e-01	8.225e-01	8.818e-01	6.683e-01	2.897e-01	5.064e+00	9.144e+00	3.320e+00	1.133e+00
Contig15653_4274	18	3.402e-01	9.693e-02	5.318e-01	8.554e-01	6.709e-01	2.526e-01	1.692e+00	3.350e+00	3.270e+00	7.561e-01
Contig15653_4288	18	2.891e-01	9.102e-01	1.085e+00	4.016e-01	5.481e-01	2.826e-01	3.629e+00	4.668e+00	3.139e+00	1.246e+00
Contig15653_4299	18	3.290e-01	1.918e-01	7.310e-01	7.930e-01	6.057e-01	2.975e-01	3.886e+00	6.857e+00	2.950e+00	1.054e+00
Contig15653_4303	18	3.255e-01	3.262e+00	2.250e+00	1.472e-01	3.252e-01	1.711e-01	1.781e+01	1.570e+01	1.724e+00	1.702e+00
Contig15653_4389	18	3.195e-01	6.823e-03	8.793e-01	9.938e-01	5.329e-01	3.145e-01	5.215e+00	8.804e+00	4.062e+00	1.040e+00
Contig15653_4409	18	2.832e-01	4.361e-01	8.301e-01	5.993e-01	6.018e-01	2.497e-01	4.160e+00	6.271e+00	3.081e+00	1.134e+00
Contig156767_747	18	2.389e-01	2.223e+00	1.408e+00	1.143e-01	7.503e-01	2.302e-01	1.630e+01	2.182e+01	2.996e+00	1.530e+00
Contig156767_762	18	2.649e-01	7.145e-01	1.745e+00	6.822e-01	4.225e-01	1.796e-01	2.251e+01	1.616e+01	-3.614e+00	1.739e+00
Contig156933_1694	18	4.229e-01	2.330e-01	5.276e-01	6.588e-01	6.934e-01	2.556e-01	1.471e+00	2.609e+00	1.623e+00	7.526e-01
Contig156933_1697	18	3.555e-01	-2.130e-01	7.156e-01	7.659e-01	6.343e-01	2.772e-01	2.888e+00	5.800e+00	2.772e+00	9.878e-01
Contig156936_5404	18	3.232e-01	3.337e-01	5.540e-01	5.469e-01	7.361e-01	2.361e-01	2.833e+00	6.015e+00	1.724e+00	8.032e-01
Contig156936_5412	18	2.872e-01	2.293e-01	8.192e-01	7.795e-01	4.300e-01	1.960e-01	4.278e+00	4.592e+00	1.165e+00	1.056e+00
Contig157_5766	18	2.533e-01	2.555e-01	7.005e-01	7.153e-01	6.207e-01	2.667e-01	2.980e+00	4.373e+00	2.302e+00	9.282e-01
Contig15704_253	18	1.863e-01	-8.962e-01	1.737e+00	6.060e-01	7.259e-01	1.320e-01	2.374e+01	2.465e+01	4.110e+00	1.539e+00
Contig157330_1819	18	3.414e-01	9.418e-01	1.181e+00	4.253e-01	2.593e-01	1.594e-01	6.466e+00	5.034e+00	1.697e+00	1.284e+00
Contig15756_55990	18	3.324e-01	-1.818e-01	7.288e-01	8.030e-01	6.052e-01	2.784e-01	2.879e+00	6.204e+00	3.744e+00	1.002e+00
Contig15756_56002	18	2.069e-01	1.638e-01	1.127e+00	8.844e-01	8.365e-01	1.598e-01	2.009e+01	2.464e+01	3.922e+00	1.350e+00
Contig15756_56072	18	3.319e-01	-1.603e-01	9.961e-01	8.721e-01	2.828e-01	1.602e-01	4.729e+00	4.062e+00	3.873e+00	1.207e+00
Contig15756_56082	18	2.203e-01	-5.768e+00	2.498e+00	2.094e-02	8.944e-01	1.371e-01	2.446e+01	2.662e+01	6.722e+00	1.738e+00
Contig15756_56084	18	2.496e-01	-3.035e-01	1.167e+00	7.949e-01	5.812e-01	2.538e-01	8.241e+00	1.157e+01	3.715e+00	1.431e+00
Contig15756_57558	18	2.215e-01	-7.783e-01	1.187e+00	5.120e-01	8.167e-01	2.134e-01	1.839e+01	2.197e+01	4.301e+00	1.443e+00
Contig15756_57599	18	1.727e-01	2.374e-01	1.525e+00	8.762e-01	8.724e-01	9.214e-02	2.838e+01	2.489e+01	4.094e+00	1.617e+00
Contig15756_57614	18	2.476e-01	-2.527e+00	1.527e+00	9.788e-02	5.822e-01	2.442e-01	1.249e+01	1.447e+01	6.544e+00	1.821e+00
Contig15757_26601	18	3.398e-01	1.303e+00	1.385e+00	3.467e-01	2.758e-01	1.677e-01	1.035e+01	1.079e+01	2.281e+00	1.464e+00
Contig15757_26605	18	2.577e-01	1.000e+00	8.321e-01	2.293e-01	6.267e-01	2.268e-01	4.769e+00	6.066e+00	-1.065e+00	1.057e+00
Contig157607_183	18	2.902e-01	1.136e+00	9.461e-01	2.299e-01	7.088e-01	2.232e-01	6.258e+00	9.022e+00	1.666e+00	1.149e+00
Contig157607_219	18	3.625e-01	-2.486e-01	5.072e-01	6.240e-01	7.082e-01	2.559e-01	2.700e+00	6.274e+00	-1.081e+00	7.339e-01
Contig157607_224	18	3.604e-01	-4.579e-01	6.407e-01	4.748e-01	7.161e-01	2.631e-01	3.591e+00	8.468e+00	2.520e+00	8.876e-01
Contig1578_12930	18	3.409e-01	1.446e-01	6.449e-01	8.226e-01	7.383e-01	2.392e-01	4.001e+00	8.652e+00	2.419e+00	9.956e-01
Contig1578_12952	18	2.452e-01	-1.168e+00	1.594e+00	4.636e-01	7.579e-01	2.055e-01	1.724e+01	2.401e+01	4.326e+00	1.646e+00
Contig1578_12967	18	2.692e-01	5.781e-02	9.106e-01	9.494e-01	7.152e-01	2.650e-01	6.427e+00	1.157e+01	3.628e+00	1.175e+00
Contig15783_1368	18	1.985e-01	-7.786e-03	1.102e+00	9.944e-01	7.088e-01	1.774e-01	9.324e+00	1.336e+01	3.205e+00	1.277e+00
Contig15783_1374	18	3.616e-01	2.009e-01	5.467e-01	7.133e-01	7.511e-01	2.406e-01	2.123e+00	3.844e+00	1.955e+00	8.027e-01
Contig15783_1390	18	2.945e-01	1.736e-02	4.995e-01	9.723e-01	6.887e-01	2.960e-01	2.958e+00	4.492e+00	1.391e+00	7.229e-01
Contig15783_1394	18	3.219e-01	7.568e-01	6.162e-01	2.194e-01	6.555e-01	2.743e-01	2.521e+00	4.315e+00	1.577e+00	8.633e-01
Contig1579_4585	18	2.613e-01	-3.161e-01	7.613e-01	6.779e-01	8.102e-01	2.072e-01	4.749e+00	7.448e+00	3.497e+00	1.032e+00
Contig1579_4588	18	3.459e-01	-4.209e-01	3.724e-01	2.584e-01	5.714e-01	2.461e-01	1.085e+00	3.229e+00	2.339e+00	5.761e-01
Contig1579_4605	18	2.489e-01	-1.270e+00	1.058e+00	2.296e-01	7.290e-01	2.432e-01	9.539e+00	1.352e+01	3.783e+00	1.344e+00
Contig158_12764	18	3.477e-01	-3.341e-01	6.113e-01	5.848e-01	6.370e-01	2.837e-01	2.283e+00	4.326e+00	3.101e+00	8.548e-01
Contig158_12773	18	3.193e-01	1.315e+00	9.048e-01	1.461e-01	6.194e-01	2.848e-01	4.983e+00	9.911e+00	2.244e+00	1.112e+00
