UNIPROT_ACCESSION	Name	Species
P38650	dynein cytoplasmic 1 heavy chain 1(Dync1h1)	Rattus norvegicus
Q61191	host cell factor C1(Hcfc1)	Mus musculus
Q8IWQ3	BR serine/threonine kinase 2(BRSK2)	Homo sapiens
Q8R3B7	bromodomain containing 8(Brd8)	Mus musculus
Q9NYI0	pleckstrin and Sec7 domain containing 3(PSD3)	Homo sapiens
Q502L2	PGAM family member 5, serine/threonine protein phosphatase, mitochondrial(pgam5)	Danio rerio
M9NDE3	bark beetle(bark)	Drosophila melanogaster
Q8NFH3	nucleoporin 43(NUP43)	Homo sapiens
F1R345	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11(ddx11)	Danio rerio
P55210	caspase 7(CASP7)	Homo sapiens
Q9UDY4	DnaJ heat shock protein family (Hsp40) member B4(DNAJB4)	Homo sapiens
Q8BGS3	zinc finger with KRAB and SCAN domains 1(Zkscan1)	Mus musculus
P41095	60S acidic ribosomal protein P0(LOC4344590)	Oryza sativa Japonica Group
Q9HC84	mucin 5B, oligomeric mucus/gel-forming(MUC5B)	Homo sapiens
Q62165	dystroglycan 1(Dag1)	Mus musculus
Q58EN8	vacuolar protein sorting 33B(vps33b)	Danio rerio
Q90YS3	ribosomal protein S2(rps2)	Ictalurus punctatus
O61231	Ribosomal protein L10(RpL10)	Drosophila melanogaster
Q9C0H5	Rho GTPase activating protein 39(ARHGAP39)	Homo sapiens
Q80YE2	tumor protein p53 inducible nuclear protein 1(Tp53inp1)	Rattus norvegicus
P32755	4-hydroxyphenylpyruvate dioxygenase(Hpd)	Rattus norvegicus
P33450	fat(ft)	Drosophila melanogaster
Q868Z9	Papilin(Ppn)	Drosophila melanogaster
Q99973	telomerase associated protein 1(TEP1)	Homo sapiens
Q4U2R1	HECT and RLD domain containing E3 ubiquitin protein ligase 2(Herc2)	Mus musculus
F1LRS8	CD2-associated protein(Cd2ap)	Rattus norvegicus
O14578	citron rho-interacting serine/threonine kinase(CIT)	Homo sapiens
Q86WI1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1(PKHD1L1)	Homo sapiens
Q8R313	exocyst complex component 6(Exoc6)	Mus musculus
Q8WXX0	dynein axonemal heavy chain 7(DNAH7)	Homo sapiens
O17389	Tetra THymosin (four thymosin repeat protein)(tth-1)	Caenorhabditis elegans
P13406	FYN proto-oncogene, Src family tyrosine kinase L homeolog(fyn.L)	Xenopus laevis
Q4R6V2	chaperonin containing TCP1 subunit 5(CCT5)	Macaca fascicularis
P62501	TSC22 domain family, member 1(Tsc22d1)	Rattus norvegicus
Q60452	ERCC excision repair 2, TFIIH core complex helicase subunit(Ercc2)	Cricetulus griseus
Q6GMR7	fatty acid amide hydrolase 2(FAAH2)	Homo sapiens
Q80YQ8	required for meiotic nuclear division 5 homolog A(Rmnd5a)	Mus musculus
F1MBP6	kelch like family member 3(KLHL3)	Bos taurus
Q6NTJ3	microtubule associated serine/threonine kinase like L homeolog(mastl.L)	Xenopus laevis
Q28C33	TBC1 domain family member 30(tbc1d30)	Xenopus tropicalis
Q7T2A5	eukaryotic translation initiation factor 3, subunit 6 interacting protein(eif3s6ip)	Danio rerio
Q9BT23	LIM domain containing 2(LIMD2)	Homo sapiens
Q14565	DNA meiotic recombinase 1(DMC1)	Homo sapiens
Q13148	TAR DNA binding protein(TARDBP)	Homo sapiens
Q9CPU4	microsomal glutathione S-transferase 3(Mgst3)	Mus musculus
Q71LX4	talin 2(Tln2)	Mus musculus
Q8BG19	transmembrane and tetratricopeptide repeat containing 4(Tmtc4)	Mus musculus
Q3T0K2	chaperonin containing TCP1 subunit 3(CCT3)	Bos taurus
Q5RKJ0	family with sequence similarity 110, member C(Fam110c)	Rattus norvegicus
P14842	5-hydroxytryptamine receptor 2A(Htr2a)	Rattus norvegicus
Q78S06	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)(Sys1)	Mus musculus
Q12789	general transcription factor IIIC subunit 1(GTF3C1)	Homo sapiens
Q63415	proprotein convertase subtilisin/kexin type 6(Pcsk6)	Rattus norvegicus
Q8IYP9	zinc finger DHHC-type containing 23(ZDHHC23)	Homo sapiens
P08941	ROS proto-oncogene 1 , receptor tyrosine kinase(ROS1)	Gallus gallus
O75600	glycine C-acetyltransferase(GCAT)	Homo sapiens
O93279	amyloid beta A4 protein(LOC101078447)	Takifugu rubripes
Q80W93	HYDIN, axonemal central pair apparatus protein(Hydin)	Mus musculus
Q9GZN1	ARP6 actin-related protein 6 homolog(ACTR6)	Homo sapiens
A4IF78	TNF alpha induced protein 8(TNFAIP8)	Bos taurus
Q8MT80	CG45068 gene product from transcript CG45068-RA(CG45068)	Drosophila melanogaster
Q7XSN8	serine racemase(LOC4336624)	Oryza sativa Japonica Group
Q9CZJ2	heat shock protein 12B(Hspa12b)	Mus musculus
Q3UMR5	mitochondrial calcium uniporter(Mcu)	Mus musculus
A2BG43	glycolipid transfer protein a(gltpa)	Danio rerio
Q9Y345	solute carrier family 6 member 5(SLC6A5)	Homo sapiens
Q9TZM3	Leucine-rich repeat serine/threonine-protein kinase 1(lrk-1)	Caenorhabditis elegans
Q9NPB8	glycerophosphocholine phosphodiesterase 1(GPCPD1)	Homo sapiens
P11533	dystrophin(DMD)	Gallus gallus
Q02440	myosin VA(MYO5A)	Gallus gallus
Q642G4	peroxisomal biogenesis factor 14(Pex14)	Rattus norvegicus
Q12802	A-kinase anchoring protein 13(AKAP13)	Homo sapiens
P48509	CD151 molecule (Raph blood group)(CD151)	Homo sapiens
Q6AYP4	zinc finger, C2HC-type containing 1C(Zc2hc1c)	Rattus norvegicus
P00789	calpain 11(CAPN11)	Gallus gallus
P21127	cyclin dependent kinase 11B(CDK11B)	Homo sapiens
Q5RGB8	kelch-like family member 26(klhl26)	Danio rerio
Q8C080	sorting nexin 16(Snx16)	Mus musculus
Q9VEZ3	mini spindles(msps)	Drosophila melanogaster
O61967	Protein lap1(let-413)	Caenorhabditis elegans
Q9D1D4	transmembrane p24 trafficking protein 10(Tmed10)	Mus musculus
Q9QY36	N(alpha)-acetyltransferase 10, NatA catalytic subunit(Naa10)	Mus musculus
Q15057	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2(ACAP2)	Homo sapiens
Q28FX0	ELAV like neuron-specific RNA binding protein 3(elavl3)	Xenopus tropicalis
Q80TI1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1(Plekhh1)	Mus musculus
Q4R7L8	nudix hydrolase 12(NUDT12)	Macaca fascicularis
P40112	proteasome subunit beta 3(Psmb3)	Rattus norvegicus
Q9HC56	protocadherin 9(PCDH9)	Homo sapiens
Q9I7U4	sallimus(sls)	Drosophila melanogaster
Q8BID8	F-box and leucine-rich repeat protein 14(Fbxl14)	Mus musculus
Q8HXQ5	ATP binding cassette subfamily C member 1(ABCC1)	Bos taurus
O15075	doublecortin like kinase 1(DCLK1)	Homo sapiens
Q8C8M1	family with sequence similarity 60, member A(Fam60a)	Mus musculus
Q13625	tumor protein p53 binding protein 2(TP53BP2)	Homo sapiens
Q9ERE8	mesoderm development candidate 1(Mesdc1)	Mus musculus
G5EBU4	Zinc finger E-box-binding homeobox protein zag-1(zag-1)	Caenorhabditis elegans
Q8NA19	l(3)mbt-like 4 (Drosophila)(L3MBTL4)	Homo sapiens
O35501	heat shock protein family A (Hsp70) member 9(Hspa9)	Cricetulus griseus
P07686	hexosaminidase subunit beta(HEXB)	Homo sapiens
D4ACN8	plasminogen receptor with a C-terminal lysine(Plgrkt)	Rattus norvegicus
Q5HYA8	transmembrane protein 67(TMEM67)	Homo sapiens
P56180	transmembrane phosphatase with tensin homology(TPTE)	Homo sapiens
Q9UMZ2	synergin gamma(SYNRG)	Homo sapiens
P83941	transcription elongation factor B subunit 1(Tceb1)	Rattus norvegicus
Q9N003	zinc finger protein 425(ZNF425)	Macaca fascicularis
Q8C3P7	methyltransferase like 3(Mettl3)	Mus musculus
Q9GZN2	TGFB induced factor homeobox 2(TGIF2)	Homo sapiens
Q8BX70	vacuolar protein sorting 13C(Vps13c)	Mus musculus
O08774	regulator of G-protein signaling 12(Rgs12)	Rattus norvegicus
Q6KEQ9	protocadherin 11 X-linked(PCDH11X)	Sus scrofa
Q08499	phosphodiesterase 4D(PDE4D)	Homo sapiens
G5EFI8	Phosphoinositide phospholipase C(plc-1)	Caenorhabditis elegans
Q923J6	dynein, axonemal, heavy chain 12(Dnah12)	Rattus norvegicus
Q5RDJ7	chloride voltage-gated channel 3(CLCN3)	Pongo abelii
Q7ZXX2	kinesin family member 19 S homeolog(kif19.S)	Xenopus laevis
Q9NY47	calcium voltage-gated channel auxiliary subunit alpha2delta 2(CACNA2D2)	Homo sapiens
P41233	ATP-binding cassette, sub-family A (ABC1), member 1(Abca1)	Mus musculus
D2XV59	GTP binding protein 1(Gtpbp1)	Rattus norvegicus
Q9UEE5	serine/threonine kinase 17a(STK17A)	Homo sapiens
P20241	Neuroglian(Nrg)	Drosophila melanogaster
Q2TBU3	golgi SNAP receptor complex member 1(GOSR1)	Bos taurus
Q5RDX4	ATPase family, AAA domain containing 2(ATAD2)	Pongo abelii
Q505D1	ankyrin repeat domain 28(Ankrd28)	Mus musculus
Q9R044	NPHS1 nephrin(Nphs1)	Rattus norvegicus
Q16534	HLF, PAR bZIP transcription factor(HLF)	Homo sapiens
Q9ULU4	zinc finger MYND-type containing 8(ZMYND8)	Homo sapiens
Q571H0	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)(Urb1)	Mus musculus
Q5ZMA6	NAD synthetase 1(NADSYN1)	Gallus gallus
Q3UGM2	NIMA (never in mitosis gene a)- related kinase 10(Nek10)	Mus musculus
Q96CD2	phosphopantothenoylcysteine decarboxylase(PPCDC)	Homo sapiens
Q8R3W5	tRNA splicing endonuclease subunit 15(Tsen15)	Mus musculus
Q4R918	kinesin family member 25(KIF25)	Macaca fascicularis
B3EX61	phosphatidylinositol 4-kinase beta(PI4KB)	Sorex araneus
Q86XP1	diacylglycerol kinase eta(DGKH)	Homo sapiens
Q8R508	FAT atypical cadherin 3(Fat3)	Rattus norvegicus
Q9CPR8	necdin-like 2(Ndnl2)	Mus musculus
Q8AVM5	ATPase, H+ transporting, lysosomal V0 subunit a1 L homeolog(atp6v0a1.L)	Xenopus laevis
Q80U56	AVL9 homolog (S. cerevisiase)(Avl9)	Mus musculus
Q8C1A3	5-methyltetrahydrofolate-homocysteine methyltransferase reductase(Mtrr)	Mus musculus
Q5BJ68	cytochrome b5 reductase 2(cyb5r2)	Xenopus tropicalis
Q9W0Y8	Na channel protein 60E(NaCP60E)	Drosophila melanogaster
Q8C436	valosin containing protein lysine (K) methyltransferase(Vcpkmt)	Mus musculus
Q6P5C7	zinc finger protein 458(Zfp458)	Mus musculus
P53804	tetratricopeptide repeat domain 3(TTC3)	Homo sapiens
Q8BL99	dopey family member 1(Dopey1)	Mus musculus
P70553	solute carrier family 11 member 1(Slc11a1)	Rattus norvegicus
O15031	plexin B2(PLXNB2)	Homo sapiens
Q8WZ42	titin(TTN)	Homo sapiens
Q9ULC8	zinc finger DHHC-type containing 8(ZDHHC8)	Homo sapiens
Q0Z7W6	thioredoxin related transmembrane protein 1(TMX1)	Bos taurus
Q8NCC3	phospholipase A2 group XV(PLA2G15)	Homo sapiens
P36241	Ribosomal protein L19(RpL19)	Drosophila melanogaster
Q9WV48	SH3 and multiple ankyrin repeat domains 1(Shank1)	Rattus norvegicus
Q63425	periaxin(Prx)	Rattus norvegicus
Q9WTY2	RRAD and GEM like GTPase 2(Rem2)	Rattus norvegicus
C3YWU0	hypothetical protein(BRAFLDRAFT_56888)	Branchiostoma floridae
Q32LB9	nitric oxide associated 1(NOA1)	Bos taurus
Q5E9S4	ethanolamine-phosphate phospho-lyase(ETNPPL)	Bos taurus
O95394	phosphoglucomutase 3(PGM3)	Homo sapiens
P08183	ATP binding cassette subfamily B member 1(ABCB1)	Homo sapiens
Q9NQZ8	zinc finger protein 71(ZNF71)	Homo sapiens
Q9CXF4	TBC1 domain family, member 15(Tbc1d15)	Mus musculus
Q99NB1	acyl-CoA synthetase short-chain family member 1(Acss1)	Mus musculus
Q91YE6	importin 9(Ipo9)	Mus musculus
Q0D261	ubiquitin like 4A S homeolog(ubl4a.S)	Xenopus laevis
Q9CXW2	mitochondrial ribosomal protein S22(Mrps22)	Mus musculus
Q4V8U5	anoctamin 10a(ano10a)	Danio rerio
O43301	heat shock protein family A (Hsp70) member 12A(HSPA12A)	Homo sapiens
Q8TCE6	family with sequence similarity 45 member A(FAM45A)	Homo sapiens
P11799	myosin light chain kinase(MYLK)	Gallus gallus
O95405	zinc finger FYVE-type containing 9(ZFYVE9)	Homo sapiens
Q9W799	cleavage and polyadenylation specific factor 2 S homeolog(cpsf2.S)	Xenopus laevis
P32198	carnitine palmitoyltransferase 1A(Cpt1a)	Rattus norvegicus
Q5RCP3	LSM8 homolog, U6 small nuclear RNA associated(LSM8)	Pongo abelii
P35623	serine hydroxymethyltransferase 1(SHMT1)	Ovis aries
Q8K450	sperm associated antigen 16(Spag16)	Mus musculus
Q5S006	leucine-rich repeat kinase 2(Lrrk2)	Mus musculus
Q4ZIN3	transmembrane protein 259(TMEM259)	Homo sapiens
P49760	CDC like kinase 2(CLK2)	Homo sapiens
P05153	phosphoenolpyruvate carboxykinase 1 (soluble)(PCK1)	Gallus gallus
Q90ZA1	poly(A)-specific ribonuclease L homeolog(parn.L)	Xenopus laevis
Q9BVQ7	spermatogenesis associated 5 like 1(SPATA5L1)	Homo sapiens
Q9BXT6	Mov10 RISC complex RNA helicase like 1(MOV10L1)	Homo sapiens
A0JNA8	PAX interacting protein 1(PAXIP1)	Bos taurus
Q96N11	chromosome 7 open reading frame 26(C7orf26)	Homo sapiens
Q8BH18	transmembrane protein 117(Tmem117)	Mus musculus
O01393	Innexin unc-9(unc-9)	Caenorhabditis elegans
Q7SXE4	golgin A5(golga5)	Danio rerio
Q561P5	minichromosome maintenance complex component 5(mcm5)	Xenopus tropicalis
Q8BFY9	transportin 1(Tnpo1)	Mus musculus
P26439	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2(HSD3B2)	Homo sapiens
Q7Z5Q5	DNA polymerase nu(POLN)	Homo sapiens
Q9Y2Z2	mitochondrial tRNA translation optimization 1(MTO1)	Homo sapiens
A6H8T2	cancer susceptibility candidate 1(casc1)	Danio rerio
P11029	acetyl-CoA carboxylase alpha(ACACA)	Gallus gallus
P97353	secretory blood group 1(Sec1)	Mus musculus
E7F6F9	kelch-like family member 3(klhl3)	Danio rerio
Q5RD00	protein kinase AMP-activated catalytic subunit alpha 2(PRKAA2)	Pongo abelii
P31689	DnaJ heat shock protein family (Hsp40) member A1(DNAJA1)	Homo sapiens
Q9ULT8	HECT domain E3 ubiquitin protein ligase 1(HECTD1)	Homo sapiens
Q5TYS5	secernin 2(scrn2)	Danio rerio
O15550	lysine demethylase 6A(KDM6A)	Homo sapiens
Q2VPU4	MLX interacting protein(Mlxip)	Mus musculus
Q800K6	topoisomerase (DNA) II binding protein 1 L homeolog(topbp1.L)	Xenopus laevis
Q801E2	anillin actin binding protein L homeolog(anln.L)	Xenopus laevis
Q9UIW2	plexin A1(PLXNA1)	Homo sapiens
A4QNS7	missing oocyte, meiosis regulator, homolog L homeolog(mios.L)	Xenopus laevis
Q9Y5K3	phosphate cytidylyltransferase 1, choline, beta(PCYT1B)	Homo sapiens
Q9VW71	kugelei(kug)	Drosophila melanogaster
D3ZVU1	SprT-like N-terminal domain(Sprtn)	Rattus norvegicus
Q5FWF7	F-box protein 48(FBXO48)	Homo sapiens
O95948	one cut homeobox 2(ONECUT2)	Homo sapiens
Q0P5G1	tonsoku-like, DNA repair protein(TONSL)	Bos taurus
Q9D845	testis expressed gene 9(Tex9)	Mus musculus
Q06A37	chromodomain helicase DNA binding protein 7(CHD7)	Gallus gallus
Q5RD78	HECT domain E3 ubiquitin protein ligase 2(HECTD2)	Pongo abelii
Q3UHX0	nucleolar protein 8(Nol8)	Mus musculus
Q03254	protein serine/threonine phosphatase(FCP1)	Saccharomyces cerevisiae S288C
Q8N448	ligand of numb-protein X 2(LNX2)	Homo sapiens
A2A9C3	seizure threshold 2(Szt2)	Mus musculus
P54276	mutS homolog 6(Msh6)	Mus musculus
Q9D0R4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56(Ddx56)	Mus musculus
Q7ZYA2	TATA-box binding protein associated factor 8 S homeolog(taf8.S)	Xenopus laevis
A2AVA0	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1(Svep1)	Mus musculus
Q9VE04	mitochondrial ribosomal protein L55(mRpL55)	Drosophila melanogaster
Q9GZT9	egl-9 family hypoxia inducible factor 1(EGLN1)	Homo sapiens
Q8C1A5	thimet oligopeptidase 1(Thop1)	Mus musculus
Q9BV44	THUMP domain containing 3(THUMPD3)	Homo sapiens
Q9P225	dynein axonemal heavy chain 2(DNAH2)	Homo sapiens
Q6GLJ1	BTB (POZ) domain containing 17 S homeolog(btbd17.S)	Xenopus laevis
Q8CDG5	CREB3 regulatory factor(Crebrf)	Mus musculus
P10041	Delta(Dl)	Drosophila melanogaster
Q62636	RAP1B, member of RAS oncogene family(Rap1b)	Rattus norvegicus
A3RGC1	vitamin D (1,25- dihydroxyvitamin D3) receptor(VDR)	Sus scrofa
E7FDB3	nanos homolog 1(nanos1)	Danio rerio
P07871	acetyl-Coenzyme A acyltransferase 1B(Acaa1b)	Rattus norvegicus
P13395	alpha Spectrin(alpha-Spec)	Drosophila melanogaster
Q5GH73	XK related 6(XKR6)	Homo sapiens
Q8VIJ5	meningioma expressed antigen 5 (hyaluronidase)(Mgea5)	Rattus norvegicus
F6WXT2	nucleoporin 188kDa(nup188)	Xenopus tropicalis
Q2QCI8	mediator complex subunit 12(med12)	Danio rerio
Q460N5	poly(ADP-ribose) polymerase family member 14(PARP14)	Homo sapiens
Q8BSU7	MOB kinase activator 3A(Mob3a)	Mus musculus
Q9QYP0	multiple EGF-like-domains 8(Megf8)	Rattus norvegicus
Q9NP59	solute carrier family 40 member 1(SLC40A1)	Homo sapiens
Q0R4F1	PIF1 5'-to-3' DNA helicase(pif1.L)	Xenopus laevis
Q96GM8	target of EGR1, member 1 (nuclear)(TOE1)	Homo sapiens
P35992	Protein tyrosine phosphatase 10D(Ptp10D)	Drosophila melanogaster
Q9P2D7	dynein axonemal heavy chain 1(DNAH1)	Homo sapiens
P08487	phospholipase C gamma 1(PLCG1)	Bos taurus
Q571F8	glutaminase 2 (liver, mitochondrial)(Gls2)	Mus musculus
Q4R502	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial(IDH2)	Macaca fascicularis
Q6PH08	ELKS/RAB6-interacting/CAST family member 2(Erc2)	Mus musculus
D3ZD32	chromodomain helicase DNA binding protein 5(Chd5)	Rattus norvegicus
Q5F4A1	G2/M-phase specific E3 ubiquitin protein ligase(G2E3)	Gallus gallus
Q91048	protein tyrosine kinase 7 (inactive)(PTK7)	Gallus gallus
Q9Z1J2	NIMA (never in mitosis gene a)-related expressed kinase 4(Nek4)	Mus musculus
Q2HJF3	origin recognition complex subunit 6(ORC6)	Bos taurus
P78318	immunoglobulin (CD79A) binding protein 1(IGBP1)	Homo sapiens
Q5G270	protease, serine 12(PRSS12)	Gorilla gorilla
O17732	PYruvate Carboxylase(pyc-1)	Caenorhabditis elegans
Q6ZS10	C-type lectin domain family 17 member A(CLEC17A)	Homo sapiens
Q5XHG1	sphingomyelin phosphodiesterase 4 L homeolog(smpd4.L)	Xenopus laevis
Q9WUR2	enoyl-Coenzyme A delta isomerase 2(Eci2)	Mus musculus
Q5R4W3	DNA polymerase epsilon 3, accessory subunit(POLE3)	Pongo abelii
F1MRW8	ring finger protein 169(RNF169)	Bos taurus
Q9UBX3	solute carrier family 25 member 10(SLC25A10)	Homo sapiens
P85001	centrosomal protein 290(cep290)	Danio rerio
Q5SPX1	coiled-coil domain containing 157(Ccdc157)	Mus musculus
Q9W7R4	teneurin transmembrane protein 3(tenm3)	Danio rerio
Q8K2Y9	cerebral cavernous malformation 2(Ccm2)	Mus musculus
Q3T0J3	mitochondrial ribosomal protein L16(MRPL16)	Bos taurus
Q15937	zinc finger protein 79(ZNF79)	Homo sapiens
Q9C0D2	centrosomal protein 295(CEP295)	Homo sapiens
Q9VZW5	FMRFamide Receptor(FMRFaR)	Drosophila melanogaster
G5E8K5	ankyrin 3, epithelial(Ank3)	Mus musculus
Q5NVC7	ring finger protein 34(RNF34)	Pongo abelii
A4II09	eukaryotic translation initiation factor 3 subunit A(eif3a)	Xenopus tropicalis
Q8NHU2	cilia and flagella associated protein 61(CFAP61)	Homo sapiens
G3V8T1	M-phase phosphoprotein 8(Mphosph8)	Rattus norvegicus
Q05481	zinc finger protein 91(ZNF91)	Homo sapiens
Q4G0P3	HYDIN, axonemal central pair apparatus protein(HYDIN)	Homo sapiens
F1QBY1	nipped-B homolog b (Drosophila)(nipblb)	Danio rerio
Q8BQZ4	Ral GTPase activating protein, beta subunit (non-catalytic)(Ralgapb)	Mus musculus
Q3KNM2	membrane-associated ring finger (C3HC4) 5(March5)	Mus musculus
Q6MG08	ATP binding cassette subfamily F member 1(Abcf1)	Rattus norvegicus
P81134	ATPase H+ transporting accessory protein 2(ATP6AP2)	Bos taurus
Q498L2	SAFB-like, transcription modulator S homeolog(sltm.S)	Xenopus laevis
Q587J7	tudor domain containing 12(TDRD12)	Homo sapiens
Q6WYY1	protocadherin 11 X-linked(PCDH11X)	Pan paniscus
P0DO97	coiled-coil domain containing 192(CCDC192)	Homo sapiens
Q3ZBV2	DEAD-box helicase 19A(DDX19A)	Bos taurus
Q9HCD6	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)	Homo sapiens
E9Q8T7	dynein, axonemal, heavy chain 1(Dnah1)	Mus musculus
Q8WWY3	pre-mRNA processing factor 31(PRPF31)	Homo sapiens
Q03145	Eph receptor A2(Epha2)	Mus musculus
Q7Z4H7	HAUS augmin like complex subunit 6(HAUS6)	Homo sapiens
O08863	baculoviral IAP repeat-containing 3(Birc3)	Mus musculus
Q60989	X-linked inhibitor of apoptosis(Xiap)	Mus musculus
Q8NC51	SERPINE1 mRNA binding protein 1(SERBP1)	Homo sapiens
A7E3X2	casein kinase 1 gamma 1(CSNK1G1)	Bos taurus
Q6P4M5	glucose-fructose oxidoreductase domain containing 1(gfod1)	Xenopus tropicalis
Q99MS3	Mpv17 transgene, kidney disease mutant-like(Mpv17l)	Mus musculus
Q8K4G1	latent transforming growth factor beta binding protein 4(Ltbp4)	Mus musculus
Q9H6U6	BCAS3, microtubule associated cell migration factor(BCAS3)	Homo sapiens
Q709C8	vacuolar protein sorting 13 homolog C(VPS13C)	Homo sapiens
Q32PF0	transmembrane protein 201(TMEM201)	Bos taurus
Q6P4Y0	CDK5 regulatory subunit associated protein 1-like 1(cdkal1)	Xenopus tropicalis
Q5ZLS2	enhancer of mRNA decapping 3(EDC3)	Gallus gallus
Q3UHA3	spastic paraplegia 11(Spg11)	Mus musculus
Q6ZMW3	echinoderm microtubule associated protein like 6(EML6)	Homo sapiens
E9Q9R9	discs, large homolog 5 (Drosophila)(Dlg5)	Mus musculus
O31826	acyl-CoA synthetase YngI(yngI)	Bacillus subtilis subsp. subtilis str. 168
Q93015	N-acetyltransferase 6(NAT6)	Homo sapiens
Q8CHC4	synaptojanin 1(Synj1)	Mus musculus
Q13568	interferon regulatory factor 5(IRF5)	Homo sapiens
Q61532	mitogen-activated protein kinase 6(Mapk6)	Mus musculus
Q08AY9	family with sequence similarity 89 member A L homeolog(fam89a.L)	Xenopus laevis
Q8BHR2	ecto-NOX disulfide-thiol exchanger 1(Enox1)	Mus musculus
P60517	GABA type A receptor-associated protein(Gabarap)	Rattus norvegicus
Q9UL36	zinc finger protein 236(ZNF236)	Homo sapiens
B5X3B2	adipocyte plasma membrane associated protein(apmap)	Salmo salar
Q9VD51	pitchoune(pit)	Drosophila melanogaster
P11215	integrin subunit alpha M(ITGAM)	Homo sapiens
Q3UZV7	RIKEN cDNA 9330182L06 gene(9330182L06Rik)	Mus musculus
A0JMF8	regulatory factor X, 3 (influences HLA class II expression)(rfx3)	Danio rerio
Q9HCN3	transmembrane protein 8A(TMEM8A)	Homo sapiens
Q6GL69	nucleolar protein interacting with the FHA domain of MKI67(nifk)	Xenopus tropicalis
Q0V989	coiled-coil domain containing 85C(ccdc85c)	Xenopus tropicalis
Q0IIH4	ChaC cation transport regulator homolog 2(CHAC2)	Bos taurus
Q5ZKF4	high mobility group 20A(HMG20A)	Gallus gallus
Q6GMK8	GDP-mannose pyrophosphorylase Aa(gmppaa)	Danio rerio
A2ASS6	titin(Ttn)	Mus musculus
Q7YQK4	solute carrier family 7 member 5(SLC7A5)	Oryctolagus cuniculus
Q6GQQ9	OTU deubiquitinase 7B(OTUD7B)	Homo sapiens
O60447	ecotropic viral integration site 5(EVI5)	Homo sapiens
Q8BRH4	lysine (K)-specific methyltransferase 2C(Kmt2c)	Mus musculus
O94826	translocase of outer mitochondrial membrane 70(TOMM70)	Homo sapiens
Q562C7	pumilio RNA-binding family member 3(Pum3)	Rattus norvegicus
Q15047	SET domain bifurcated 1(SETDB1)	Homo sapiens
Q8VI02	protein phosphatase 4, regulatory subunit 1(Ppp4r1)	Rattus norvegicus
Q6NWJ4	DnaJ (Hsp40) homolog, subfamily C, member 2(dnajc2)	Danio rerio
P58929	glucocorticoid modulatory element binding protein 2(Gmeb2)	Mus musculus
Q6ZQ88	lysine (K)-specific demethylase 1A(Kdm1a)	Mus musculus
Q2HJG5	VPS35, retromer complex component(VPS35)	Bos taurus
Q7TMY8	HECT, UBA and WWE domain containing 1(Huwe1)	Mus musculus
Q6GPQ3	major facilitator superfamily domain containing 8 L homeolog(mfsd8.L)	Xenopus laevis
P10493	nidogen 1(Nid1)	Mus musculus
A8HMZ4	flagellar associated protein(FAP155)	Chlamydomonas reinhardtii
Q3T102	eukaryotic translation initiation factor 3 subunit E(EIF3E)	Bos taurus
O94844	Rho related BTB domain containing 1(RHOBTB1)	Homo sapiens
Q92540	SMG7, nonsense mediated mRNA decay factor(SMG7)	Homo sapiens
Q6GQR8	zinc finger protein 329(Zfp329)	Mus musculus
O00237	ring finger protein 103(RNF103)	Homo sapiens
P07742	ribonucleotide reductase M1(Rrm1)	Mus musculus
Q5R5L7	arrestin domain containing 3(ARRDC3)	Pongo abelii
P58197	transcription factor AP-2 alpha(Tfap2a)	Rattus norvegicus
E7FDW8	sb:cb829(sb:cb829)	Danio rerio
Q6P6Z8	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) S homeolog(ogdh.S)	Xenopus laevis
Q5HZJ0	drosha, ribonuclease type III(Drosha)	Mus musculus
Q9JK25	CAP-GLY domain containing linker protein 1(Clip1)	Rattus norvegicus
Q32NQ7	dynein, axonemal, assembly factor 3 L homeolog(dnaaf3.L)	Xenopus laevis
Q2TBM9	serine active site containing 1(SERAC1)	Bos taurus
P51005	poly(A) polymerase alpha L homeolog(papola.L)	Xenopus laevis
P58058	NAD kinase(Nadk)	Mus musculus
Q80ZA4	polycystic kidney and hepatic disease 1-like 1(Pkhd1l1)	Mus musculus
Q6PB90	protocadherin beta 14(Pcdhb14)	Mus musculus
A8MWE9	EF-hand calcium binding domain 8(EFCAB8)	Homo sapiens
Q80TB7	zinc finger SWIM-type containing 6(Zswim6)	Mus musculus
Q8C0Q4	NIMA (never in mitosis gene a)-related expressed kinase 11(Nek11)	Mus musculus
Q641K1	ATP/GTP binding protein 1(Agtpbp1)	Mus musculus
Q9N0V3	ATP binding cassette subfamily B member 11(ABCB11)	Oryctolagus cuniculus
Q969V4	tektin 1(TEKT1)	Homo sapiens
